[00:00 - 00:02] ベアリングってどうやってやるんですか?
[04:21 - 04:24] いろんな人がねやってらっしゃいますね
[04:24 - 04:27] インドネシア語通訳
[04:27 - 04:33] 多分NTTから来てるものですね
[04:38 - 04:39] 電話じゃない
[04:39 - 04:40] あ、こいつです
[04:40 - 04:42] このCAFから入る
[04:42 - 04:45] このIDさえ分かれば
[04:45 - 04:49] すごく早いのに入ることができる
[04:49 - 04:56] 一回これだけメモを出してください
[05:02 - 05:05] これであとは今
[05:05 - 05:09] 多分NTTで同じようにプロバイダーの方も
[05:09 - 05:12] あると思うんですよね
[05:12 - 05:15] さっきの値段表は何だっけ?
[05:20 - 05:22] あ、無いな。
[05:23 - 05:27] 多分プロバイダーの方が別にあるんですよね。
[05:29 - 05:31] アジアさんは確か。
[05:31 - 05:43] 1個1個何かにぶち当たって快適してっていうのをやらないと
[05:43 - 05:44] そんなもんです
[05:44 - 05:50] 初期設計から入ってから一気に快適にしますからね
[05:50 - 05:51] OCNですね
[05:51 - 05:57] OCNというのが多分プロバイダーであると思うんですね
[05:57 - 06:04] あ、それですね。はい、これですね。
[06:04 - 06:09] で、たぶんこちらのメールアドレスが、これじゃないな。
[06:09 - 06:13] メールアドレスをたぶん取られてるんじゃないのかなと思うんですけど、
[06:13 - 06:18] 土屋さんは別のドメインでメールアドレスを取ってます?
[06:18 - 06:23] メールの後ろ、これじゃないですよね。
[06:23 - 06:24] はい。
[06:24 - 06:26] あ、じゃあ大丈夫ですね。
[06:26 - 06:31] そしたらこれを解約して新しいやつにやって
[06:31 - 06:36] ですればあの光ファイバはそのまま電話もそのままで通信だけ
[06:36 - 06:42] 解約したんじゃないかなでもしてないってことですね
[06:42 - 06:45] そうですね今これでつながっているはずなんでちょっと確認していいですか
[06:45 - 06:53] やっぱりそうですねこの僕が持ってた通信のやつで一緒なんで今これを使ってます
[06:53 - 06:59] これを解約して、こいつも外れるんですか?
[06:59 - 07:05] いや、これをそのまま使わないとこいつが電話できないっていうオチになっちゃうので
[07:05 - 07:11] なのでこれはそのまま残しつつ、こいつだけ解約して
[07:11 - 07:15] 新しい通信のやつに変えれば大丈夫です
[07:15 - 07:17] 新しい通信って意味が分からないですね
[07:17 - 07:19] そうですね、さっき言った
[07:19 - 07:21] とりあえずこれ解約しますよね
[07:21 - 07:25] そしたら、何もせんかったらインターネットできないんですね。
[07:25 - 07:26] そうです。
[07:26 - 07:30] これが要は、回線がこれで、インターネットの契約がこれって形になっているので、
[07:30 - 07:34] これの種別を変えればいいだけっていう感じですかね。
[07:34 - 07:35] 簡単に言えば。
[07:35 - 07:40] じゃあこっち、こういう契約する前に、こっちと先に何かしないといけないんですか?
[07:40 - 07:43] こっちはとりあえず放置です。いいです、今回は。
[07:43 - 07:54] 一回私がこれを、ひょっとしたらこのオンシェルのままで早くする方法に行けばいいかもしれないので、
[07:54 - 08:02] なるべく色々変えたりとかしなくても早くなるという方法でやってみますので、
[08:02 - 08:06] ちょっとごめんなさいね、資料を追加させてください。
[08:06 - 08:18] これでちょっと私ここの情報を使って
[08:18 - 08:23] 今これで契約しているここの部分ですね
[08:23 - 08:27] をちょっと変えるだけで早くできる可能性があるので
[08:27 - 08:29] 一旦これで変えてみます
[08:29 - 08:33] これで大丈夫です
[08:33 - 08:38] 松下さんが優秀なのか、そのスマホが優秀なのか
[08:40 - 08:43] 何でもできそうなスマホやなと思って
[08:44 - 08:46] 便利な予感になりました
[08:46 - 08:47] すごいですよね、最近
[08:47 - 08:49] 最近本当にすごいですね
[08:55 - 08:59] 今私がこれでボイレコ撮っているのもそういうことなんですけどね
[08:59 - 09:10] ボーイレコで音取って、そこから文字起こしをして、AIに投げて、今日言った話の中でやんなきゃいけないこととか全部聞いてくる。
[09:10 - 09:12] なるほど。そうなんですよ。
[09:12 - 09:17] これがもう、インクが10超えるからあんたもついてこないんですよね。
[09:17 - 09:20] 俺ももうすぐボーイレコになりますけど。
[09:20 - 09:24] えっ!?見た目がめちゃくちゃ若いっすね。
[09:24 - 09:25] 49になります。
[09:25 - 09:29] マジですか?僕43なんですけど、多分モペルを見た目は返す。
[09:29 - 09:30] そんなことないです。
[09:30 - 09:31] だいぶ遊びましたね。
[09:31 - 09:34] え?そんなこと言っても全然ない。
[09:34 - 09:37] だいぶアジアで遊んだんだよ。
[09:40 - 09:43] うちの理事長とかと一緒に行くほうが、そうですよね。
[09:43 - 09:47] でしょうね。いろんなところ、楽しいところ知ってそうですもんね。
[09:47 - 09:51] ダメなこんな仕事ばっかり、いつも怒られてますね。
[09:51 - 09:56] 私もそう言いながらマレーシアで1週間遊びました
[09:56 - 10:03] 1階2階はもうしかしないですね
[10:03 - 10:06] そうですね1階2階というよりかは
[10:06 - 10:09] あそこの根元の回線の問題ってことですね
[10:09 - 10:14] もしそうじゃなかったら
[10:14 - 10:16] 電話ですか
[10:16 - 10:17] このシリアル
[10:17 - 10:19] はいはいはい
[10:19 - 10:22] はい、見つかったってことですね。
[10:35 - 10:39] なかなか謎なんですよね。不動産屋さんじゃなかったって言ったかと思うんですけど。
[10:39 - 10:44] ここですね
[10:44 - 10:46] 使われるということで
[10:46 - 10:51] このテレビでオンラインをしたいんですね
[10:51 - 10:51] はい
[10:51 - 10:54] ちょっと今、クートが走っていたので
[10:54 - 10:58] 壁掛けにしちゃうのが一番だと思うんです
[10:58 - 11:00] って言ってもらったんだけど
[11:00 - 11:03] 強度がないのか
[11:03 - 11:04] そしたらですね
[11:04 - 11:06] 壁寄せスタンドというのがあります
[11:06 - 11:08] 例えば高村さんに
[11:08 - 11:10] アマゾンでURLを送るので
[11:10 - 11:12] それをやっていただくと
[11:12 - 11:17] ここに壁を掛けしたいかのようなものになるので
[11:17 - 11:22] ここで会議とか放送前に出たりもしたいということです
[11:22 - 11:26] そしたら放送は
[11:26 - 11:33] 放送はこっちで
[11:33 - 11:35] 放送はこっちでしたいんですよ
[11:35 - 11:59] ここで講師がやってるのを撮ってやりたいってことですね
[11:59 - 12:00] なるほど
[12:00 - 12:08] ホワイトボードも2個壁紙につけてもらうはずなんですけど
[12:08 - 12:13] 中身社長はちょっと重たすぎんかって言って
[12:13 - 12:17] 今からここに全て貼ろうよって言われて
[12:17 - 12:21] そうですねホワイトボード壁紙っていうのがあるので
[12:21 - 12:23] そちらの方が多分都合いいと思います
[12:23 - 12:29] 横にするよりはそっち一面上から下までホワイトボードみたいな
[12:29 - 12:32] 感じにされるといいかもしれません
[12:32 - 12:34] こっちだと見にくいから
[12:34 - 12:36] なるほど
[12:36 - 12:39] あとはモニターにされるか
[12:39 - 12:43] プロジェクターにされるかっていうところですかね
[12:43 - 12:46] 個人的には今
[12:46 - 12:51] でかい画面のモニターって
[12:51 - 12:55] 例えば85インチで17万ぐらいなんですよ
[12:55 - 12:58] それ入れた方がいいんじゃないかとは思います
[12:58 - 13:04] プロジェクターみたいに立ち上がるのに時間がかかるとかそういうのがないですし
[13:04 - 13:12] Wi-FiさえつないであったらノートからはHDMIつながらないで映る
[13:12 - 13:14] っていう仕組みができるので
[13:14 - 13:18] もうすでについてきてないんで
[13:18 - 13:23] いずれ順番にまた教えてほしいなって思ったんですけど
[13:23 - 13:24] そうですね
[13:25 - 13:27] 一応ここまで来たんです
[13:27 - 13:34] 今週村上社長の接待なんで
[13:34 - 13:35] そうなんですよ
[13:35 - 13:36] 飲ましたらうるさい
[13:36 - 13:42] あとは放送用の機材としては
[13:42 - 13:46] 監視カメラ兼にできるものが一応あります
[13:46 - 13:52] 別にこの狭さだから音響は多分使わないと思うので
[13:52 - 13:57] 監視カメラを兼ねるようなものを入れられると
[13:57 - 14:02] それをそのままライブで映すみたいな形にもちろんできますし
[14:02 - 14:03] 録画もされるので
[14:03 - 14:08] 後からそのやつを録画として取り出すっていうのができるので
[14:08 - 14:10] そういうのはどうでしょうかっていう感じですね
[14:10 - 14:14] 例えばですね
[14:14 - 14:19] 毎月のようにシャローズさん来ていただいて
[14:19 - 14:21] 喋っていただくんですね8時間
[14:21 - 14:23] 大変じゃないですか
[14:23 - 14:32] 今、さやまさんにはビデオを撮らせていただいて、それを多言語化できるようなツールを作ろうとしているんですよ。
[14:32 - 14:35] はい、あります。
[14:35 - 14:43] それを違う方からやろうよって言われていて、そんなものを今考えている最中です。
[14:43 - 14:44] なるほど。
[14:44 - 14:47] また、流しておくだけでいいじゃないですか。
[14:47 - 14:52] そうですね。多言語化するときに、音じゃなくてもいいんだったらすごく簡単できます。
[14:52 - 14:53] 簡単でいきます
[14:53 - 14:55] 今聞いているのは字幕
[14:55 - 14:57] 字幕を喋って
[14:57 - 14:58] そうですね
[14:58 - 15:01] ちょうど私が今やっているこのテクニックでいけると思います
[15:01 - 15:04] 動画から音声を取り出して
[15:04 - 15:07] 音声をまず日本語に全部置き換えます
[15:07 - 15:13] そうすると何時何分何秒に何で喋っているという字幕ファイルが出来上がるので
[15:13 - 15:18] それを今度はAIで全部翻訳するという風にしてしまえば
[15:18 - 15:23] あとはYouTubeに、非公開で掲載しておくんですね。
[15:23 - 15:30] そうすると、みんなが持っているスマホとか、いろんなところでURLを知っている人だけ見てるって感じになるので、
[15:30 - 15:36] その時にちゃんと翻訳も入っているって形になりますから。
[15:37 - 15:46] その話聞いてから、よく会社に連れてって、最初の初期説明とかじゃないですか、
[15:46 - 15:48] うちは通訳と同席させてるんですけど
[15:48 - 15:50] 壊れてるのか
[15:50 - 15:54] もし動画撮っておけば
[15:54 - 15:57] 毎回毎回説明しなくていいじゃないですか
[15:57 - 15:58] そうですね
[15:58 - 16:01] ポータルサイトを作って
[16:01 - 16:04] そこにもうこれ順番で見ていってねっていうのと
[16:04 - 16:08] あと理解ができたかのテストも作ることができます
[16:08 - 16:11] そんなのも企業さんに提供して
[16:11 - 16:14] 動けてやろうと
[16:14 - 16:18] 儲けます。今までにも儲かる。
[16:18 - 16:24] 儲かると思います。それが多分みんな欲しいものだと思うんですよね。
[16:24 - 16:29] その企業専用のものを作ったりもしてもいいかなと。
[16:29 - 16:36] そうですね。テクノロジー的には全然その辺はできますねっていうところですね。
[16:36 - 16:41] じゃあちょっと私からいろいろな仕事があります。
[16:41 - 16:44] 買う機材とかは別に私通していただかなくて
[16:44 - 16:50] Amazonだけポンポンポンとやっていただければという感じで
[16:50 - 16:52] 今週金曜日一緒に食事しますか?
[16:53 - 16:54] 今週金曜日食事しますか?
[16:55 - 16:56] 絡んできますよ彼
[16:56 - 16:58] 予約したんですけど
[16:58 - 17:02] 今とりあえず机はいらないですね
[17:02 - 17:04] そうですね、机はいらないですね
[17:04 - 17:09] で、テレビ会議する専用の
[17:09 - 17:12] これぐらいのちっちゃいパソコンがあるんですよ
[17:12 - 17:14] こんな大きさの
[17:14 - 17:16] これをテレビの裏に貼っ付けるんですよ
[17:16 - 17:18] 今ノートパソコンいっぱいした
[17:18 - 17:20] 死んでもいいねってなってますので
[17:20 - 17:22] あ、通われてんのかな
[17:23 - 17:25] あ、開いてんのか
[17:25 - 17:27] フィッパーですね
[17:29 - 17:31] こんなのがありまして
[17:33 - 17:35] そこも開いてますね
[17:35 - 17:37] ゴップは開いてない
[17:39 - 17:50] これです
[17:50 - 17:52] 中見せてもらいました
[17:52 - 17:57] これにワイヤレスのキーボードのマウスをつけておいて
[17:57 - 18:01] テレビの裏にポンってマジックテープで貼ってつけておくと
[18:01 - 18:05] そうするとテレビのやつピッてつけた瞬間に
[18:05 - 18:07] 何でもできるという状態になるので
[18:07 - 18:10] なるほどそれにしよう
[18:10 - 18:16] であとヤマハの会議システムがありまして
[18:16 - 18:19] こんなの音拾うやつとかですか
[18:19 - 18:22] いやここに置いちゃうと大変なんで
[18:22 - 18:26] バーンって音したりとか操作がめんどくさくなるので
[18:26 - 18:28] これがあります
[18:28 - 18:29] もうそれにします
[18:29 - 18:33] なんかどっかに
[18:33 - 18:36] これをテレビの下のところにつける
[18:36 - 18:42] そうすると話している人に勝手にズームするのと
[18:42 - 18:45] 周りの音を拾わないというのがあるので
[18:45 - 18:48] そうしたことを本当にパソコンをつけて
[18:48 - 18:51] あとはGoogle Meetとかズームとか開いて
[18:51 - 18:53] パンテールだけで快適にできるという形で
[18:53 - 18:56] この組み合わせが一番いいと思います
[18:56 - 19:00] 違う会社さんそれ補助金で全部つけたって言ってました
[19:00 - 19:01] 本当ですか
[19:01 - 19:04] なるほどね
[19:04 - 19:10] そうするとほとんどが全部うまくいくっていうところです
[19:10 - 19:14] 他社さんで今いろいろうちの会社にも入れた構成なんですけど
[19:14 - 19:17] 一番うまくいっているパターンなんで
[19:17 - 19:22] そうですねこれが2階に必要なんで
[19:22 - 19:28] 今ちょっとWi-Fiの強さを測ってどこに入れるべきかを確認します
[19:34 - 19:44] 107、147
[19:44 - 19:55] 2階に行ってこれ1個だけでしたよね
[19:55 - 19:57] 今これ外したから来てないってこと?
[19:58 - 20:01] いえ、2階はもっと大きなやつなんですよ
[20:01 - 20:03] 2階って向こうじゃなくて
[20:03 - 20:10] ここですよねここ今何もないんで下から電波が来るっていうのは結構不安定ですので
[20:10 - 20:13] 今ちょっと取れそうなところ
[20:13 - 20:20] ここまで振ると結構拾えますね
[20:20 - 20:22] このくらいにコンセントあるので
[20:22 - 20:33] そこにつけてもこの辺に影響がない
[20:33 - 20:35] むしろここの方がいいと思います
[20:35 - 20:42] ここから向こうの別棟の建物の2階とつながることになると思うので
[20:42 - 20:48] それだったら無駄化の借金にしたから1000円くらい
[20:48 - 20:50] なんか言ってましたよ前
[20:50 - 20:55] でも、それを付けるには、いらないかと思って。
[20:55 - 20:57] ああ、なるほど。
[20:57 - 21:00] こう、壁を付ける。
[21:00 - 21:02] なかったんですね、前。
[21:02 - 21:04] そうですよね。新しく作りましたもんね。
[21:04 - 21:07] その時に、それを話していたんですけど。
[21:12 - 21:17] グリーンにやれば、今やっぱり下から抜けてきているので、
[21:17 - 21:22] 結構フラフラフラフラしてますね
[21:32 - 21:35] 彼らはずっとテレビ電話とかしまくるから
[21:35 - 21:38] 繋がらんとってやつですよね
[21:38 - 21:45] もう5月から5ヶ月目で初めて言ってきたから
[21:45 - 21:48] 今まで知らなかったので
[21:48 - 21:51] 私もだいたい1週間に1回は見てるんですけど
[21:51 - 21:56] 毎日夜の3時には一旦周りのWi-Fiの件があるので
[21:56 - 22:01] 1回リセットしてもう1回再調査して電波吹き直すっていうやつをやってるんですけど
[22:01 - 22:05] それだけ見てても今のところはずっと安定してる状態だったんで
[22:05 - 22:09] これで繋がらんとかっていう話だったらもうしたしかないっていう感じ
[22:09 - 22:11] 時間によってっていうのがあった
[22:11 - 22:16] ちょうど朝昼夕方とかゴールデンタイムですかね
[22:16 - 22:20] がやっぱり詰まりやすいんですよね今の鉄道の方式だと
[22:21 - 22:23] 点滅
[22:23 - 22:25] 変えたなりましたね
[22:25 - 22:26] これで
[22:26 - 22:28] これちょっと太陽に当てておいてもいいですか
[22:28 - 22:30] あんまり安いもんなんで
[22:30 - 22:33] ダメだったらもう変えればいいっていう感じですね
[22:33 - 22:39] 今のところどうしても床がスパンの鉄だと思うので
[22:39 - 22:44] 窓に近くない状態だと 抜けれないって感じになるので
[22:56 - 22:59] こんな足でもこれでいけます?
[22:59 - 23:02] 足なくすんですよ
[23:02 - 23:04] 外してしまうと
[23:04 - 23:07] 外して ここにですね ネジが4つあるんです
[23:07 - 23:09] ここに付けるんです
[23:09 - 23:11] この足は絡んでるの?
[23:11 - 23:13] そうです、最終的には
[23:13 - 23:15] 取り付けも僕一緒にやりますので
[23:15 - 23:17] 物だけ買ってもらえば
[23:17 - 23:19] あと届いたよって言ってくれたら
[23:19 - 23:21] キュンキュンキュンとやりますので
[23:23 - 23:25] はい、繋がりました
[23:29 - 23:31] 下に
[23:31 - 23:37] 相互で倒れてバリーンといくのだけは嫌だな
[23:37 - 23:38] そうですね
[23:38 - 23:40] みんなこういうとこから
[23:40 - 23:42] 一番嫌がらせるのかな
[23:42 - 23:46] 300ぐらいでずっと安定してます
[23:46 - 23:48] これで大丈夫ですね
[23:48 - 23:53] あとは機材リストとか
[23:53 - 23:56] 何で何するという資料を軽く作るので
[23:56 - 24:00] それで予算感を見ていただきながら
[24:00 - 24:01] 決めていただくのが一番かな
[24:01 - 24:03] はい
[24:03 - 24:10] でも今でも補助金つくんですかね
[24:10 - 24:12] なんか最近物補助とかあんまつかないっていう
[24:12 - 24:14] ですよね
[24:14 - 24:19] それのせいでホームページ屋がみんな死んでるんですよ
[24:19 - 24:23] 最近忙しいのそれなんですよ
[24:23 - 24:26] 物補助で入れたホームページが
[24:26 - 24:29] メンテナンスしてくんないしどうしようみたいな
[24:29 - 24:33] もうあんたのところにIDパスワードを渡すから勝手にやっても
[24:33 - 24:35] これ渡されてもみたいな
[24:35 - 24:38] 松下できる?はいはいはい
[24:38 - 24:42] じゃあ金曜日になるのが今のところ大丈夫なんですか?
[24:42 - 24:44] 今のところ、あ、ちょっと待って、金曜日ですよね
[24:44 - 24:51] うちの会社の幹部会、大体月曜の第1金曜日なんですよ
[24:55 - 24:56] 全然平気で
[24:56 - 25:01] すみません3日がうちの会社の幹部会です
[25:01 - 25:03] ごめんなさい
[25:03 - 25:06] 夜割り幹部会ですね
[25:06 - 25:08] 市販機に1回だけなんですけど夜があるのは
[25:08 - 25:13] そこまでで一旦高村さんに
[25:13 - 25:15] 今日お伺いした内容で
[25:15 - 25:19] 機材リストと費用感でお出ししますので
[25:19 - 25:21] わかりました
[25:21 - 25:23] いいでしょうか
[25:23 - 25:29] はい。じゃあちょっとネットの方はまた調べておきます。さっきいただいたAパス使って。
[25:30 - 25:31] あとなんかこういうのあったっけ?
[25:33 - 25:35] いや、別にないです。
[25:37 - 25:44] 職員さんのやつ、もしその困った系を全部高村さんがやってて大変なんでしたら、
[25:44 - 25:51] 後でファイルを1個渡ししますんで、それぞれのパソコンで入れていただいたら、
[25:51 - 25:54] 私がいつでも遠隔で見れるって形になるので
[25:54 - 26:03] ちなみにエラーになります
[26:03 - 26:07] 今大丈夫ですか?なんか経理処理してませんでした
[26:07 - 26:12] なんか分かんないんですけど
[26:12 - 26:16] そもそもの基礎設定がちょっと分かんないんですけど
[26:16 - 26:17] 裏紙出てるんですよ
[26:17 - 26:18] 裏紙出てる
[26:18 - 26:20] よくあるパターンです
[26:20 - 26:23] こっちから出るってこと?
[26:23 - 26:28] 別にどこも指定してないのに、手出しが出ます。
[26:28 - 26:30] だからこっちがおかしいのかなと思ってるんですけど。
[26:30 - 26:33] そうですね。だいたいドライバの設定がおかしい。
[26:33 - 26:37] もしくは入っているドライバがおかしいのはどっちかですので。
[26:37 - 26:39] 今、パラッと見ればちょっとわかる。
[26:39 - 26:42] 見てもらっていいですか?
[26:42 - 26:46] すみません、なんか処理している最中。お忙しいので。
[26:50 - 26:52] あそこもおかしいと言うね
[26:52 - 26:54] リージョンもおかしいと
[26:54 - 26:56] その中でおかしくなった
[26:56 - 26:58] これ多分
[26:58 - 27:00] Windowsの更新で
[27:00 - 27:02] 大きくなることもあります?
[27:02 - 27:04] あります
[27:04 - 27:06] だから私Windowsの更新一切やらないんですけど
[27:06 - 27:08] 更新は絶対してくださいね
[27:08 - 27:10] だっていろんなものが
[27:10 - 27:12] 変わっちゃうんだもんね
[27:12 - 27:14] ダメですよ、変化に打ち勝つ気持ちが
[27:14 - 27:16] 重要です
[27:16 - 27:18] まだ受け入れ難い
[27:18 - 27:23] 何回いっぱい登録したんだ。 使ってないのもいっぱいありますね。
[27:23 - 27:27] これですね、たぶんね。 指数のやつで。
[27:32 - 27:42] はい、わかりました。 これはですね、IPv6のローカルアドレスで登録しちゃってるっていうのが原因ですね。
[27:48 - 28:18] 5、2、3、4、5、2、3、4、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5、5
[28:18 - 28:29] DHCPv4で1-11になっているのですね
[28:29 - 28:32] であればこれが問題なので
[28:32 - 28:38] 1-11で登録しているポートはないんだね
[28:38 - 28:43] じゃあポート追加でTCPIPポートを作ります
[28:43 - 28:46] アドレスがプリンターから出てきたやつで
[28:46 - 28:50] 192.8.1.11を指定しまして
[28:50 - 28:54] 困っている理由分かりました?
[28:55 - 28:57] 今まで私が困っている理由分かりました?
[28:58 - 28:58] はい
[28:58 - 29:03] 今登録したので
[29:03 - 29:06] 多分1個印刷しかかっているやつが
[29:06 - 29:09] この後勝手に出てくることになると思います
[29:09 - 29:10] なんかぐるぐるしています
[29:10 - 29:11] 相当パソコン遅いですね
[29:11 - 29:21] だいぶ古いスペックのような気がします。
[29:21 - 29:27] いや、そんなに古くないな。メモリが足りなさすぎってやつですね。
[29:27 - 29:33] 8GBしかないので結構カツカツです。
[29:33 - 29:39] SSDも510に入っているので悪くはないんだけどってやつですね。
[29:39 - 29:43] あとやたらCPUくっていうやつがいるので
[29:47 - 29:49] プリントアイソレーションフォストンで
[29:49 - 29:52] ちょっとなんか登録の時間かかってますね
[29:53 - 29:55] 応答なしですがちょっと待ちます
[29:55 - 29:57] で、今のうちに
[30:00 - 30:02] いつも印刷出てるんですか?
[30:02 - 30:03] 出ると思うけど
[30:03 - 30:04] 午前中元気でした
[30:04 - 30:05] 午前中元気でした
[30:05 - 30:07] ここからちょっと良いこと聞かなくなりました
[30:07 - 30:10] たぶん労働基準法のせいだと思います。
[30:10 - 30:12] 私もそう思います。
[30:12 - 30:16] ここからは時間外労働時間ですかね。
[30:16 - 30:20] こんなのが出て、待てばなります?
[30:20 - 30:22] もう待てません。
[30:22 - 30:23] ですよね。
[30:23 - 30:25] Windowsよくある話なんですよ。
[30:25 - 30:26] Windowsがよくなるんだ。
[30:26 - 30:28] そうなんですよ。
[30:28 - 30:35] たぶんこのWindowsって何かからバージョンアップしたものになっていると思うので。
[30:35 - 30:38] パソコン自体は別にそんなに嫌じゃないんですけど
[30:38 - 30:40] パソコンはそんなに悪くはない
[30:40 - 30:43] たまに寝るんですよ
[30:43 - 30:46] 寝る、勝手に寝ちゃうってことですか
[30:46 - 30:47] はい、はい、はい
[30:47 - 30:51] じゃあそいつもちょっとやっておきましょうか
[30:51 - 30:56] 今ですと多分省電力の設定になっちゃっているので
[30:56 - 30:58] パフォーマンス重視にしまして
[30:58 - 31:00] 30分で寝るようになってますね
[31:00 - 31:05] なのでおすすめとしては寝るなと
[31:05 - 31:15] そうですね、寝なくていいです。画面だけ30分経ったら消しておいてくれって。こうしておくと、朝、Windowsのアップデートが入っても、もたつかないって感じになるので。
[31:15 - 31:17] わかりました。
[31:17 - 31:18] この子はね。
[31:18 - 31:23] 体感なんか、私結構画面出すんですよ、めちゃくちゃ。いろんなものを。
[31:23 - 31:24] そうですね。
[31:24 - 31:27] それをやっちゃうと、途端に遅いってやつですよね。
[31:27 - 31:29] 途端に消えます、画面が。
[31:29 - 31:30] はい。
[31:30 - 31:34] なので、ExcelとかWordとかは、くまみに保存するようにしています。
[31:34 - 31:38] そうですね。会社の歴史が刻んである感じだと思います。
[31:38 - 31:42] そうなんですけど、エクセルとかを今日いくつも出すんですよ、私。
[31:42 - 31:49] それがこのメモリなんですけど、今8あるうちの5.3使ってるって感じなんですね。
[31:49 - 31:58] 多分エクセルのシートを5つぐらい開いたらパンパンになっちゃうので、ここは追加すれば大丈夫っていうところですかね。
[31:58 - 32:01] 常に最低3個ぐらい出しながらやってるので。
[32:01 - 32:06] 大丈夫です。私の知っている人は20個ぐらい出している。強烈な女がいるので、うちの会社の経緯なんですけど。
[32:06 - 32:10] 気持ちわかります。あんまり出さないようにしているんですけど。
[32:10 - 32:12] 全部は見えないと私は嫌だっていう。
[32:13 - 32:14] うちの妻だ。
[32:14 - 32:15] あ、本当ですか。
[32:15 - 32:18] 2年ごとに最初のパソコンを買い替えてます。
[32:18 - 32:18] そうですね。
[32:19 - 32:22] パソコンの問題じゃないぞって言っているんですけど。
[32:22 - 32:25] ちょっと一旦遅すぎるので消します。
[32:25 - 32:27] 何かいらないもの消しましょうか。
[32:27 - 32:30] いや、特に大丈夫ですよ。
[32:30 - 32:33] ちなみにエクセルはもう消してもらって大丈夫ですか?
[32:33 - 32:36] ありがとうございます。
[32:36 - 32:40] でもね、設定は多分入っていると思うんですよね。
[32:40 - 32:42] さっきので。
