[00:00 - 00:06] これでちょっと端末の方で録音するようにいたしました
[03:34 - 03:35] 世界でも
[03:35 - 03:37] 出していないような
[03:37 - 03:40] 漢方を特許を取得して
[03:40 - 03:42] うちでしか出せない形で
[03:42 - 03:44] そこをまず確立した段階で
[03:44 - 03:45] 世界進出していく
[03:45 - 03:47] その先にあるのはやっぱり
[03:47 - 03:49] 日本の医療業界の発展
[03:49 - 03:53] 薬の富山として地域貢献したいので
[03:53 - 03:56] 本当に埋もれてしまって消えてしまっている
[03:56 - 03:57] 良い薬とか
[03:57 - 04:01] それを私は日本から世界に出したいと思っていて
[04:01 - 04:02] そういう意味で
[04:02 - 04:06] もう勝者を目指しています最終的には
[04:06 - 04:07] なるほど
[04:07 - 04:12] 業界や社会を今後そういった勝者になる
[04:12 - 04:13] というところとか
[04:13 - 04:15] 地域の良い薬があるのを
[04:15 - 04:17] 世界に出していくというところで
[04:17 - 04:18] どのように変えていきたいですか
[04:18 - 04:21] 今先ほどの主査の話があったように
[04:21 - 04:25] このAPEXコマースという会社を通して
[04:25 - 04:30] 社会に対してどういう影響を与えたいかというところをお聞きしたいです
[04:30 - 04:33] 本物を見極める目を
[04:33 - 04:35] みんなに養ってほしいと思っているんです
[04:35 - 04:40] 嘘が世の中ほとんど嘘で動いていて
[04:40 - 04:44] でもその中で本物を知る機会があれば
[04:44 - 04:47] 本物を見極めることができるんですよ
[04:47 - 04:51] でも本物を知る機会が多分人にはなくてあんまりなくて
[04:51 - 04:56] なんでそれ思うかっていうと海外にいるともっと多くの情報に触れられるし
[04:56 - 04:59] ニュースも情報もいっぱい入ってくるんだけど
[04:59 - 05:04] 日本ってすごく一方一つの情報が一つのメディアが結構コントロールしてて
[05:04 - 05:06] 視野が狭いんですよ
[05:06 - 05:11] だからその中でそこにどっぷり使うともう真実見えないんですよ全然
[05:11 - 05:15] そこで真実のものをもっとみんなに理解してもらう
[05:15 - 05:16] スノーフォックスはそういう意味で
[05:16 - 05:19] フィービーは真実の商品しか出してない
[05:19 - 05:20] スキンケアすごい出題ですね
[05:20 - 05:23] 例えば90%水で
[05:23 - 05:26] 99%水で0.1%の成分で
[05:26 - 05:27] 売ってますみたいなこと
[05:27 - 05:27] うちしてない
[05:27 - 05:30] だからほとんど有効成分なんですよ
[05:30 - 05:32] ああいう風なスキンケアに出会ったからこそ
[05:32 - 05:33] やっぱり真実を
[05:33 - 05:35] だけどそれを伝えなかったら
[05:35 - 05:37] 誰も知らないんですよ
[05:37 - 05:39] 薬も一緒で
[05:39 - 05:41] みんな同じ商品を
[05:41 - 05:42] ちょっと名前変えて
[05:42 - 05:44] ちょっと名前変えて漢方は売れないんですけど
[05:44 - 05:46] 同じちょっとパッケージを変えて売って
[05:46 - 05:48] でもそれで言えることも
[05:48 - 05:50] 厚生労働省で決まってて
[05:50 - 05:53] でもその飲み方はちゃんと伝えられてるのか
[05:53 - 05:54] その症状が本当にその人に合ってるのか
[05:54 - 05:55] それも真実
[05:55 - 05:59] 真実の情報をちゃんと伝えられるような
[05:59 - 06:01] ストアが欲しいんです
[06:01 - 06:03] これを外に出すことで
[06:03 - 06:04] 必ず
[06:04 - 06:06] やっぱり日本人としての価値
[06:06 - 06:08] がもう一回
[06:08 - 06:10] 取り返せると思ってて
[06:10 - 06:13] なんか下手くそなんですよ
[06:13 - 06:15] 日本人はやっぱり正直すぎて
[06:15 - 06:17] なんだけどだからこそ勝てるっていうところ
[06:17 - 06:21] もう一回私は世界に注目してもらいたくて
[06:21 - 06:24] っていうところにつなげたいできれば
[06:24 - 06:27] そうですねいいですね
[06:27 - 06:32] まさにそういう私がやってるカービジネスの方でも
[06:32 - 06:35] 先ほど申し上げられたような
[06:35 - 06:38] 薄めてOEMで出す
[06:38 - 06:42] 効果効能に関して嘘800っていうのがあるので
[06:42 - 06:47] 同じように濃い成分で確実に効くもので
[06:47 - 06:50] 安全性っていうところを大事にするというところは
[06:50 - 06:52] 多分一緒かなっていうふうに思いました
[06:52 - 06:56] そうしましたらですね
[06:56 - 07:00] ミッションとバリューについての次は聞きたいです
[07:00 - 07:05] 会社として最も大切にしている価値観とは
[07:05 - 07:07] もずみさんの中ではどうですか
[07:07 - 07:12] 会社として最も大切にしている価値観
[07:12 - 07:14] ここ難しいな
[07:14 - 07:15] そうですね
[07:15 - 07:18] この辺がですね
[07:18 - 07:21] いつも会社のスローガンを作るときに
[07:21 - 07:24] 綺麗な美礼参事で片付けられてしまうっていうのは
[07:24 - 07:26] この辺ないからなんだと私は中には思ってまして
[07:26 - 07:29] 会社として
[07:29 - 07:31] 御社はどうですか
[07:31 - 07:33] うちですか
[07:33 - 07:37] うちは基本的に風っていうのがテーマになってるんですけど
[07:37 - 07:42] さっきもちょっとスローガンが出てたと思うんですが
[07:42 - 07:46] 社員が動けるっていうことを
[07:46 - 07:48] 会社として最大に支えて
[07:48 - 07:52] お客様に情報を提供するっていうのが私の会社なんで
[07:52 - 07:54] その情報の提供っていう部分を
[07:54 - 07:56] 社員を通して住みずに
[07:56 - 07:59] 世の中の住みずにまで届けるっていうのが
[07:59 - 08:02] この価値観かなっていうふうには思ってるんですよね
[08:02 - 08:07] 車の売り買いですからね
[08:07 - 08:09] それで言うとやっぱり
[08:09 - 08:10] 薬をこれからやって
[08:10 - 08:12] 今はまだスキンケアですけど
[08:12 - 08:14] 薬をやっていこうと思った時に
[08:14 - 08:19] やっぱりお客様に寄り添える
[08:19 - 08:21] でもキレイごとだな
[08:21 - 08:23] でもキレイごとだけど
[08:23 - 08:24] お客様に寄り添える
[08:24 - 08:26] 例えば嘘を言わない
[08:26 - 08:28] 例えばこの間も会話が出ましたけど
[08:28 - 08:29] シワ治りますか
[08:29 - 08:30] 治りませんみたいな
[08:30 - 08:34] そういうところをちゃんとした真実を
[08:34 - 08:36] それこそ本当真実がテーマかもしれない
[08:36 - 08:38] 真実をお客様に伝えて
[08:38 - 08:40] 真実を社員も見ていく
[08:40 - 08:44] その中で会社としての真実を発信して
[08:44 - 08:47] 本当の部分で人とつながっていきたい
[08:47 - 08:49] みたいなところがすごい思ってます
[08:49 - 08:50] なるほど
[08:50 - 08:55] 先ほどの今後業界や社会をどう変えていきたいか
[08:55 - 08:57] っていう話をした時にも
[08:57 - 08:59] いろいろ出てた部分が
[08:59 - 09:01] それに相当するのかなと
[09:01 - 09:03] ちょっと思ったんですけども
[09:03 - 09:04] 価値観としてはやはり
[09:04 - 09:09] スキンケアに対する本当の真実っていうのを
[09:09 - 09:11] 世の中に広めていきたいっていうところなのかなと
[09:11 - 09:13] いうふうに思ったんですが
[09:13 - 09:15] それ言うとさ
[09:15 - 09:17] 私よく怒られたんだよね
[09:17 - 09:19] 伊藤さんとかに
[09:19 - 09:22] 他の会社ディスるのやめてもらえますか
[09:22 - 09:25] 使いづらくなるのやめてくださいって
[09:25 - 09:27] 取材とかも
[09:27 - 09:29] フィービーの代わりに取材出るんですけど
[09:29 - 09:30] 気をつけてくださいね
[09:30 - 09:32] リスらないようにお願いします
[09:32 - 09:33] だから
[09:33 - 09:37] 難しくてリスらないように
[09:37 - 09:38] 自分たちはこうだって
[09:38 - 09:39] でもこうだってみんな言ってるから
[09:39 - 09:40] でも嘘なのよ
[09:40 - 09:43] そこで差別化をやっていくことの難しさだよね
[09:43 - 09:45] でも本当にそうかどうかって
[09:45 - 09:48] やっぱりお客様が効果を体験してくれて
[09:48 - 09:48] レビューを
[09:48 - 09:51] 本物のレビューで嘘で溢れてるから
[09:51 - 09:52] 本物のレビューを上げて
[09:52 - 09:56] 本物の真実で生き残っていくっていうところかな
[09:56 - 10:04] あとは社長として社員に期待する行動や姿勢は
[10:04 - 10:07] どのようなものが求められますか
[10:07 - 10:08] 経営者マインドを持って
[10:08 - 10:12] 経営者マインドを持ってほしい
[10:12 - 10:14] 自分の一つの行動で
[10:14 - 10:18] どれだけの人が関わっているかとか
[10:18 - 10:21] 自分がこれをしなかったことで
[10:21 - 10:25] どれだけの人たちが困るかってことを
[10:25 - 10:28] ちゃんと組織として教えていくし
[10:28 - 10:31] 本人もそれを自覚しながら
[10:31 - 10:33] 責任を感じて
[10:33 - 10:37] 自分の行動と動作に
[10:37 - 10:39] 責任を持って動いてほしいっていつも思う
[10:39 - 10:40] なるほど
[10:40 - 10:42] 弊社のマインドってことですね
[10:42 - 10:44] 弊社のマインド?
[10:44 - 10:46] 弊社マインドって言いましたっけ?
[10:46 - 10:46] そう
[10:46 - 10:49] でもそれ言うとすごい重いから
[10:49 - 10:51] そういうのをやりたくないって社員もいるから
[10:51 - 10:53] 難しくて
[10:53 - 10:56] これはただの私が上層部に期待しているところです
[10:56 - 11:02] 下にこれ求めると重いですとかね
[11:02 - 11:02] なるほど
[11:02 - 11:09] 逆に絶対やっちゃいけないことっていうのは
[11:09 - 11:11] 何かありますか
[11:11 - 11:17] 今こう行動してほしいというお話だったんですけども
[11:18 - 11:19] しないでほしいこと
[11:19 - 11:23] 例えばやるって言ったのにやらないとか
[11:23 - 11:25] すげーやめてほしいなって思う
[11:25 - 11:27] これやるって言いましたよねって
[11:27 - 11:29] はいって言ったらやってほしいんですよ
[11:29 - 11:31] やるって言ったのに
[11:31 - 11:33] 自分の都合で
[11:33 - 11:36] 明日でもいいと思ったんでみたいなことを
[11:36 - 11:39] 言う人は許さない
[11:39 - 11:40] なるほど
[11:40 - 11:42] ずーっとってことですね
[11:42 - 11:45] 評価下げますよそんなの普通に
[11:45 - 11:47] なるほど
[11:47 - 11:50] ちょっと事業の将来像で
[11:50 - 11:52] 今後3,5年でチャレンジしたいことは
[11:52 - 11:53] というところでは
[11:53 - 11:56] レメリーケーブというブランドを立ち上げるというところは
[11:56 - 11:58] 今現状やっていると思うんですけども
[11:58 - 12:01] ちょっと全体的にお考えになっていらっしゃることですね
[12:01 - 12:03] ここ3,5年なんで
[12:03 - 12:08] 3期以内でここまではやりたいぞというところを
[12:08 - 12:09] ちょっと教えていただきたいんですが
[12:09 - 12:12] 今年1店舗出しますが
[12:12 - 12:16] 3年以内にもう1店舗出します必ず
[12:16 - 12:18] それは都内で考えています
[12:18 - 12:22] そこの店舗については今回やれなかったことがありまして
[12:22 - 12:24] それを具現化するためにやります
[12:24 - 12:26] その店舗をやることで
[12:26 - 12:31] おそらく弊社にしか扱えない商品が一気に薬で増えるんですね
[12:31 - 12:36] それをもとに海外進出を今度
[12:36 - 12:39] それからさらに数年かけて計画していって
[12:39 - 12:42] その間にもしかしたらまたもう1店舗増えるか
[12:42 - 12:43] うまくいけば増えるかもしれないけれども
[12:43 - 12:46] その2店舗をまず大事にして
[12:46 - 12:48] 次は海外進出ですね
[12:48 - 12:49] なるほど
[12:49 - 12:54] 今いくつか実際の数字が出てきたんですが
[12:54 - 12:58] その目標とする数字をちょっとまとめていただけませんか
[12:58 - 13:03] 今年2025年にまず1店舗出ます
[13:03 - 13:07] 2026年の終わりまでに
[13:07 - 13:10] オリジナルの医薬品を出します
[13:10 - 13:12] この時点ではまだOEMか
[13:12 - 13:14] パッケージがオリジナルのだけです
[13:14 - 13:19] その第一段階が来年の末までには出したいと思っています
[13:19 - 13:21] その2027年か
[13:21 - 13:23] 次2027年には
[13:23 - 13:27] もし2020今年ってオープンする店舗が
[13:27 - 13:30] 12月にオープンする店舗が来年の1年間で
[13:30 - 13:34] 収益がこういうふうに成長するなってことが見込めた段階で
[13:34 - 13:38] 2027年の後半にもう1店舗出します
[13:38 - 13:41] その店舗は必ず超在薬局です
[13:41 - 13:44] そこでさらにオリジナルを出していきます
[13:44 - 13:49] この時点でおそらく会員が増えていると予想しているので
[13:49 - 13:50] うまくいっているはずなので
[13:50 - 13:55] それでさらに自分たちのやり方が確立してくるので
[13:55 - 13:59] 官報を扱っていくということで確立していきます
[13:59 - 14:01] スタッフが2店舗になると一気に増えるので
[14:01 - 14:07] ここで大体やれるチームみたいなのが見えてくるんですね
[14:07 - 14:10] バイリンガルのスタッフを多く雇う予定なので
[14:10 - 14:12] この子は英語できるね
[14:12 - 14:15] この子は海外志向があるねみたいな子ができてくるので
[14:15 - 14:18] そういった子を上層部に持っていくように
[14:18 - 14:22] トレーニングを2026年2027年かけてやって
[14:22 - 14:26] 2028年もしくは2029年には
[14:26 - 14:28] 多分会社を作るだけだったら
[14:28 - 14:30] 2028年に多分できるので
[14:30 - 14:33] 一つ北米に会社を作ろうと思ってます
[14:33 - 14:37] そこでちょっと市場調査を進めながら
[14:37 - 14:39] 海外店舗第一店舗を模索する
[14:39 - 14:42] っていう形をざっくり考えてください
[14:42 - 14:43] なるほど
[14:43 - 14:46] アメリカですか?
[14:47 - 14:49] これ記事にできないんですが
[14:49 - 14:52] カナダは国籍を持っているので
[14:52 - 14:53] 明日会社作れます
[14:53 - 14:54] なるほど
[14:54 - 14:57] ベネフィット
[14:57 - 14:59] カナダに会社が作れば
[14:59 - 15:00] 別にニューヨークはあっという間に行けるので
[15:00 - 15:03] 第一店舗目はニューヨークですが
[15:03 - 15:04] カナダに会社を作っちゃいます
[15:04 - 15:06] なるほど
[15:06 - 15:07] そうしたらですね
[15:07 - 15:11] ここまでは事業に関してお聞きしたんですけども
[15:11 - 15:15] 組織文化 働く環境について聞かせてください
[15:15 - 15:18] まずはチームや組織の特徴として
[15:18 - 15:21] どんな人たちが働いてますか
[15:21 - 15:25] チームの特徴みたいなのがあれば教えてもらえれば
[15:25 - 15:28] すごい
[15:28 - 15:31] 頑張り屋
[15:35 - 15:35] なるほど
[15:35 - 15:40] 社内の雰囲気を一言で表すと
[15:40 - 15:42] 頑張り屋さんが
[15:42 - 15:46] そうなんじゃないんですけど
[15:46 - 15:51] 多分これはね
[15:51 - 15:53] よしあるしあると思うんですけど
[15:53 - 15:57] 結構仲いいと思う会社は
[15:57 - 16:00] 私別に友達作るんじゃないよって言うんだけど
[16:00 - 16:02] でもやっぱり
[16:02 - 16:07] ツヤ課長もね頑張ってムードメーカーになってくれてるのもあるし
[16:07 - 16:13] うち朝40分くらいかけて必ず一人一人コメント出させてるんです
[16:13 - 16:15] これすごい投資なんですね
[16:15 - 16:16] 時間無駄かって
[16:16 - 16:19] トモさんなんて無駄な時間って言ったけど
[16:19 - 16:20] 私は無駄だと思ってなくて
[16:20 - 16:23] リモートの人がつながるにはこの朝しかないんですよ
[16:23 - 16:26] この朝全員が揃う時に子供の話とか
[16:26 - 16:29] 自分が昨日見た映画の話とか
[16:29 - 16:31] 読んでる本とか全員に言わせるんです
[16:31 - 16:36] これですっごい結束強くなったの
[16:36 - 16:37] なるほど
[16:37 - 16:41] すごい人数が多くなったら難しくなってくるかもしれない
[16:41 - 16:43] その時は部署ごとに分けてやり続けると思って
[16:43 - 16:44] 今まだ十何人だもんね
[16:44 - 16:46] せいぜい十四五人だもんね
[16:46 - 16:49] それで3分話したり2分の人もいるし5分の人もいるけど
[16:49 - 16:51] 時間かかってもいいから
[16:51 - 16:55] もう会社が投資してると思って
[16:55 - 16:56] 仲いいと思う
[16:56 - 16:58] リモートなんだけど
[16:58 - 17:01] 辞めるって言いづらい環境ができてるの
[17:01 - 17:03] リモートだとすぐやめちゃうんだけど
[17:03 - 17:05] みんなともつながっちゃってるから
[17:05 - 17:07] そういうふうにはしてます
[17:07 - 17:08] なるほど
[17:08 - 17:12] 社員同士の関係性で大切にしているっていうのは
[17:12 - 17:16] そういった雑談を通してお互いを知るというところを
[17:16 - 17:18] 一番大事にしているっていうところですかね
[17:18 - 17:21] 関係性を仕事だけではなくて
[17:21 - 17:23] そうね
[17:23 - 17:27] プライベートのことちょっとでもその人のこと知れたら
[17:27 - 17:31] 何かを普段生活の中で
[17:31 - 17:36] そういえばあの人こういうの好きだったんだなって
[17:36 - 17:39] 普段ちょっと会社のチームのことを思い出す瞬間が一瞬ある
[17:39 - 17:43] これが結構私重要だと思っていて
[17:43 - 17:45] なるほどそうですね
[17:45 - 17:48] 仕事に限らずプライベートのことを知ることによって
[17:48 - 17:51] 相手に興味を持つっていうのは大事なところだと思います
[17:51 - 17:55] では働き方や制度はどうでしょうか
[17:55 - 17:57] 例えば勤務形態
[17:57 - 17:58] リモートとかフレックスとか
[17:58 - 18:00] いろいろあると思うんですけど
[18:00 - 18:03] 本社の中ではどんな働き方が浸透してますか
[18:03 - 18:08] 私はやっぱり田舎の富山にいるから
[18:08 - 18:09] 優秀な人材集めにくくって
[18:09 - 18:10] これ書けないけど
[18:10 - 18:15] 東京でリモートで入ってもらうことがすごく多いんですね
[18:15 - 18:16] なんだけど私がさっきなんで
[18:16 - 18:19] コミュニケーション大事にしてるかっていうと
[18:19 - 18:20] やっぱ物流を
[18:20 - 18:24] 私ビジネスを一人でずっとやってきて
[18:24 - 18:27] 物流が命だってことを学んだんですよ
[18:27 - 18:29] 物流がわからない人は
[18:29 - 18:30] マーケもできないし
[18:30 - 18:31] 広告もできないし
[18:31 - 18:33] 組織も作れないと思ってて
[18:33 - 18:35] 自分で一人でビジネスやりたいです
[18:35 - 18:37] でも物流倉庫に任せてますみたいな人は
[18:37 - 18:39] 絶対大きくなれないと思ってるんです私
[18:39 - 18:42] 物流を知ることができるのって
[18:42 - 18:44] 本社だけなんですよ
[18:44 - 18:46] でも医師をやってるフリーモートの人は
[18:46 - 18:47] 東京なんですね
[18:47 - 18:50] だから東京の人たちが物流わからないから
[18:50 - 18:52] コミュニケーションしてないと
[18:52 - 18:54] 大きなミスが生まれるから
[18:54 - 18:57] 私がまずそこでコミュニケーションをやってる
[18:57 - 18:59] 富山と東京でいるから
[18:59 - 19:02] やっぱり優秀な人はフルリモートで入るしかない
[19:02 - 19:03] っていうところがあるんです
[19:03 - 19:05] もう一つ私が
[19:05 - 19:07] なのでフルリモートもOKってことですよ
[19:07 - 19:08] 言いたいことは
[19:08 - 19:10] そういう働き方をしてる人もいます
[19:10 - 19:13] もう一つ私が結構こだわったのは
[19:13 - 19:15] 固定残業をなくしたんですよ
[19:15 - 19:18] これは結構悩んだんですね
[19:18 - 19:21] でもなんでなくしたかっていうと
[19:21 - 19:27] バリバリ働き続けたいと思う女性を支えたいと思ったら
[19:27 - 19:31] ちょっとお小遣い稼ごうと思っている女性は別に支えたくないんですけど
[19:31 - 19:33] うちのツヤカチョウのように子育てもしてるけど
[19:33 - 19:36] 自分のキャリアも絶対輝かさせたいんだって
[19:36 - 19:39] 私みたいに思っている人を支えるには
[19:39 - 19:44] やっぱり固定産業をなくさないと不平等なんですよ
[19:44 - 19:46] 男性はいつでも残れるでしょ
[19:46 - 19:48] でも女性ってケツがあって
[19:48 - 19:50] 習い事連れていかなきゃいけない
[19:50 - 19:51] 迎えに行かなきゃいけない
[19:51 - 19:54] 未だにそうですよ女性ですよ
[19:54 - 19:56] ケツが決まってるのに固定残業がね
[19:56 - 19:57] 一生懸命働いて
[19:57 - 19:59] 頑張ってギュッて頑張ってる社員
[19:59 - 20:01] でもそれでも残業しなきゃいけなくて
[20:01 - 20:03] 1時間残業した女性と
[20:03 - 20:05] でも固定残業の中だから
[20:05 - 20:07] のんびり仕事しようぜって言って
[20:07 - 20:09] プラス3時間ゆっくり
[20:09 - 20:11] 同じお金だしって思ってる人と
[20:11 - 20:12] 意識が違うから
[20:12 - 20:16] 私は残業をすごい見てるんです
[20:16 - 20:17] だから固定残業
[20:17 - 20:19] 手っ払ったっていうのがまず一つ
[20:19 - 20:21] あとはうちはママが多い
[20:21 - 20:22] ママだけじゃない
[20:22 - 20:24] 別にママが欲しいわけじゃないんですよ
[20:24 - 20:26] 子育てをちゃんとやってる人たちを
[20:26 - 20:27] 支えてあげたいから
[20:27 - 20:29] 変動労働制を入れたんです
[20:29 - 20:31] それはやっぱり
[20:31 - 20:34] 時間を自由に使ってほしい
[20:34 - 20:36] フレックスにしちゃうと
[20:36 - 20:38] コアが決まっちゃって
[20:38 - 20:39] 全然決まれないから
[20:39 - 20:42] ある程度のバッファーを設けられるし
[20:42 - 20:45] 例えば子供の熱があったらしたら
[20:45 - 20:47] 相談したら週末出るから
[20:47 - 20:51] ここは調整できますよみたいにしてます
[20:51 - 20:52] なるほど
[20:52 - 20:54] そうですね
[20:54 - 20:55] そういった意味合いでは
[20:55 - 20:59] 社員の成長をサポートするっていうところにも
[20:59 - 21:02] 変動労働制というのが合ってるでしょうし
[21:02 - 21:05] リモートが主体だっていうところも
[21:05 - 21:07] 合ってるかもしれませんね
[21:07 - 21:12] 福利構成や独自の制度みたいなのって
[21:12 - 21:13] 御社にありますか
[21:13 - 21:15] 最近思い出して
[21:15 - 21:16] ああと思ったんですけど
[21:16 - 21:18] 誕生日有給だったのよ
[21:18 - 21:20] 忘れてたで
[21:20 - 21:21] だから取ってくだ
[21:21 - 21:24] みんなに忘れてたから
[21:24 - 21:25] 取らせてあげてくれって言ってて
[21:25 - 21:28] 誕生日有給は
[21:28 - 21:30] 申請があれば
[21:30 - 21:31] あげる
[21:31 - 21:34] 今忘れてたから私も
[21:34 - 21:37] それにハンさんが気づいたのね
[21:37 - 21:39] でも書いてあるから
[21:39 - 21:41] もう忘れちゃった人は後で申請くれたら
[21:41 - 21:42] 年内使いますにしたんだけど
[21:42 - 21:45] 福利構成として言えるかどうかわからない
[21:45 - 21:48] 誕生日はその月どこか1日休めていいですよ
[21:48 - 21:49] っていう気を上げてます
[21:49 - 21:51] ごめんね忘れてた
[21:51 - 21:52] 私も忘れてた
[21:52 - 21:53] 上げてます
[21:53 - 21:58] あとは結構資格取りたいだったらサポートしてて
[21:58 - 22:01] その資格がどう活かされるかが
[22:01 - 22:02] もちろんプレゼンしていただきますけど
[22:02 - 22:05] 今日も面接の方が来て
[22:05 - 22:07] 第2言語をうちサポートしてるって
[22:07 - 22:09] どういうサポートしてるんですかって言われたので
[22:09 - 22:11] プレゼンしてくださいって言ったんです
[22:11 - 22:13] ご自身でこのスキルを身につけることで
[22:13 - 22:16] これだけの会社の利益をこれだけ上げることができます
[22:16 - 22:19] 私はここに貢献したいんですってプレゼントだったら
[22:19 - 22:21] そこを出しますよと
[22:21 - 22:23] 何百万とかは出せないですけど
[22:23 - 22:24] っていうところをサポートしてます
[22:24 - 22:28] あとはちょっと前までこれやめるんですけど
[22:28 - 22:32] チョコザップ払ってたんですけど
[22:32 - 22:34] 誰も行かなくて忙しくて
[22:34 - 22:36] これは年内で解約します
[22:36 - 22:42] その代わりお家の掃除を月に1回入れてあげたいなと思ってるんですけど
[22:42 - 22:44] ちょっとハードルが上がって
[22:44 - 22:47] 東京と富山で全然価格が違う
[22:47 - 22:50] これやっぱ金額が違うと
[22:50 - 22:51] 福利構成として成り立たない
[22:51 - 22:53] 一律じゃないから
[22:53 - 22:55] っていうちょっとハードルが引っかかってて
[22:55 - 22:57] これどうにかうまくいかないかなって
[22:57 - 22:58] 悩んでるので
[22:58 - 23:00] 何か一つはもう一つ入れたいなと思ってます
[23:00 - 23:01] なるほど
[23:01 - 23:04] なかなか面白い制度ですね
[23:04 - 23:08] 僕もチョコザップ行ってたんですけど
[23:08 - 23:10] 先月解約しました
[23:10 - 23:15] ちょっと面白くなくなっちゃってきちゃって
[23:15 - 23:18] ちょっとマネジメントのスタイルにして
[23:18 - 23:23] マネジメントスタイルについて聞きたいんですけども
[23:23 - 23:26] 社長としてマネジメントで一番意識していることは
[23:26 - 23:29] 端的に聞かせていただければ
[23:29 - 23:34] これは松下先生に出会って学んだので
[23:34 - 23:36] ここに組織図貼りましたけど
[23:36 - 23:41] 組織の上下関係を明確にして
[23:41 - 23:42] その人を飛ばさない
[23:42 - 23:46] これの重要性を組織と作って
[23:46 - 23:50] ずっとすごい楽
[23:50 - 23:54] あなたの直上ここでしょって
[23:54 - 23:56] ここを通して話を持ってきてくれる
[23:56 - 23:57] みんなのことが言える
[23:57 - 23:59] あなたの感覚ここだから
[23:59 - 24:01] ここでちゃんとまとめて
[24:01 - 24:03] 必要だったら私に持ってきてくれる
[24:03 - 24:06] 全部私に来なくなった
[24:06 - 24:07] 嬉しい
