[00:00 - 00:05] ありますので、またご協力いただけると嬉しいです。
[10:33 - 10:36] ではメニューに残っていただいて
[10:36 - 10:40] 入荷予定確認
[10:40 - 10:42] ここです
[10:42 - 10:44] これを開いてみます
[10:44 - 10:56] はい、検索をすると、今日の入荷予定日と9月24日にはこの商品が入荷になりますと、
[10:56 - 11:05] これは未来のものを入れていただくことに、当日より先のものを予定データとして入れていただきます。
[11:05 - 11:13] 今このAD20Aというのが6ピースで
[11:13 - 11:15] 次が5ピースになっていますということで
[11:15 - 11:17] 実際の処理もあちらに準備は
[11:17 - 11:20] もう一度処理しておりまして
[11:20 - 11:25] このような情報を今後入荷のたびに
[11:25 - 11:27] 作っていただくことになります
[11:27 - 11:31] 今こちらの入荷予定データについては
[11:31 - 11:37] 物とデータがぴったり合っている状態のものがこれになります
[11:37 - 11:40] 今この入荷が終わりましたら
[11:40 - 11:46] 今度はデータが多かったりとか物が多く来てしまったりとかという
[11:46 - 11:49] イレギュラーバターンもテストいたしますので
[11:49 - 11:55] どのような動きになるかというところを見ていただければなと思います
[11:55 - 12:20] 入荷データをいただいて
[12:20 - 12:23] 次はもう本当に実際のものが出てきて
[12:23 - 12:26] 入荷作業という倉庫側の業務になってきます
[12:26 - 12:41] 倉庫側ではこういうリストを出して
[12:41 - 12:45] 物を待ち受けることになるんですけれども
[12:45 - 12:48] このSKUがどこに入っていますか
[12:48 - 12:51] というのを紙で出す場合と
[12:51 - 12:57] いきなりハンディターミナルで確認する方法って2つあるんですけれども
[12:57 - 13:00] 一応今小倉さんのこういった紙って
[13:00 - 13:02] これは紙ですね
[13:02 - 13:04] 全部出してる
[13:04 - 13:10] それはもうそこ側の運用かだと思いますので
[13:10 - 13:15] 一応これちょっと今プリントアウトしてみます
[13:15 - 13:16] 少々お待ちください
[13:16 - 13:19] データは明日の早い間についてお伺いします。
[13:26 - 13:35] 一切、通常のレギュラーパターンというテストデータのもう一つの資料では、一つ目に残っていただきました
[13:35 - 13:43] 交番の1-1と1-3を、先ほど伊豆王子様が入れていただきまして、
[13:43 - 13:48] 1-5というのを入れていただきまして、このままのデータをここに入れていまして、
[13:48 - 13:53] もうちょっと先ほど伊豆王子様が言いました、入荷の数が合わないというか、
[13:53 - 13:57] またちょっと次の運動でテストしますといった通常の流れとしては、
[13:57 - 14:01] こんなふうにしますよというところをご覧いただければと思います。
[14:01 - 14:08] 今から入荷作業を実際にやっていくんですけれども
[14:08 - 14:15] その中でロットナンバーが入っているものの1FKUだけ
[14:15 - 14:18] すでに違うロットが入っている状態で
[14:18 - 14:21] 同じロケに入れれないというところを見ていただきます
[14:21 - 14:27] そのロットが違うものを違うロケに入れるというところは
[14:27 - 14:29] 運用側でこうしていくんですけれども
[14:29 - 14:34] 実際に入れようとすると、これ違うロットが入っているので、
[14:34 - 14:38] 違うロケに格納してください、みたいなメッセージが出てきますので、
[14:38 - 14:43] 今、製造番号ですけど、これは分かりやすいところで言うと、
[14:43 - 14:49] 賞味期限であったりとか、賞味期限が違うものは違うロケに入れて、
[14:49 - 14:54] 古い方からどのようになっていくっていうような運用を、
[14:54 - 14:58] その辺りのやり方で制御しています
[14:58 - 15:04] 在庫データはもう一回入れます
[15:04 - 15:07] ウィンさんその件にちょっと質問してもいいですか
[15:07 - 15:11] この製造番号はうちが付けるものじゃなくて
[15:11 - 15:13] あくまでも在庫管理の中で
[15:13 - 15:17] ファーストインラストアウトするっていうことの管理は
[15:17 - 15:20] こちら側というか郵便さん側で
[15:20 - 15:23] 管理される情報として扱っているってことで
[15:23 - 15:36] そうですね。製造番号は、今わかりやすいように説明させていただくと、工場でどの製造ラインで何か作ったかというような番号で。
[15:36 - 15:39] あくまでも内発番の情報であってということなんですね。
[15:39 - 15:47] これはWMSでファーストイン、ラストアウトするのって、あくまでも入荷したタイミングだけでコントロールしているってことでいいんですかね。
[15:47 - 15:57] それも2通りの方法がありまして、WMS上でシステム制御をする方法とアナログ的に管理する方法。
[15:57 - 16:05] 今回カットオファーするタイミングでは、アナログ的な方法を奥に入れていく。
[16:05 - 16:11] 同じロケに入れていくというような対応になります。
[16:11 - 16:13] わかりました。
[16:13 - 16:17] 今のシステム制御する方法というところが
[16:17 - 16:18] 入庫日管理っていう
[16:18 - 16:26] 入庫日が古い方からどんどんなくなっていくっていうような
[16:26 - 16:29] なので入荷の時に入庫日を入れることになるんですね
[16:29 - 16:31] このロケに入っている商品は
[16:31 - 16:33] 何月何日に入荷したもの
[16:33 - 16:35] 次に同じ商品が入ってきたら
[16:35 - 16:36] また同じ制御になるんですけど
[16:36 - 16:40] 同じロケに後ろだとしても
[16:40 - 16:42] 同じロケには入らないんですよね
[16:42 - 16:44] 入らないことになりますので
[16:44 - 16:45] 違うロケに入れる
[16:45 - 16:49] そういったことをしていくと
[16:49 - 16:52] そういった制御はできるんですけれども
[16:52 - 16:54] 場所が広がるんですね
[16:54 - 16:57] 同じSKUでも
[16:57 - 17:00] 同じロケに入れられないので
[17:00 - 17:03] 違うロケが1SKUに対して
[17:03 - 17:04] 2個の3個に入れると
[17:04 - 17:07] そうすると1つのSKUで
[17:07 - 17:10] 例えば最大3個の入国があったとしたら
[17:10 - 17:16] 3個口を掴みますね。それがすべてのSKUでということになってくると
[17:16 - 17:24] 場所がどんどん広がっていってしまうというところで、そういった理由からもちょっとアナログ的に
[17:24 - 17:30] 最初はちょっと合わせて 後ろにどんどん入れていくというところを今考えておりますが
[17:30 - 17:36] もしそういったところもあったら、場所については別途相談にはなりますけれども
[17:36 - 17:46] 私の質問の意図としては、こちらでそれがないと管理ができないとかっていうことかなってちょっと思ったんですけど、そうではないです。
[17:46 - 17:53] では実際にライフ化をしていきたいなと思いますので
[17:53 - 18:01] こちら、これが今ちょっと作った、こういった商品を作りました。
[18:01 - 18:09] で、この箱の中に入っていて、この箱の中にはこの商品が5つ入っています、というふうに
[18:09 - 18:15] この中に実際に頼んでいると思います。
[18:15 - 18:18] はい。
[18:18 - 18:23] で、これを入荷していきます。
[18:23 - 18:25] Kinesのターミナルで。
[18:25 - 18:28] パワポートしか読めないやつです。QRは?
[18:28 - 18:33] だめだった。イメージセンシングタイプではなかった。
[18:33 - 18:34] QR対応には高いんですか?
[18:34 - 18:35] 高いんですよ。
[18:35 - 18:37] QR対応にはちょっと高い。
[18:37 - 18:40] 全然用意できないですけどね。
[18:40 - 18:43] 1台40万近くなっちゃうので。
[18:43 - 18:47] 細かい情報が必要でしたら言われるんですけど。
[18:47 - 18:50] では今これで作業していくんですけど、
[18:50 - 18:53] 今入荷ですのでちょっとちっちゃいんですけど。
[18:53 - 18:56] ちょっとバックライト消えちゃったから。
[18:56 - 19:00] はい 懐かしいな それ作ってたん
[19:00 - 19:06] ですよ あーすごいですよね
[19:06 - 19:09] これ1番入荷予定データの件格納 ですよね
[19:09 - 19:12] そうですね なんかどっちもそうじゃないですか
[19:12 - 19:15] 1番入荷予定データ 1番入荷予定データ
[19:15 - 19:23] では今これなんですけど入荷予定 データでは6ピース入ってくる
[19:23 - 19:25] 入ってくることになっています
[19:25 - 19:27] 商品マスターには
[19:27 - 19:31] ケース入り数というのを
[19:31 - 19:32] 登録してありまして
[19:32 - 19:34] このSKUは
[19:34 - 19:35] 1ケースに
[19:35 - 19:37] 必ず5個入っているというような
[19:37 - 19:39] 登録しているんですね
[19:39 - 19:42] ケース入荷をちょっとしていきたいな
[19:42 - 19:43] と思っているんです
[19:43 - 19:44] 本社の場合
[19:44 - 19:48] 入荷のピース数が
[19:48 - 19:49] 毎回ちょっと違いますので
[19:49 - 19:51] これの作業は
[19:51 - 19:53] できないかなと思うんですけど
[19:53 - 19:56] 一応参考までにこういったこともできるよ
[19:56 - 19:57] というところで
[19:57 - 19:58] これを書いていただければと思います
[19:58 - 20:01] 今有価していきます
[20:01 - 20:04] これは実際の商品のバーコードを
[20:04 - 20:05] 読んでいきます
[20:05 - 20:08] ここに箱の外装に貼っておきましたので
[20:08 - 20:10] これを読むと
[20:10 - 20:10] はい
[20:10 - 20:16] ケース
[20:16 - 20:20] ケースの中に
[20:20 - 20:25] 5個入っていてそれが1ケースとバラが1
[20:25 - 20:29] 今6入荷してくださって
[20:29 - 20:35] 1ケースと1ピース入荷というような意味になって
[20:35 - 20:39] ちゃんと1ケースと1個入ってきている
[20:39 - 20:42] これの条件は中身でおっしゃいますけど
[20:42 - 20:46] ケース入り数が一定であることが条件になります
[20:46 - 20:48] ただこれをやることで
[20:48 - 20:50] かなりこの入荷の
[20:50 - 20:52] 工数の削減になります
[20:52 - 20:55] 本来であれば
[20:55 - 20:57] 1回コピーってしたら
[20:57 - 20:58] 本来はここに6って出るんですね
[20:58 - 21:00] 6って出たら
[21:00 - 21:02] 6個数えなきゃいけない
[21:02 - 21:03] 100だったら100個数えなきゃいけない
[21:03 - 21:07] 数えてきちっと数が入ってたと思ったら
[21:07 - 21:07] はい
[21:07 - 21:10] 次の商品
[21:10 - 21:13] っていう風に終わるんですけど
[21:13 - 21:14] 2個数えるか
[21:14 - 21:17] 100個数えるかの違いといいますか
[21:17 - 21:21] こういった機能もあるというところでお願いします
[21:21 - 21:26] ケースの数は入庫予定データのときに
[21:26 - 21:28] 変えられたりしますか
[21:28 - 21:30] 商品マスターを
[21:30 - 21:31] マスターの
[21:31 - 21:39] 入庫データのときに変えられたら
[21:39 - 21:41] 一番正確な情報として
[21:41 - 21:56] アソートされた状態で書いて、アソートの出来上がり版を入荷いただくので、一応ピースで運用していくことになるんですけど。
[22:11 - 22:14] ここにイリスが見せられている
[22:14 - 22:16] というのもあるんですね
[22:16 - 22:17] ケースのイリスがここ
[22:17 - 22:19] ボールが立ち上がってパラワイト
[22:19 - 22:24] ゲームではなくてスイングパッドのところのタブで
[22:24 - 22:27] ケースのボールをブロックしておけば
[22:27 - 22:30] 箱もイリスでゲップできる
[22:30 - 22:31] 受け入れできる
[22:31 - 22:38] ですのでこれはあくまで運用側の問題にはなってくるので
[22:38 - 22:43] 今はピースで1個1個数えていくっていうような運用方法ですので
[22:43 - 22:46] 今のままで大丈夫なんですけども
[22:46 - 22:53] もちろん今後こちらで相当するとかっていうときには
[22:53 - 23:00] そういった維持数とか確定してくるのかなってちょっと思うんですけど
[23:00 - 23:04] 朝ごはんから納品するときって割と価格決まってる
[23:04 - 23:06] 50個は必定品?
[23:06 - 23:12] この商品は、この箱にはこれだけ最大が入りますというのを事前に調べてもらっているので、
[23:12 - 23:14] なるべくその数になるようには決めていて、
[23:14 - 23:17] この商品は何個というのは決まっているんですけど、
[23:17 - 23:22] たまに一つのダンボールに2種類入れたりするというのもありまして、
[23:22 - 23:25] その時はちょっと変わってくるのかなと思います。
[23:25 - 23:27] ですので、そうですね。
[23:27 - 23:31] ただとはいえ、ピースでも全然できますので、
[23:31 - 23:33] こういった機能があるというところだけ
[23:33 - 23:36] 今ちょっとあんまご理解いただきたいなと
[23:36 - 23:39] これちなみにもしこの運用にするってなった場合は
[23:39 - 23:41] 箱にもバグが発生するんですかね
[23:41 - 23:42] はい
[23:42 - 23:45] 箱だけじゃなくてパックとかでも大丈夫ですか
[23:45 - 23:45] 袋とか
[23:45 - 23:47] 一袋単位
[23:47 - 23:48] 全然大丈夫です
[23:48 - 23:49] 箱の中に
[23:49 - 23:51] 袋を箱と見出すみたいな
[23:51 - 23:53] でも大丈夫ですね
[23:53 - 23:53] 大丈夫です
[23:53 - 24:01] では先に検品をどんどんやっていってしまいます
[24:01 - 24:12] 次はロットナンバーのあるものの入会になります
[24:12 - 24:17] 今商品のパーコードを読んだらロットナンバーが出てきます
[24:17 - 24:23] この商品はロット0002で合ってますかというふうに聞かれています
[24:25 - 24:29] ここにロットナンバーがありますので合っているというところで
[24:29 - 24:33] これもし違えばこの情報を今ここで修正していくんですが
[24:33 - 24:34] 合っているので
[24:34 - 24:41] それがロット0002が1ケース
[24:41 - 24:45] ケースの中に5個入っているものが1ケースありますというところで
[24:45 - 24:47] 登録しています
[24:47 - 24:51] ロットになってないですよ
[24:51 - 24:52] あるありますか
[24:52 - 24:53] ポリシャ
[24:53 - 24:55] あります
[24:55 - 25:05] ロッド管理は最終的にどのお客様にどのロッドナンバーのものを出荷したかというところまで覚えますので
[25:05 - 25:09] 使い方によっては非常に便利なものになります
[25:09 - 25:11] 任務をそう管理しているので
[25:11 - 25:13] 故障時の対応だったり
[25:13 - 25:16] 故障の対応で必要になってくる
[25:16 - 25:22] それも商品マスターでこの商品はロッド管理するとかしないとか
[25:22 - 25:25] 製造番号を書いていいというところにはなってくるんですけど
[25:25 - 25:28] そこでフラグを立てていただいて
[25:28 - 25:32] 初期マスター登録をしていただければ
[25:32 - 25:35] 必ず入荷の時にそれが聞かれるようになります
[25:35 - 25:38] 今ロットナンバーは
[25:38 - 25:41] ロットナンバー入りの入荷予定データを入れたので
[25:41 - 25:43] ここに出てきますが
[25:43 - 25:44] 初期マスターに
[25:44 - 25:48] 入荷予定データにロットナンバーが入っていない場合は
[25:48 - 25:50] ここで手入力していくことになります
[25:50 - 25:54] ロット000みたいな形で登録して
[25:54 - 25:56] WMSの在庫として
[25:56 - 26:00] 今日入荷したものはBOT0002の商品を
[26:00 - 26:02] 午後に入荷したという情報を
[26:02 - 26:04] こちらに登録していくんですけれども
[26:04 - 26:06] そちらになってくると
[26:06 - 26:10] 少し運用が手数が増えるといいますか
[26:10 - 26:11] あとちょっと別途
[26:11 - 26:14] お知らせをさせていただきたいなと思うんですけれども
[26:14 - 26:16] そういった形の運用になります
[26:16 - 26:17] 流れになります
[26:17 - 26:36] これもROTナンバーですが、先ほどと一緒、ROT0003、ROT0003のものが1ケース。
[26:36 - 27:03] これもちょっとロットナンバー 生存番号を管理するものです
[27:03 - 27:06] 入荷予定データが間違ってました
[27:06 - 27:07] ロット
[27:07 - 27:09] そしたらこれ入荷予定データの情報が
[27:09 - 27:11] このハンディに入ってくるんですけど
[27:11 - 27:15] 物はこれ00-04なんですけど
[27:15 - 27:18] 物は00-14が正しい
[27:18 - 27:19] でこの場合は
[27:19 - 27:21] 今ここで合ってるかどうか聞かれてますので
[27:21 - 27:23] 間違ってるので
[27:23 - 27:25] これはあの正しい情報に
[27:25 - 27:28] ハンディで修正していきます
[27:28 - 27:33] 14を上書きしました
[27:33 - 27:35] これで56
[27:35 - 27:40] すると0014が5個
[27:40 - 27:41] 5ピース計数で1
[27:41 - 27:46] こういう風に今は入荷予定データが間違っていた
[27:46 - 27:48] っていうところなんですけど
[27:48 - 27:49] 入荷予定データが空っぽでも
[27:49 - 27:53] 必ず製造番号管理をするっていうスライドを
[27:53 - 27:55] 今の画面に行って
[27:55 - 27:59] 空っぽの状態で聞かれます
[27:59 - 28:03] 入力してくださいねというところで聞かれていますので
[28:03 - 28:09] 製造番号を入会データに入れていただければ
[28:09 - 28:12] エンターだけで確認は必要ですけど
[28:12 - 28:14] 今みたいな感じで
[28:14 - 28:18] 簡単に製造番号管理もできたりもしますので
[28:18 - 28:22] 入力していくと少し大変なところがありますから
[28:22 - 28:29] はい、ではこれで今入荷は一通り終わりました
[28:29 - 28:34] 今これ予定データと実際にこの商品が入ってきた
[28:34 - 28:38] 入荷商品が合っているかどうかという確認を
[28:38 - 28:40] 今この範囲でしました
[28:40 - 28:45] ロコナンバーですとか数量ですとか
[28:45 - 28:46] そういったところが合っているかどうか
[28:46 - 28:51] 今から実際にこのロケを今あちらにちょっと作りましたので
[28:51 - 28:53] 花に入れていきます
[28:53 - 28:55] なるほど
[28:55 - 28:57] あの机の上のやつはそういう感じですね
[28:57 - 28:58] なのでちょっと
[28:58 - 29:05] 実際の現場も
[29:05 - 29:07] これが何か言っていいのか
[29:07 - 29:08] 花に出てる
[29:08 - 29:11] 頭にAとか
[29:11 - 29:14] Bとかっていう風につけますので
[29:14 - 29:16] Aはアハマス
[29:16 - 29:18] Bはリセジュン
[29:18 - 29:19] っていう風に
[29:19 - 29:25] もう物理的に棚も分かれています そういうふうに頭で判断して
[29:25 - 29:29] ピッキングの時にAってきたらすぐ アダバスの方に行くとか
[29:29 - 29:35] Bだったらカバンだなっていうふうに こちらの目印にもなりますし
[29:35 - 29:38] そういったところで考えておきます
[29:38 - 29:44] 実際に書くのを 今入荷したやつを読んでいきます
[29:44 - 29:48] そしたら今どこのロケーションに 入れますかっていうふうに聞かれます
[29:48 - 29:58] でもうシステム管理をするのでもっとこの開いているところだったとこでも この b の010101に入れます
[29:58 - 30:06] でほかん ってなったらダブル s にこの商品5個がこの p 010101に
[30:06 - 30:12] 入りました在庫計上された状態です 別木本を持っています
[30:12 - 30:16] はいこれは思う
[30:18 - 30:22] そういう形でどんどんやっていきますので
[30:22 - 30:27] システム制御をすると今って
[30:33 - 30:38] 今一応アナログ的な管理しかできないので
[30:38 - 30:43] SKUはもうSKUごとに場所を決めているんですね
[30:43 - 30:53] これって良いところもあって、作業者が慣れてきたら、商品を見ただけで、どこにあるという判断もできるんです。
[30:53 - 31:09] ただ、デメリットとしては、SKUに対して一箇所作っておくことになるので、数秒が減ってきても、その場所を確保しておかなきゃいけないというデメリットがあります。
[31:09 - 31:15] ただ一方、今度システム制御がありますので、IPLロケにどこに入れてもいいというような制御になります。
[31:15 - 31:26] ですので、そのロケの有効活用ができるというか、場所を圧縮できてとか、そういったところにも役立ちますので、一応メリットでメリットはありますが、
[31:26 - 31:38] ただ、どこに入れてもいいので、どこに入れても最終的にピックリストに行って案内されるというのが、このWMSの一番の特徴になります。
[31:39 - 31:42] では、どんどん入れていっちゃいます。
[31:42 - 31:44] 少々お待ちください。
[31:44 - 31:46] あ、すみません。
[31:46 - 31:48] すみません。
[31:48 - 31:50] ロケに常に入っている状態から、
[31:50 - 31:52] 周りの制御が変わるのか、
[31:52 - 31:54] 違う、同じようにできるのか、
[31:54 - 31:56] 違うところとか、
[31:56 - 31:58] それから、
[31:58 - 32:00] これを、
[32:00 - 32:02] はい、これは、
[32:02 - 32:04] これは、
[32:04 - 32:06] 実は、これ、今、
[32:06 - 32:10] 30A-FISPの商品なんですけど
[32:10 - 32:13] 既に古い商品がここにも入ってます
[32:13 - 32:15] このロットナンバーは0001
[32:15 - 32:18] 先ほど申し上げた通りのものになります
[32:18 - 32:21] 古いものがここにあった場合
[32:21 - 32:24] 新しいこれロットの0002なんですけど
[32:24 - 32:26] これ同じロケに入らないんです
[32:26 - 32:28] 違うロケに入れてくださいね
[32:28 - 32:30] っていう風に必ずなりますので
[32:30 - 32:34] これを今ここに入れようとしています
[32:34 - 32:38] 入ってA010101に入れます
[32:38 - 32:42] そしたらこのような形になります
[32:42 - 32:44] ロットが異なるため
[32:44 - 32:47] 指定したロケーションに格納できません
[32:47 - 32:52] ですので製造ロット管理をすると
[32:52 - 32:54] ロットが混じることがないといいます
[32:54 - 32:58] もう物理的にシステム的に混じることがない
[32:58 - 33:02] なので違う時に格納します
[33:02 - 33:06] で、違う部分で編みしましょうと
[33:06 - 33:08] はい、ここに入れます
[33:08 - 33:10] もっと修正できるんですね
[33:10 - 33:12] もっと修正したやつは
[33:12 - 33:13] 違う
[33:13 - 33:18] はい、じゃあ今度は製造ごと完了しないので
[33:25 - 33:28] はい、このように今入荷した在庫が
[33:28 - 33:30] WMSに提供されたのと
[33:30 - 33:34] ものがかなり格納されたという状態です
[33:34 - 33:38] これがレギュラーパターンの変化になります
[33:42 - 33:44] フロットファンディングが別になると
[33:44 - 33:46] ロケも別になるってことは
[33:46 - 33:50] 闇曇りを取ってくださない方が良かったりしますか?
[33:50 - 33:55] うん、ただ順番になくなってくるじゃないですか
[33:55 - 34:06] なので、私たちいつもよく聞かせていただくのが、1S経由に対して最大どのくらいのロットがありますか、みたいな聞き方をするんですよ。
[34:06 - 34:17] 大体3から4かな、5個くらいかな、とかってなったら、その分のロケーションであったりとか、場所を確保しなきゃいけないっていうふうに、
[34:17 - 34:20] 最大で準備しておくための。
[34:20 - 34:24] あらかじめもしロット管理するようであれば、あらかじめお伝えしておいた方が。
[34:24 - 34:37] そうですね、大体で結構です。事前に教えていただければ、今ある場所で足りるかなと、そういったところの検討になってきますので。
[34:37 - 34:39] はい、ありがとうございます。
[34:49 - 34:51] 今ちょっと細胞を見てみます。
[34:54 - 35:07] これが今現状9個入っているところですね
[35:07 - 35:12] 今010201に
[35:12 - 35:14] こっち在庫数6
[35:14 - 35:21] 30Aが0001
