[00:00 - 00:06] 3層研さんのさっきの話なんですけど
[02:56 - 03:00] 横にポンポンポンポンとかでも別に
[03:00 - 03:04] あくまでも日東さんのイメージ案なので
[03:04 - 03:06] こんなようなことが
[03:06 - 03:10] 今さっきカレー屋で言ってた件で言ったら
[03:10 - 03:16] 酸素濃度のあれと
[03:16 - 03:20] それから残業予定者を出すっていうところと
[03:20 - 03:24] あとクリーンルームが増えた時の
[03:24 - 03:27] 別のモニターにした方がいいですかね
[03:27 - 03:30] 別のモニターに出していくっていうやり方
[03:30 - 03:36] 要はデュアルモニターにして出すか
[03:36 - 03:42] もしくは4Kとか8Kの超デカモニターの中で
[03:42 - 03:47] ザラッと全部一覧できるようにするかなっていうところですね
[03:47 - 03:53] やりやすいとしたら多分デカモニターにドーンってやった方がいいかな
[03:53 - 03:56] 全部の画面を
[03:56 - 03:58] 今これちょっと見てもらいたいんですけど
[03:58 - 04:00] これ今のパターンじゃないですか
[04:00 - 04:05] 今度新しいクリーンルーム111とか言われるらしいんですけど
[04:05 - 04:10] この残業もどこのところに残業するとかとか特に関係ないので
[04:10 - 04:16] もしこれをやった時にもう一個モニターが例えばデュアルであった時に
[04:16 - 04:20] 3個のエリアプラス残業のここは共通するので
[04:20 - 04:23] ここちょっとダブってるのもったいないよねっていうので
[04:23 - 04:27] こうできればなみたいなことを言われてたんですね
[04:27 - 04:33] 多分それは解像度のことは全く考えてないかっていう話ですね
[04:33 - 04:37] やっぱり今の23.8あまりにも小さいので
[04:37 - 04:39] ちょっと大きめのサイズも
[04:39 - 04:42] うちにそもそも採用されるかわからないですけど
[04:42 - 04:46] 今の段階で見積もり欲しいという風に要望をいただいて
[04:46 - 04:49] 多分今期これをやるかなというような
[04:49 - 04:51] 事務所に設置の話ですね
[04:51 - 04:57] そうなると大きい40なのか50インチなのかわからないですけど
[04:57 - 05:01] もしその例えばフォーペインのパターンと
[05:01 - 05:04] 既存の2ペインから
[05:04 - 05:06] 3ペイン残業を
[05:06 - 05:08] 右側に表示して
[05:08 - 05:10] クリーンルームの
[05:10 - 05:12] そのエリアを
[05:12 - 05:14] 左側の上下に並べる
[05:14 - 05:16] っていうやり方にするとか
[05:16 - 05:18] この新規の
[05:18 - 05:20] ルームだけ独立して
[05:20 - 05:22] 表示するとか切り替えるとか
[05:22 - 05:23] やると
[05:23 - 05:26] 出てくるとするとコントローラー側が
[05:26 - 05:27] 大変になってくるっていう
[05:27 - 05:30] あるかなって思うんですよね
[05:30 - 05:32] 結構ビューポートが増えると
[05:32 - 05:35] その分考えないかんことっていうのが
[05:35 - 05:37] 多くなってくるっていうのがあるし
[05:37 - 05:40] あと表示切り替えっていう形になったら
[05:40 - 05:42] 何秒ぐらいで変えていくみたいな
[05:42 - 05:44] よくありますよね
[05:44 - 05:47] 1ページ目2ページ目を数秒ごとに
[05:47 - 05:49] パカパカって切り替えていくとか
[05:49 - 05:50] っていうような形になる
[05:50 - 05:53] 一応できるコツはないんですけど
[05:53 - 05:54] 見にくいですね
[05:54 - 06:00] 例えば立山担当のリーダーボードが
[06:00 - 06:03] 50インチの画面にバーッと出てくるんですけど
[06:03 - 06:08] ページバーッと1位から20位、25位ぐらいまで表示されるんですよ
[06:08 - 06:13] それ以下のは10秒ぐらい待つと次のページ変わるんですよ
[06:13 - 06:16] また10秒ぐらい経つと次のページ
[06:16 - 06:21] また次の10秒経つとまた1位から出てくるんですけど
[06:21 - 06:24] なんか曲がる腰っていうか
[06:24 - 06:28] そうですね、だから今表示デバイスってそこまで高くないじゃないですか
[06:28 - 06:30] 多分ああいうところって
[06:30 - 06:34] 対応年数的には4年とか5年とかで
[06:34 - 06:36] 多分出してると思うので
[06:36 - 06:40] それであって前回と同じような予算感
[06:40 - 06:43] 今回600っていうわけにはいかんすからね
[06:43 - 06:46] もうちょっとちゃんと取るっていうことで考えたら
[06:46 - 06:50] 出した分だけリターンがあるっていうことで考えれば
[06:50 - 06:53] ソフトウェア側でちょこまかやるよりかは
[06:53 - 06:55] もうそういう例えば50インチぐらいの
[06:55 - 06:57] ドンドンドンドンって3つぐらい並べるとか
[06:57 - 07:02] 84インチの4Kに全部出してしまうとかっていう形で
[07:02 - 07:06] 一覧性を確保してあげた方がいいかなっていう意味でちょっと思うんですよね
[07:06 - 07:10] それでもうこういうきれいに仕切って
[07:10 - 07:16] 表示させるっていうやり方の方がまたいいんじゃないかなっていう気は思うんですよね
[07:16 - 07:17] そうですよね
[07:17 - 07:23] こっちの方が網羅性というかパッと見た時に全体をもう俯瞰できる
[07:23 - 07:29] その時に1131とか113435のモニターあるじゃないですか
[07:29 - 07:32] クリーンルームの中のモニター
[07:32 - 07:35] あれはそのエリアだけを表示させるようにするんですか
[07:35 - 07:36] そういうことですね
[07:36 - 07:42] だから安デバイスで1個でモニター2つ制御するとかっていうんじゃなくて
[07:42 - 07:48] もう1個ずつ置いてしまってみたいなやり方ですかね
[07:48 - 07:53] 1モニターに1コンピュートデバイスで
[07:53 - 07:57] 1枚の画面を処理するっていうやり方の方がいいかなと
[07:57 - 08:02] 情報の発信はNQTK使ってるから即時性があるし
[08:02 - 08:04] そうすると例えば
[08:04 - 08:10] 事務所側で3つのクリーンルームと残業のやつを
[08:10 - 08:13] まとめて表示するってことを考えるよりも
[08:13 - 08:17] 例えば40インチないし50インチないしのやつを
[08:17 - 08:22] この天井付近だーって横並べて つけちゃった方がパッと見でどこかって
[08:22 - 08:27] 位置でわかるじゃないですか 位置でわかるし残業も残業でないってなった
[08:27 - 08:32] からになってるんで でこちらも制御しやすいじゃないですか
[08:32 - 08:36] ただ単にその情報を送り続けるだけでいい って形
[08:36 - 08:42] あそもそもあのこれで1枚にするんですか そうそうそう
[08:42 - 08:51] ペインにするんじゃなくて であそこあの前回のその産業総合研究所のあの
[08:51 - 08:58] 漁師コンピューターのその クリーンルームに関してはあの狭いところにあるんですよ
[08:58 - 09:09] 送ってことが条件だったんで2ペインしたっていうのはあるんですけど別に管理棟の方で今回これを状態表示をするということから考えれば
[09:09 - 09:12] 場所の制限はそんなにないって考えていいんかなと思うんですよ
[09:12 - 09:19] それこそほら横に並べるのもありだったら
[09:19 - 09:23] このペインみたいに4枚並びのペインみたいに
[09:23 - 09:26] 2×2で壁に並べておいたかっていいわけなんで
[09:26 - 09:33] この1131と1135
[09:33 - 09:35] 111と残業みたいな
[09:35 - 09:36] みたいな
[09:36 - 09:40] その方が
[09:40 - 09:41] こちらからすれば
[09:41 - 09:43] 機械代と
[09:43 - 09:46] あれは入るんですけど
[09:46 - 09:47] お金入れる理由にも
[09:47 - 09:48] なりやすいじゃないですか
[09:48 - 09:50] でもその
[09:50 - 09:52] 残業って一つだけ
[09:52 - 09:55] ペインの形おかしいじゃないですか
[09:55 - 09:57] でもこれも一つのクリーンルームと
[09:57 - 09:58] 見立てて
[09:58 - 10:01] 申請したら最初ここに入室する
[10:01 - 10:02] みたいな考え方で
[10:02 - 10:04] そうすると
[10:04 - 10:06] 制御的にも楽でしょ
[10:06 - 10:07] そうですよね
[10:07 - 10:11] 流用が効くじゃないっていう話になるんで
[10:11 - 10:13] そうなったらモニター2つ
[10:13 - 10:16] 今と同じサイズもしくはそれよりちょっと大きめなやつを
[10:16 - 10:17] 置いて並べて
[10:17 - 10:19] 113135
[10:19 - 10:20] 111残業
[10:20 - 10:23] コントローラー側も
[10:23 - 10:25] ルーム扱い
[10:25 - 10:26] っていう風にしておけば
[10:26 - 10:28] 残業の情報を取ってきた時だけ
[10:28 - 10:30] このルームの
[10:30 - 10:32] 残業ルームみたいな形で
[10:32 - 10:34] 残業の中には
[10:34 - 10:40] 必ず表示しておくっていう制御を書くだけで済むから 実装がめっちゃ楽だと思うんですよ
[10:40 - 10:46] 実装楽だし設置するデバイスが増えるから 金取りやすいし
[10:46 - 10:52] で問題の切り分けもしやすい 事務所の写真撮ってないねー
[10:52 - 10:58] 行ってきたんですか? 結構前に そうだったんですね
[10:58 - 11:04] 春だよね、2月とか3月くらい
[11:06 - 11:14] まあ電気代が4倍ですけどね でも今全然消費電力少ないですから
[11:16 - 11:23] しかも1枚軽いし もうそのほうが喜ばれるんじゃないかなって思うんですよね
[11:23 - 11:27] わかりました
[11:27 - 11:29] どうです
[11:29 - 11:31] いいと思います
[11:31 - 11:33] 将来的に考えるときに
[11:33 - 11:36] これだとじゃあ次もう1個部屋増えたら
[11:36 - 11:37] どうするのっていう
[11:37 - 11:40] そのたんびに結局
[11:40 - 11:42] UIの再デザインが
[11:42 - 11:43] 必要になってきちゃう
[11:43 - 11:47] だから別に10部屋増えたら10個モニター増やした方が
[11:47 - 11:47] 早いし
[11:47 - 11:49] 早いしってことですよね
[11:49 - 11:50] 確かに
[11:50 - 11:53] ユーザー側にしてみても
[11:53 - 11:55] ここがああだったらいいな
[11:55 - 11:57] とかってことを考えないでいい
[11:57 - 11:59] で例えば
[11:59 - 12:01] こっち側にこのAの部屋が
[12:01 - 12:03] 左上にあるのを右側にしてくれ
[12:03 - 12:05] とかって言われたら後ろでパソコン付け替えたい
[12:05 - 12:07] とかっていう良さもありますよね
[12:07 - 12:09] 今も確かに
[12:09 - 12:12] どのルームの
[12:12 - 12:13] やつを表示させるかって
[12:13 - 12:14] 松下さんの
[12:14 - 12:17] コンフィギュアファイルの中に
[12:17 - 12:21] クリーンルームコード
[12:21 - 12:23] みたいなので確か指定して
[12:23 - 12:24] そうそうやるだけだから
[12:24 - 12:26] そう
[12:26 - 12:29] そしたら基本的にはコントローラー側で
[12:29 - 12:31] さっき言った残業のやつだけ
[12:31 - 12:34] ルームなんぼにずっと表示させておいてくれ
[12:34 - 12:36] っていう制御を作るだけですもんね
[12:36 - 12:37] めちゃくちゃ簡単に実装できる
[12:37 - 12:39] と思いますよ
[12:39 - 12:50] 表示増やせるようにしてるんで
[12:50 - 12:57] パネル18個のカラム6とか設定をそのまま活かしてやれるってことですね
[12:57 - 13:03] 例えば今回そのために実装しましたという名目にしておいて
[13:03 - 13:04] そうですねそのつもりではいます
[13:04 - 13:06] デバイスは増えてるっていう感じで
[13:06 - 13:10] ちょっとその一画面で全部収めるっていうパターンじゃない
[13:10 - 13:15] UIになるだけにして全画面になるような感じで
[13:15 - 13:18] 別に量子デバイスコンピューターながらなんだかとかって
[13:18 - 13:24] 上のところいらんので その分全部ピッチで収めるみたいな
[13:24 - 13:31] 上の部分に 部屋番号だけがドーンって出てくるみたいなのがね
[13:31 - 13:36] うん いわゆるトヨタの看板方式ですかね
[13:36 - 13:41] あんな感じのUIにしてしまえばいいんかなっていう感じがしますね
[13:41 - 13:46] そうですねここの部分がもう1131みたいな
[13:46 - 13:52] そしたら入ったままなっていうのはね 漏らしたんですか
[13:52 - 13:54] 読み漏れ
[14:00 - 14:04] これはなんかやっぱりある程度
[14:04 - 14:08] 分かりました そしたらが一番シンプルかなーって
[14:08 - 14:12] 分かりました
[14:12 - 14:22] もう一回そういうふうに、もともとこういう案だったりとか、こういうふうな話をしようかなと思ってたので、
[14:22 - 14:27] 2画面にして、これでみたいな。
[14:27 - 14:40] そうですね。部屋が増えたらとりあえずモニターどんどん置きますみたいな。 まずこの新しいやつもない場合は、1枚目はこれとこれ、2枚目はとりあえず上にこの11、
[14:40 - 14:49] 残業だけが何か表示させて将来的にはそこの部分に新しいクリーンルームがエリアとして加わることを考えてますみたいな
[14:49 - 14:51] いうような話で持っていこうかなと思います
[14:51 - 14:57] 3層検査はこの話
[14:57 - 15:03] ディスプレイの話と残業の話とあとそのフェリカの対応ですよね
[15:03 - 15:07] IDMでいいんだったらって感じですけどね
[15:07 - 15:11] 結局認証系のやつってみんなフェリカポケットを使ってるんで
[15:11 - 15:14] そもそも秘密キーがないと
[15:14 - 15:17] フェリカポケットの中のデータを読むことができないですから
[15:17 - 15:22] そのカードが誰であるかっていうのは全く分かんないっていう感じになるので
[15:22 - 15:28] 基本今のユーザー一覧の中でユーザー選んでもらって
[15:28 - 15:32] 今持ってる自分の社員証を一回結びつければ
[15:32 - 15:34] もうピッピッてやるだけでOKみたいな
[15:34 - 15:35] それでいいです
[15:35 - 15:38] だったらIDM運用でいいんじゃないかなって気がしますね
[15:38 - 15:43] 最初ユーザー登録するってことですか
[15:43 - 15:44] フェリカを使って
[15:44 - 15:49] 担当者マスターにそのフェリカのUIDを入れられる項目を作っておいて
[15:49 - 15:54] ああいうのって結構その中に入っている認証情報というか
[15:54 - 15:56] 個人情報とか全部暗号化されてて
[15:56 - 15:59] めんどくさいんですよ
[15:59 - 16:06] IDMっていうRFIDでいうところのUIDですかね
[16:06 - 16:12] UID自体は何でも読めるっていう状況になっているので
[16:12 - 16:17] 通常その運用はダメよっていうのは一応Q100には書いてあるんですけど
[16:17 - 16:21] 別に限定されたシステムで限定された内容なので
[16:21 - 16:24] 別にその運用でいいんじゃないかなという気がしますけど
[16:24 - 16:28] そしたらもうフェリカの あの
[16:28 - 16:32] 何だっていいっていう感じになるので あ、そうなんですか、もうあの
[16:32 - 16:38] このパソリとかっていうやつ パソリでもいいし、まあ別にあのタカヤのあれでもいいんですけど
[16:38 - 16:42] これめちゃくちゃもう数千円で買えるようなものだったんで うん
[16:42 - 16:47] もしこれで使えるんだったら って感じっすね
[16:47 - 16:49] 分かりました
[16:49 - 16:50] はい
[16:50 - 16:52] ありがとうございます
[16:52 - 16:55] 3層計算はこれで以上
[16:55 - 16:59] 私の方からもう2つほどありまして
[16:59 - 17:00] 1つは
[17:00 - 17:02] 総合産業さんからの
[17:02 - 17:03] 相談で
[17:03 - 17:04] 今
[17:04 - 17:07] 総合産業さんって本社と
[17:07 - 17:09] 第二工場って2つ拠点あるんですけど
[17:09 - 17:11] 本社の方は
[17:11 - 17:13] 12時とか3時に
[17:13 - 17:14] 校内放送じゃないですけど
[17:14 - 17:17] チャイムみたいなのを鳴らしてるんですね
[17:17 - 17:18] それって
[17:18 - 17:22] 写真撮ってきたんですけど
[17:22 - 17:25] タイムカードの機械を
[17:25 - 17:27] 使って
[17:27 - 17:31] こういうパトライトの
[17:31 - 17:32] スピーカーなんですけど
[17:32 - 17:35] それで鳴らせてるらしいんですね
[17:35 - 17:37] 第2工場の方も
[17:37 - 17:38] 同じような感じで
[17:38 - 17:41] 12時とか3時とかに
[17:41 - 17:42] 鳴らしたいらしいんですね
[17:42 - 17:43] チャイムを
[17:43 - 17:43] はい
[17:43 - 17:44] なんですけど
[17:44 - 17:46] これって結構大掛かりで
[17:46 - 17:48] 多分工場作った当初とかに
[17:48 - 17:50] 多分作ってるような感じがするので
[17:50 - 17:52] こんな大掛かりなことをせずとも
[17:52 - 17:55] なんかできるのであればっていうので
[17:55 - 17:56] 向こう側ちょっと言ってきたのは
[17:56 - 17:59] いらないiPhone12が
[17:59 - 18:01] なんか2台ぐらいあるらしいんですね
[18:01 - 18:02] それに
[18:02 - 18:06] 外付けのあれつけて
[18:06 - 18:08] スピーカーでみたいな
[18:08 - 18:09] で第2工場って
[18:09 - 18:14] 木材を切断するような音量というか
[18:14 - 18:16] 確かにそれ鳴ってると
[18:16 - 18:18] 例えば私が現地行って
[18:18 - 18:19] すいませんとか言っても
[18:19 - 18:22] 本当に声が聞き取れないぐらいの
[18:22 - 18:23] 騒音なんですけど
[18:23 - 18:26] それでも聞き
[18:26 - 18:28] そのチャイムが聞こえるような音になるのかどうか
[18:28 - 18:29] ちょっと分かんないんですけど
[18:29 - 18:33] 今その校内放送の仕組みが
[18:33 - 18:35] どうしてるかだと思うんですよね
[18:35 - 18:37] こういうのってだいたいページャーアンプっていうのを使うんです
[18:37 - 18:39] ご存知ですページャーアンプ
[18:39 - 18:42] これでやってるやつとか違いますね
[18:42 - 18:43] 電話機
[18:43 - 18:46] 要はほら
[18:46 - 18:47] 例えば
[18:47 - 18:51] スーパーとかいろんなところの館内放送ってあるじゃないですか
[18:51 - 18:55] あれって内線電話の機能を使って
[18:55 - 18:57] ああいう校内放送してるんですけど
[18:57 - 19:00] 特定の電話番号にかかると
[19:00 - 19:01] ページャーアンプ
[19:01 - 19:04] 電話機の本体ですね
[19:04 - 19:05] PBXから
[19:05 - 19:08] ページャーアンプっていう放送用のアンプがあるんですけど
[19:08 - 19:12] そこにページャー信号っていう信号を送るんですよね
[19:12 - 19:14] そうするとアンプの電源がオンになって
[19:14 - 19:18] こっちの電話機の方の音を流すような状況になって
[19:18 - 19:21] あとここから流すっていう形になってますよ
[19:21 - 19:25] もし今ずっと音が流れてるだけじゃなくて
[19:25 - 19:30] タイムカードのシステムが
[19:30 - 19:33] どういうやり方でやってるか次第なんですけど
[19:33 - 19:36] ページャーでやっているんだったら
[19:36 - 19:39] 同じように工場の方
[19:39 - 19:40] どれくらい離れているか分からないですけど
[19:40 - 19:43] ページャーの信号を複装するような形にして
[19:43 - 19:47] 設備をつけるという形にすれば
[19:47 - 19:48] 一番しっかり
[19:48 - 19:50] 距離はむちゃくちゃ離れている
[19:50 - 19:55] だから途中IP化するという感じですかね
[19:55 - 19:56] インターネット
[19:56 - 20:00] 無線化するかインターネットもう一本引くか
[20:00 - 20:02] それやら全然できるという感じですかね
[20:02 - 20:07] このやつを増幅するみたいな
[20:07 - 20:07] そうですね
[20:07 - 20:11] ページャーの信号と音声の信号を
[20:11 - 20:14] インターネット経由でいけるようにしてしまって
[20:14 - 20:17] インターネットというかTCPIP化してしまって
[20:17 - 20:20] あとIP化してしまえば
[20:20 - 20:25] 例えば無線の離れたやつでもできるやつがあるんですけど
[20:25 - 20:26] 紹介しませんでした
[20:26 - 20:31] あれとかで建物間通信を取ってしまって
[20:31 - 20:35] そこのまたページャーアンプに流すみたいな感じですかね
[20:35 - 20:40] でも規模感価格感をどう考えているかですね
[20:40 - 20:42] 規模感価格感でいうと
[20:42 - 20:47] 本当にもうライトな感じでやりたいっていうぐらいなんで
[20:47 - 20:48] iPhoneを使ってやるって言ってたんで
[20:48 - 20:51] まずiPhoneを使ってやるっていうのは無理
[20:51 - 20:52] あれはもう無理なんですね
[20:52 - 20:53] 何が無理かっていうと
[20:53 - 20:56] iPhoneってアプリ作ったことあります?
[20:57 - 20:57] ないです
[20:57 - 20:58] ですよね
[20:58 - 21:02] あのバックグラウンドでずっと動き続けるアプリ作れないんです
[21:02 - 21:06] だからあの省電力機能を切ってしまって
[21:06 - 21:10] ずっとアプリがフォアグラウンドで開いてるっていう状況だったら
[21:10 - 21:12] そういうアプリを動かすっていうのもできるんですけど
[21:12 - 21:15] 基本ダメってできないんですよ
[21:15 - 21:17] なんかその当時言われてたのが
[21:17 - 21:19] なんか学校のチャイムとかっていう
[21:19 - 21:21] そのチャイムアプリみたいな
[21:21 - 21:22] はいはいはいはい
[21:22 - 21:24] のがあってみたいな
[21:24 - 21:25] それiPhoneに入れて
[21:25 - 21:26] iPhoneにはい
[21:26 - 21:34] こういうやつですかね
[21:34 - 21:36] なんかその定時で
[21:36 - 21:37] 流せるんじゃないかな
[21:37 - 21:39] 流せたらいいなみたいな
[21:39 - 21:40] そういうことを言ってきたんですけど
[21:40 - 21:43] まあその要は
[21:43 - 21:46] 本社側で流れてるものと
[21:46 - 21:47] 全く同じものにしたくなくって
[21:47 - 21:50] ただ単に定時で鳴らしたいっていうだけやったら
[21:50 - 21:51] もっと簡単です
[21:51 - 21:53] じゃあもう別に
[21:53 - 21:55] 本社で例えばお昼だったらお昼とか
[21:55 - 21:58] 就業時だったら就業時になんか鳴らすっていうのが
[21:58 - 22:01] でも時計買えばいいんじゃないですか
[22:01 - 22:04] こういう丸い時計で
[22:04 - 22:06] 定時になったら音バーンと出るやつ
[22:06 - 22:10] 多分その音圧から言ったら80dB以上なんでしょうね
[22:10 - 22:11] 現状が
[22:11 - 22:18] この時計でも一応時間時間で音を出すことできるんですけど
[22:18 - 22:19] やっぱりそれじゃ音が小さすぎる
[22:19 - 22:20] 小さすぎる
[22:20 - 22:22] まず音圧が出せないと思うんです
[22:22 - 22:27] こういう館内放送用のスピーカー出してるってことは
[22:27 - 22:31] 100dB近い音圧を出さないと
[22:31 - 22:34] 聞こえない範囲ってことでしょうから
[22:34 - 22:36] でも定時で音を出すだけだったら
[22:36 - 22:38] そこまで金かかんないですかね
[22:38 - 22:40] 本当それだけで
[22:40 - 22:44] でも金出さない客に金出さない提案しても
[22:44 - 22:44] 面白くないですね
[22:44 - 22:46] 金出す提案にさせたいですよね
[22:46 - 22:49] 関連しているところで
[22:49 - 22:53] それとはちょっと別のタイミングで同じ人から電話あったんですけど
[22:53 - 23:01] 第2工場に電話鳴らしてもやっぱりコキが聞こえないっていうので
[23:01 - 23:08] それを音を大きくする方法なんかありますかみたいなことを言われて
[23:08 - 23:10] 向こうってソフトバンクを使ってるんですけど
[23:10 - 23:17] 外部のそれこそスピーカーさっきのパトライトみたいな
[23:17 - 23:25] ああいうのとか保温じゃなくて光るパッドランプみたいな
[23:25 - 23:31] ああいうのがNTとかでも親機につけてみたいな
[23:31 - 23:32] アホみたいに高いんですよ
[23:32 - 23:34] 専用品なんで
[23:34 - 23:39] うち実は同じように車磨く工場やってたじゃないですか
[23:39 - 23:41] あの時に同じ経験があってですね
[23:41 - 23:44] だからこれ過去にやったことがあるんですけど
[23:44 - 23:46] 一番いいのは
[23:46 - 23:51] ごめんなさい
[23:51 - 23:57] 一番いいやり方が
[23:57 - 24:01] ライブとか
[24:01 - 24:03] コンサートの時に使う
[24:03 - 24:05] フラッシュがあるんですよ
[24:05 - 24:07] めっちゃでっかいフラッシュ
[24:07 - 24:10] パトラントとか
[24:10 - 24:11] 分かんないんですよ
[24:11 - 24:12] くるくる回ってるとか
[24:12 - 24:17] 強烈なフラッシュをたくやつがあって
[24:17 - 24:20] それを使うとバチッバチッと光るんで
[24:20 - 24:21] めっちゃわかるんですよ
[24:21 - 24:23] 音じゃないんですか?
[24:23 - 24:23] 音じゃないんです
[24:23 - 24:24] 光り
[24:24 - 24:25] それいいですね
[24:25 - 24:28] を制御するっていうやり方でやってたんですよ
[24:28 - 24:32] ちょうど今うちで昔やったやり方が
[24:32 - 24:35] オフィスフォンが全部ほら
[24:35 - 24:36] 今中島さんのとこに入れてあるような
[24:36 - 24:38] シップのやつでやってたんで
[24:38 - 24:41] シップの特番にかかってきたら
[24:41 - 24:44] こういうラズベリーパイっていう
[24:44 - 24:45] ちっちゃいやつがあるんですけど
[24:45 - 24:46] あそこに
[24:46 - 24:49] リレーを
[24:49 - 24:52] GPIOっていうところで
[24:52 - 24:54] リレーをカチンって入れるようにして
[24:54 - 24:56] その先に100Vが繋がってて
[24:56 - 24:58] フラッシュが繋がってるっていう風になってて
[24:58 - 25:00] 電話がかかってくると
[25:00 - 25:02] 特番でスイッチオンになって
[25:02 - 25:04] ウィーンって磨いてても
[25:04 - 25:06] 車の影に入ってて
[25:06 - 25:09] パトランプとかが目についてない状態でも
[25:09 - 25:11] でっかい光なんで
[25:11 - 25:13] 反射光ですぐ分かる
[25:13 - 25:17] すごいですね
[25:17 - 25:19] いいアイディアでしょう
[25:19 - 25:20] 面白いですね
[25:20 - 25:23] それするにはIP電話しなきゃいけない
[25:23 - 25:24] でも基本IP電話なんか
[25:24 - 25:27] IP電話かなんかっていうよりかは
[25:27 - 25:30] 結局それってスマホにかかってくるってことなんですか
[25:30 - 25:32] いや普通の電話機です
[25:32 - 25:35] ソフトバンクBBかなんかで契約してる
[25:35 - 25:38] インターネットと電話の固定の
[25:38 - 25:41] 固定電話の普通にRJ45じゃないか
[25:41 - 25:43] RJ11か
[25:43 - 25:46] のやつでかかってくるやつってことですかね
[25:46 - 25:50] それが普段いない事務所みたいなところに親機があって
[25:50 - 25:52] 工場のうるさいところにコキが置いてあって
[25:52 - 25:55] 電話かかってきた時にコキで鳴っているのに
[25:55 - 25:56] みんな誰も気づかないっていう
[25:56 - 25:58] それを何とかしたいっていう
[25:58 - 26:02] 両方とも男関連で
[26:02 - 26:06] その状況でもそういうのを何とかしたいっていうので
[26:06 - 26:12] その電話の話は当時そのバカ高いやつを調べてあったんで
[26:12 - 26:16] ちょっとソフトバンクBBに直接問い合わせて見てくださいみたいなので
[26:16 - 26:18] 話をちょっとスルーさせたんですけど
[26:18 - 26:20] またこの話がまた出てきて
[26:20 - 26:24] 一応やり方っていうかね
[26:24 - 26:31] ホームゲートウェイからRJ45で
[26:31 - 26:36] あっちに電話機の親機に行ってるんだったら
[26:36 - 26:38] 取れる方法は一つありますね
[26:38 - 26:46] ソフトバンクBBじゃなくて
[26:46 - 26:49] NTTのホームゲートウェイだったら
[26:49 - 26:51] SIPが使えるんですよ
[26:51 - 26:54] なのでSIPで信号を取ってきて
[26:54 - 26:56] かかってきたら
[26:56 - 26:58] 僕のさっき言ったやり方で光らせるっていうのが
