[00:00 - 00:11] お世話になっております
[04:08 - 04:11] この2人が今組み合わさって
[04:11 - 04:13] ECモールの売上形状から
[04:13 - 04:18] 例えばレビュー数の計測だったりだとか
[04:18 - 04:20] 戦略とかやってもらってるって形なんで
[04:20 - 04:27] 2人とも悟空と弥生のプロフェッショナルです
[04:27 - 04:29] ありがとうございます
[04:29 - 04:32] だからどういうロジックにしてんのとか
[04:32 - 04:34] そういうのをバンバン聞けばいいですし
[04:34 - 04:38] 2人からはそれできてないのっていうのを
[04:38 - 04:39] バンバン突っ込めばいいと思います
[04:39 - 04:40] そうですね
[04:40 - 04:43] 今のやり方としては
[04:43 - 04:45] 悟空の方で
[04:45 - 04:48] モールが5つあるんですけど
[04:48 - 04:49] このモール
[04:49 - 04:51] 楽天がちょっとまだ動いてないんですけど
[04:51 - 04:53] 4つですね現状では
[04:53 - 04:55] モールつなげていまして
[04:55 - 04:58] それをCSVで吐き出す
[04:58 - 04:59] それを
[04:59 - 05:01] AIに取り込む
[05:01 - 05:03] っていうようなことをしてますね
[05:03 - 05:05] 例で言いますと
[05:05 - 05:07] ちょっと試しにエクスポートを
[05:07 - 05:08] 1個しています
[05:08 - 05:11] こんなふうに連携はされているんですけど
[05:24 - 05:27] でね、荒川さんちょっとシンプルな質問なんだけど
[05:27 - 05:32] そもそもこれって何がいくら売れたかっていうデータじゃないですか
[05:32 - 05:32] これってね
[05:32 - 05:33] そうですね
[05:33 - 05:37] だから売れた分在庫は引かれていくっていう感じになるんだけど
[05:37 - 05:40] 逆にスタートの在庫を入れるときに
[05:40 - 05:42] 原価を入れるはずなんだよね
[05:42 - 05:43] そういう意味ですか
[05:43 - 05:46] そこってどうしてるの
[05:46 - 05:50] 導入時在庫ってことですか
[05:50 - 05:52] 単なる在庫数字
[05:52 - 05:54] 例えば在庫が増えた理由
[05:54 - 05:55] っていうところで言うとさ
[05:55 - 05:57] 例えば
[05:57 - 05:59] 仕入れの時とかですね
[05:59 - 06:03] 仕入れの時は
[06:03 - 06:06] 仕入れ伝票で
[06:06 - 06:09] 仕入れって弊社の場合だと
[06:09 - 06:11] ちょっと同じところから
[06:11 - 06:15] 本国の方からまとめて入れているので
[06:15 - 06:17] 例えば
[06:17 - 06:21] もうこんな感じですね
[06:21 - 06:24] 仕入れ電表を切って
[06:24 - 06:27] 数と金額を入れているような感じです
[06:27 - 06:31] 数のまま減価するか
[06:31 - 06:36] これが減価になりますね
[06:36 - 06:42] 平均現場のところを見せてとかいろいろ言わなきゃ
[06:42 - 06:51] そもそも商品台帳で現場の機能は何を今選択されてるんですか
[06:51 - 06:54] 多分標準とか平均とかあると思うんです
[06:54 - 06:59] これですかね
[06:59 - 06:59] そうですね
[06:59 - 07:03] これそのまま標準現場になってますね
[07:03 - 07:05] 特に選択をしていないので
[07:05 - 07:10] うちで言うと原材料が上下したりするんで
[07:10 - 07:14] 基本的には原価が月ごとに
[07:14 - 07:20] 月別総平均っていうのを選んで
[07:20 - 07:26] 月ごとにちょっと原価が変化してるような感じの原価を入力してます
[07:26 - 07:31] あまり変わらないんですかね仕入れの価格って
[07:31 - 07:33] いやいやいや変わりますね
[07:33 - 07:35] 輸入なので
[07:35 - 07:38] 為替の影響で変わりますね
[07:38 - 07:41] 金額自体はそんなには変わらないんですけど
[07:41 - 07:43] ドルベースでいうと
[07:43 - 07:46] 為替が影響あるんで
[07:46 - 07:48] もう必ず変わりますね
[07:48 - 07:50] 平均減価にしないと
[07:50 - 07:52] そこが薄めてダメなところにする
[07:52 - 07:58] これを全部設定する必要があるということです
[07:58 - 08:28] 売上げ減価の
[08:28 - 08:30] に入っている数字が
[08:30 - 08:33] 売上全票の原価の方に確か入るんですか
[08:33 - 08:34] 売上全票の方に入るんですけど
[08:34 - 08:37] それって勝手に入るわけじゃなくて
[08:37 - 08:40] CSVの段階に入れなきゃダメなんだよ
[08:40 - 08:42] CSVの段階に入れなきゃダメなんだよ
[08:42 - 08:45] 電票単位でいうと
[08:45 - 08:47] 売上原価の金額が
[08:47 - 08:49] 売上全票の原価に入りますよね
[08:49 - 08:52] 1個1個作る場合は
[08:52 - 08:53] その原価が出ますね
[08:53 - 08:54] なるほど
[08:54 - 08:55] これが飛んでくるんですよ
[08:55 - 08:56] 売上原価が
[08:56 - 09:00] うちは悟空を介しているので
[09:00 - 09:05] 悟空でまずCSVをダウンロードします
[09:05 - 09:08] そこからスプレッドシートに貼って
[09:08 - 09:14] 商品台帳と盲付けして原価を入力
[09:14 - 09:20] かつ有パックの送料も出るようになっているので
[09:20 - 09:22] 送料も含めてかかった経費が
[09:22 - 09:24] 一つの伝票に入ってくるような感じになっています
[09:24 - 09:33] なるほどCSVの方でそのデータベースを作る必要があるってことですね
[09:33 - 09:38] 整った状態で弥生にインポートするっていう感じにすると
[09:38 - 09:43] 原価も入りますしそれにかかっている送料も含まれて計上されます
[09:43 - 09:46] なるほどありがとうございます
[09:46 - 09:50] 現在ですとエクスポートしたものをですね
[09:50 - 09:52] 今映ってるような
[09:52 - 09:53] 貼り付けて
[09:53 - 09:55] やよいように
[09:55 - 09:57] 整えて
[09:57 - 09:59] 取り込んでいるんですね
[09:59 - 10:02] ここに原価っていう項目が
[10:02 - 10:04] 多分あると思うんですよね
[10:04 - 10:05] ここに入れて
[10:05 - 10:07] これですね
[10:07 - 10:09] 原価っていうエリアがあるので
[10:09 - 10:11] そこに入れないと
[10:11 - 10:13] CSVで取り込むときは
[10:13 - 10:14] そこに入れないと
[10:14 - 10:16] 原価かなADかな
[10:16 - 10:19] そちらの方に
[10:19 - 10:23] 現状の単価を入れないと
[10:23 - 10:24] やゆえの方には取り込まれない
[10:24 - 10:26] CSVでいう場合はそうですね
[10:26 - 10:29] これはもう単純にあれですね
[10:29 - 10:33] 例えば商品名だとかコードだとかで
[10:33 - 10:36] データベース化して拾っていく
[10:36 - 10:41] これ今商品コードとか商品名のデータベースなんですけど
[10:41 - 10:41] そうです
[10:41 - 10:43] そういったらやゆえの方で
[10:43 - 10:47] 月締めで行った時に
[10:47 - 10:48] 単価計算できるので
[10:48 - 10:50] 仕入れ金額とかと
[10:50 - 10:52] 計算して
[10:52 - 10:54] ジャンルの方に入るので
[10:54 - 10:56] その弥生の商品台帳を
[10:56 - 10:59] こちらのシートと連結させて
[10:59 - 11:01] 現代のAD列のところに
[11:01 - 11:03] 自動で入るような仕組みにしてる
[11:03 - 11:06] っていうのが長いになりますね
[11:06 - 11:08] もう一度いいですか
[11:08 - 11:10] 弥生の方が
[11:10 - 11:12] 多分限界変わって
[11:12 - 11:15] 変更されることがあると思うんですけど
[11:15 - 11:18] 常に連動していて
[11:18 - 11:19] 常に連動してるんですね
[11:19 - 11:23] ヤヨイの商品台帳を最新のものを持ってきて
[11:23 - 11:27] その現段階に入るようにしてるんですよ
[11:27 - 11:31] それ自動でっていうことですよね
[11:31 - 11:32] ヤヨイの方を変えたら
[11:32 - 11:36] 変わった数字が反映されるっていうのは
[11:36 - 11:38] うちで言ったら自動ですけど
[11:38 - 11:42] うちのシステムってあれなんですよ
[11:42 - 11:45] 自動でヤヨイから持ってくるようにしてあるので
[11:45 - 11:49] 裏でバックグラウンドでそういうプログラムが動いている状態なので
[11:49 - 11:51] もし本社でそういうシステムが
[11:51 - 11:55] 弥生で自動で持ってくる仕組み内容でしたら
[11:55 - 11:56] 一旦このシートに
[11:56 - 12:01] 弥生の商品代表のデータを貼り付けていただいて
[12:01 - 12:04] そこを持ってくるっていう商品コードで紐付けて
[12:04 - 12:07] そこの弥生さんのところに表示していただくっていう
[12:07 - 12:09] 処理が必要かなと思われます
[12:09 - 12:15] そこを常に最新の毎回きちんと貼り付けて
[12:15 - 12:16] そうですね
[12:16 - 12:18] 毎回でなくても
[12:18 - 12:21] 原材料費が変わったタイミングですかね
[12:21 - 12:24] 弥生のマスターは更新されて
[12:24 - 12:27] 現段階が変わった段階で
[12:27 - 12:29] うちで言ったら月に1回
[12:29 - 12:31] 月締めで最終日
[12:31 - 12:34] 月末に棚卸しをして
[12:34 - 12:39] 11月だったら11月までの分の
[12:39 - 12:41] 売上しか入っていない状態で
[12:41 - 12:43] 減価更新化をして
[12:43 - 12:46] 翌月からは更新された金額での
[12:46 - 12:49] 減価計算されるという感じです
[12:49 - 12:50] 平均減価です
[12:50 - 12:53] 月の平均減価で計算して
[12:53 - 12:58] 月に1回減単価を計算するようになりますね
[12:58 - 13:02] それを翌月適用していくということですね
[13:02 - 13:05] なるほど、わかりました
[13:05 - 13:09] なのでそのタイミングでしか変わらないということですね
[13:09 - 13:11] そのやり方だと
[13:11 - 13:14] 単価は毎日買えるわけじゃなくて平均で
[13:14 - 13:17] 計算の方は弥生の方でしてくれるので
[13:17 - 13:23] 計算の方っていうのは
[13:23 - 13:30] 弥生の方で1月分の仕入れをまとめて
[13:30 - 13:34] 平均の単価を出すことができるということですか
[13:34 - 13:36] 仕入れ伝票と
[13:36 - 13:40] 売り上げは入れてない
[13:40 - 13:42] 仕入れ伝票さえ入れておけばいいんです
[13:42 - 13:43] 仕入れ伝票入れて
[13:43 - 13:46] 何て画面だっけ
[13:46 - 13:49] そこで見ながらやったらいい
[13:49 - 13:50] これで見れます
[13:50 - 13:52] あらかわさん
[13:52 - 13:55] ちょっと切っちゃいました
[13:55 - 13:57] これですね
[13:57 - 14:00] 仕入れ
[14:00 - 14:01] 1ヶ月
[14:01 - 14:03] 棚卸しの最後の
[14:03 - 14:04] 減価更新
[14:04 - 14:07] 減価更新
[14:07 - 14:13] 大綱の
[14:13 - 14:16] これですか
[14:16 - 14:21] そこで一旦集計してもらって
[14:21 - 14:26] 減価が出てくるような感じですね
[14:26 - 14:27] なるほど
[14:27 - 14:32] これを月別総平均してると
[14:32 - 14:35] 平均した金額を出してくれるんですね
[14:35 - 14:36] そうですね
[14:36 - 14:43] うちの場合は原材料とかもありまして
[14:43 - 14:47] 弥生単体では計算できない部分があるんですね
[14:47 - 14:52] 商品マスターに登録しているものだけで計算するんじゃなくて
[14:52 - 14:56] そこからさらに液材を分量で分けて
[14:56 - 14:58] 一つの製品が出来上がるので
[14:58 - 15:01] 生産っていう概念があるんですよね
[15:01 - 15:06] このシートを一旦ダウンロードして
[15:06 - 15:10] 別のシートに貼ってまたそれを計算したものを
[15:10 - 15:13] 台帳に貼って更新しているような状態です
[15:13 - 15:18] それは生産という業務が発生しているので
[15:18 - 15:21] それがないのであれば
[15:21 - 15:25] ここのシールだけで多分提携が出されると思います
[15:25 - 15:27] わかりましたありがとうございます
[15:27 - 15:30] そうですねそういった意味で
[15:30 - 15:33] セット組みたいなので生産は使ってはいるんですけど
[15:33 - 15:36] 生産代電表自体は
[15:36 - 15:37] ただ多分
[15:37 - 15:43] そういう調合してとかそういう感じではないので
[15:43 - 15:46] 大丈夫なのかなと思いますね
[15:46 - 15:50] セット組の商品の登録ってどういうふうにしてます?
[15:50 - 15:52] 商品として登録しちゃってるでしょ
[15:52 - 15:56] セット商品登録してない
[15:56 - 15:59] 生産伝票で
[15:59 - 16:01] そうですね
[16:01 - 16:06] 何を
[16:06 - 16:08] 商品代表
[16:08 - 16:15] セット商品の考え方的には
[16:15 - 16:18] 構成部品というので
[16:18 - 16:21] セットの内容を登録しなきゃいけないんですね
[16:21 - 16:24] はい
[16:24 - 16:28] すぐに構成部品で登録してありますね
[16:28 - 16:32] セット商品はそういう風に登録してるんですかね
[16:32 - 16:35] そういうのはありますね
[16:35 - 16:36] じゃあできてますね
[16:36 - 16:39] これが売れた時って多分在庫が
[16:39 - 16:45] セット商品これで言うとリカバリーで一番
[16:45 - 16:48] リカバリーブースター
[16:48 - 16:54] 完成商品は肌行く3日間チャレンジリカバリー
[16:54 - 16:55] そうですよね
[16:55 - 16:57] これでもしこの商品が売れた場合って
[16:57 - 17:00] この完成商品リカバリーの商品が
[17:00 - 17:03] 多分マイナスになると思うんですよ
[17:03 - 17:03] そうですね
[17:03 - 17:05] 在庫数的には
[17:05 - 17:08] 私の場合は生産電表を立てて
[17:08 - 17:12] 計上しているような感じなんですかね
[17:12 - 17:12] そうです
[17:12 - 17:14] 生産電表を作って
[17:14 - 17:19] なので構成されているものはその時点でマイナスになって
[17:19 - 17:21] できてますね
[17:21 - 17:24] セット商品は問題なくできてると思う
[17:24 - 17:29] 確かその生産電表を立てる時にも原価出てると思うけど
[17:29 - 17:36] それも確か商品台帳の原価から引っ張ってるはずなんで
[17:36 - 17:46] 参照で何か一つもし見せていただけるので
[17:46 - 17:48] ちょっと分かりづらいですね
[17:48 - 17:53] でも今入ってないですね
[17:53 - 17:54] これとかですね
[17:54 - 17:57] 今受け入れ単価っていうところに
[17:57 - 18:00] 原価が入ってくるはずな
[18:00 - 18:04] 台帳に入ってないから出てきてないですね
[18:04 - 18:08] 出れば生産電表のところにも結果出る
[18:08 - 18:14] 台帳っていうのは
[18:14 - 18:18] この構成されているものの
[18:18 - 18:20] それぞれの台帳ですか
[18:20 - 18:23] それかセットはセットでみたいな
[18:23 - 18:25] 構成されているもので
[18:25 - 18:30] それが自動計算されるんじゃないの
[18:30 - 18:33] こっちで生産電表のほうで
[18:33 - 18:42] なので商品台帳の中に原価が出ておけば
[18:42 - 18:46] 今の生産伝票にもちゃんと反映される
[18:46 - 18:51] うちの場合は
[18:51 - 19:17] 今大丈夫ですか音は
[19:17 - 19:17] はい
[19:17 - 19:24] 先ほどの話だと
[19:24 - 19:27] それぞれのものに原価が登録されていれば
[19:27 - 19:31] このセットも先ほどのところに反映されるということですね
[19:31 - 19:34] わかりました
[19:34 - 19:39] 実際にやったほうがいいんじゃない?今モデル作って
[19:39 - 19:43] 実際に出ていただければ多分そこに出てくると思うんですけどね
[19:43 - 19:44] 商品台帳の中に原価
[19:44 - 19:52] どこだっけ
[19:52 - 19:53] 原価っていくつかあるよね
[19:53 - 19:54] どこにいるんだっけ
[19:54 - 19:58] 生産の時と売り上げの時違うじゃん
[19:58 - 20:02] 仕入れの金額と違ってきます
[20:02 - 20:06] 一で言うとセット商品の完成品の原価も入ってるんですよ
[20:06 - 20:09] それってほら一応生産があるんで
[20:09 - 20:12] 原価更新の時のスプレッドシート上でも
[20:12 - 20:14] 計算されたものが入力されているので
[20:14 - 20:17] それがない場合の生産電表が
[20:17 - 20:18] どうなるかが
[20:18 - 20:20] ごめんなさいちょっと分からない
[20:20 - 20:23] うちは基本的に入っちゃっているので
[20:23 - 20:26] 確か売り電に入れるときと
[20:26 - 20:28] 生産のときの電荷も
[20:28 - 20:29] 持ってくる場所も違っているのに
[20:29 - 20:30] するんだけど
[20:30 - 20:32] 分かったかね
[20:32 - 20:39] 登録してみますね
[20:39 - 20:57] 仕入れ単価じゃなくて売上げ減価の方に入れていく必要があるんですね
[20:59 - 21:05] ここに今入って登録をします
[21:05 - 21:10] そうすると生産例
[21:23 - 21:24] 一応一応お待ちしております
[21:24 - 21:27] 売上原件と仕入れ単価と標準原件が
[21:27 - 21:29] 全部同じ値を与えられているのか
[21:29 - 21:31] 同じですけど仕入れ結果は
[21:31 - 21:35] 変わってくる
[21:35 - 21:38] その時購入した時に
[21:38 - 21:39] 変わった
[21:39 - 21:42] 閉めた時に
[21:42 - 21:43] そんなにコピーしてなかった
[21:43 - 21:45] 月に1回
[21:45 - 21:50] 電化コースの表にコピーしてますよ
[21:50 - 21:52] だから3つとも入れなきゃいけないんじゃない
[21:52 - 21:53] 多分
[21:53 - 21:55] 今数量入れてもらっていいですか
[21:55 - 21:58] 今数量
[21:58 - 22:00] これセットの数量でいいですかね
[22:00 - 22:03] 完成品の方に入れないとダメですね
[22:03 - 22:08] そこに入れると勝手に下の部品の数量も変わるんで
[22:08 - 22:11] ここ一旦消しました
[22:11 - 22:21] これで単純に5倍になったということですね
[22:21 - 22:27] その下の部品の原価って先ほど言いましたかね
[22:30 - 22:39] これが完成品の方になっちゃってました
[22:39 - 22:44] 構成部品にも入ってますね一番
[22:44 - 22:49] 構成部品の方の限界以内に入れるってことですね
[22:49 - 23:10] うちのやつ見てもいいんじゃない
[23:10 - 23:11] うちのやつ
[23:11 - 23:12] そうか
[23:12 - 23:14] ロジックで入っちゃってるからか
[23:19 - 23:23] 売上減価、仕入れ単価、標準減価を
[23:23 - 23:26] 買っても入るのか
[23:26 - 23:29] いや、でも手で買えるのっていくつかあるよね
[23:29 - 23:30] 1個しか入らないんじゃなかった?
[23:30 - 23:31] 自動計算したら
[23:31 - 23:34] ちょっとだけ
[23:34 - 23:38] 月に1回、結果計算するやん
[23:38 - 23:41] その後にスプレッドシートで作業してるんじゃなかったっけ
[23:41 - 23:42] スプレッドシートで作業してるんですよ
[23:42 - 23:45] うちは生産があるんで
[23:45 - 23:47] その時に
[23:47 - 23:52] 売上減価と仕入れ単価と標準減価同じ値を コピーしてなかったっけ
[23:52 - 23:53] コピーはしてないです
[23:53 - 23:54] そうなの 勝手に入ってた
[23:54 - 23:54] 勝手に入ってます
[23:54 - 23:57] あ ほんと ごめん じゃあちょっと俺の勘違い
[24:03 - 24:06] ね 入れていただいたやつ どうか
[24:06 - 24:07] はい
[24:17 - 24:19] 今これには入れたんですね
[24:19 - 24:22] 他のちょっとまだ入れてないんですけど
[24:22 - 24:27] やっぱり完成品の方出てないですね
[24:27 - 24:29] そうですね
[24:29 - 24:33] 完成品も原価入れないとダメです
[24:33 - 24:36] 完成品は完成品で入れないといけないですね
[24:36 - 24:40] うちはもうそれ入れてる状態で
[24:40 - 24:42] 一方としてるんで全部入ってますね
[24:42 - 24:46] 基本的に売上原価と標準原価が
[24:46 - 24:48] 結構同じ金額になってて
[24:48 - 24:50] 仕入れ原価って仕入れ電表
[24:50 - 24:56] 仕入れ電表を作る時に出る単価のところなんで
[24:56 - 25:01] 仕入れ原価だけはちょっと金額が違う場合がある
[25:01 - 25:04] 午前11時です
[25:04 - 25:11] 仕入れ電表の時に自動的に出てくるのが仕入れ原価
[25:11 - 25:11] そうです
[25:11 - 25:13] なるほど
[25:13 - 25:19] それがどこか原価とかに集計されて
[25:19 - 25:21] つながっていくようなものではないんですね
[25:21 - 25:26] そこに入力して発注して受入れして
[25:26 - 25:29] それに提金して計算されたものが
[25:29 - 25:34] 売上原価の方に入ってくる感じになりますね
[25:34 - 25:37] なるほど
[25:37 - 25:40] なので仕入れて購入されるタイミングで
[25:40 - 25:42] 金額変わってくると思うので
[25:42 - 25:47] 完全に変わったっていうタイミングで
[25:47 - 25:50] 私はマスターの仕入れ単価
[25:50 - 25:52] 仕入れ原価を変えてます
[25:52 - 26:00] 完全に変わるっていうのは
[26:00 - 26:03] 平均を出してってことですか
[26:03 - 26:06] 毎月の月締めをして
[26:06 - 26:10] 月の平均を出してそれに変えている
[26:10 - 26:15] それと単純に発注するときの仕入れの金額が変わったときに
[26:15 - 26:17] 変えているってことですか
[26:17 - 26:18] 私の場合は
[26:18 - 26:25] 発注をかけるときに金額が変わってたら
[26:25 - 26:28] 商品マスターの中の仕入れ原価を変えてます
[26:28 - 26:30] 分かりました
[26:30 - 26:35] 計算自体は受け入れしたときの金額で計算されるはずなので
[26:35 - 26:39] そこから平均が出るみたいな
[26:39 - 26:40] 分かりましたありがとうございます
[26:40 - 26:45] 結局
[26:45 - 26:49] 官邸品も厚生部品も
[26:49 - 26:51] 原価は入れておかないとダメです
[26:51 - 26:54] ということですね
[26:54 - 26:59] ただ今の話で言うと
[26:59 - 27:01] それを弥生上で
[27:01 - 27:02] 入れたとしても
[27:02 - 27:04] 僕で落としてくる
[27:04 - 27:06] インポートのデータに原価が
[27:06 - 27:08] 紐づいてないとそもそも入らないので
[27:08 - 27:12] それは裏のプログラムで
[27:12 - 27:15] 弥生の商品台帳のデータを
[27:15 - 27:17] スプレッドシートと連動させて
[27:17 - 27:20] それで商品コードと紐づかせて
[27:20 - 27:23] スプレッドシートの中で
[27:23 - 27:25] さっきのADだったかな
[27:25 - 27:28] そこのインポートするデータの中で
[27:28 - 27:31] 単価を持ってきて設定してるっていう
[27:31 - 27:33] 流れになりますね
[27:33 - 27:35] それをエクスポートして
[27:35 - 27:37] 弥生にインポートする
[27:37 - 27:41] なるほど
[27:41 - 27:45] じゃあそこが自動連携ができないとすると
[27:45 - 27:49] そこは常に更新して
[27:49 - 27:51] 今あれですね
[27:51 - 27:54] 生産電表はCSV取り込みじゃなくて
[27:54 - 27:56] 手でやっているんですよ
[27:56 - 27:59] そんなに量があるわけじゃないっていうのもあって
[27:59 - 28:02] あと悟空はそこは関係がないので
[28:02 - 28:11] 手でやっている分には台帳に入っていれば
[28:11 - 28:15] 反映がされるので
[28:15 - 28:21] 完成品と構成部品と両方の原価を正しく入れておけばOK
[28:21 - 28:22] そうですね
[28:22 - 28:23] ということですね
[28:23 - 28:24] ありがとうございます
[28:24 - 28:29] 試さなくていい?大丈夫?
[28:32 - 28:36] もうちょいいいですか
[28:36 - 28:38] 試さなくていいんです
[28:38 - 28:42] 今ちょっとせっかく人がいるんだったら
[28:42 - 28:43] 一個なんかのやつ入れてみて
[28:43 - 28:45] こういう動きだねっていうのを
[28:45 - 28:47] 確認しなくて大丈夫ですか
[28:47 - 28:57] ちょっと台帳の方で
[28:57 - 29:03] 生産の方の台帳
[29:03 - 29:16] ちょっと戻らせてもらって
[29:16 - 29:19] 仕入れ全部の方で入っていって
[29:19 - 29:40] 生産電表を試しに作成させていただきます
[29:49 - 30:11] 演歌方針って生産連絡票のほとんどにも
[30:11 - 30:12] 反映されるんだっけ
[30:12 - 30:14] 反映されるはず
[30:14 - 30:18] この月1回なんで
[30:19 - 30:29] 生産伝票の 生産した内容が反映されるのも 月1回の頭でやってるね
[30:49 - 31:19] ご協力ありがとうございました
[31:19 - 31:49] ご視聴ありがとうございました
[31:49 - 32:15] なんか今シートに入力してるんですか
[32:15 - 32:16] 荒川さん
[32:16 - 32:23] 今の原価を調べてるところですね
[32:23 - 32:26] すみませんお待たせしちゃって
[32:26 - 32:35] ここでいいの?登録者が
[32:35 - 32:37] ちょっとお迎えいたします
[32:37 - 32:39] 標準原価っていらんかったっけ
[32:39 - 32:41] 標準原価もうち入れてます
[32:41 - 32:44] ちょっと原価の違いが
[32:44 - 32:56] 売上玄関が売上玄関に入るだけじゃなくて売上玄関にも入ってた
[32:56 - 32:59] 売上玄関にも入った
[32:59 - 33:06] こっちかしらに入らなかったような気もするんだけど
[33:06 - 33:11] シート上でやってるから入ってるんだ
[33:11 - 33:12] そうそうそう
[33:12 - 33:15] シート上で再設定してから入ってんじゃねえかな
[33:15 - 33:18] ちょっとだっけ
[33:18 - 33:23] うちは手で3つ入れればいいんだけど
[33:23 - 33:24] 全然
[33:24 - 33:27] だったよね確かに
[33:27 - 33:28] 3つ入れてます
[33:28 - 33:30] 改めてやってるんですが
[33:30 - 33:33] この3つ売上原価 仕入れ単価 標準原価
[33:33 - 33:38] この使い分けというか
[33:38 - 33:41] どうなってますか 違いというか
[33:41 - 33:46] 売上原価は売上電表を作るときに
[33:46 - 33:49] 電表を手で入れるときに作ったときに
[33:49 - 33:51] 自動で入る原価ですね
[33:51 - 33:55] 仕入れ単価は仕入れ電表を作ったときに
[33:55 - 33:58] 初期表示される金額で
[33:58 - 34:05] 表現的な原価を入力します
[34:05 - 34:06] 在庫評価方法で
[34:06 - 34:09] 標準原価法を選択した場合は
[34:09 - 34:12] 在庫単価に使用します
[34:12 - 34:20] ただ標準原価
[34:20 - 34:25] 標準原価を使用する場合だけ
[34:25 - 34:26] ってことですよねそれは
[34:26 - 34:30] そうですねここで今弥生のヘルペ見てますけど
[34:30 - 34:32] そういうニュアンスですね
[34:39 - 34:40] 在庫の評価式か
[34:40 - 34:41] 見つかるのか
[34:41 - 34:46] 在庫資産として見るときに使ってるだけで
[34:46 - 34:48] 一応見てないから別に
[34:48 - 34:49] そこは関係ないか
[34:49 - 34:51] でも勝手に計算さないのか
[34:51 - 35:02] 長順原価でしたっけ?売上原価だと私は思ってます
[35:02 - 35:09] ちょっと入れてみて
[35:09 - 35:13] どこに反映されるんですかね
[35:13 - 35:16] 一度も入れとけば間違いないと思いますけど
[35:16 - 35:19] 仕入れは原価じゃないですもんね
[35:19 - 35:20] 仕入れ単価って書いてあるんで
[35:20 - 35:22] 仕入れ武器が
[35:22 - 35:25] そうですね仕入れタンカーですよね
[35:25 - 35:27] はいはい
[35:27 - 35:29] だからそういう全然別物
[35:29 - 35:30] っていうことですね
[35:30 - 35:35] 売上減価に
[35:35 - 35:36] 入っていれば
[35:36 - 35:39] さっきの生産点表に反映は
[35:39 - 35:42] されるというのと
[35:42 - 35:43] あと標準減価が
[35:43 - 35:45] あれですか棚越ししたの
[35:45 - 35:47] 評価とかに関わってくる
[35:47 - 35:49] ということですかね
[35:49 - 35:58] 出荷伝票をしたときに算出されるって私のメモには書いてあります
[35:58 - 36:06] 例えばなんですけど
[36:06 - 36:14] 売れた以外で在庫を調整するときに出荷伝票を使うと思うんですよね
[36:14 - 36:15] そういうために
[36:15 - 36:27] その時に計算される原価が
