[00:00 - 00:01] 2月20日からなんでね
[03:20 - 03:25] それでこっちからのお願いというか提案としては
[03:25 - 03:33] どの商品でも利益率40%取れるような値段設定にお互いにしませんかっていう
[03:33 - 03:36] それもちょっと条件で出してるから
[03:36 - 03:40] 今ちょっとうちの見解からすると
[03:40 - 03:46] まず一つは回転率が落ちているというのはこれは間違いなくあります
[03:46 - 03:53] 実のところでいうとうちも出している価格としては以前から変えていなくて
[03:53 - 03:57] 仕入れ価格に関しては他のところに対して
[03:57 - 03:59] 5掛けで出しているという状態なので御社だけ
[03:59 - 04:05] なので基本的にこの条件って3年前から全く変わっていないという感じなんです
[04:05 - 04:08] 値上げが他のところであったんだけど
[04:08 - 04:11] 本社だけは変えてないっていうのは実情としてあります
[04:11 - 04:15] その中で利益率っていうふうになると
[04:15 - 04:22] うちとしてはうちのSKUつまり製品構成を変えた状態のものに対して
[04:22 - 04:25] 利益率っていうのはちょっとうちが手つけられない話
[04:25 - 04:30] うちが勝手に独自でやってるセット内容に関しては
[04:30 - 04:32] うちは関与できないっていう
[04:32 - 04:34] そこに関しては
[04:34 - 04:38] そこで同率にするっていう話になっちゃうと
[04:38 - 04:43] 要するにうちだと3本セットなのが1本セットで出してて
[04:43 - 04:46] 1本あたりの利益で見てっていう計算式になっちゃってるから
[04:46 - 04:50] それはちょっとうちはどうしようもねえぞっていう話にしかならなくて
[04:50 - 04:53] ただこういう話も出るだろうとは思って
[04:53 - 04:55] 一応アイデアを出してきた
[04:55 - 05:00] でもうちの見解としては基本的に回転率が落ちてるイコール
[05:00 - 05:04] 動画の排出率が落ちてると思ってて
[05:04 - 05:08] ここ最近の半年の動画の排出率って
[05:08 - 05:14] 実は2年前の排出率の大体3分の1ぐらいまで落ちちゃってるから
[05:14 - 05:17] まずここを改善しなきゃいけないっていう風に
[05:17 - 05:22] 僕はもし御社の経営者であったら見るところかなって思ってて
[05:22 - 05:29] その上で今の何が原因で動画の排出率が落ちてるかっていうのは
[05:29 - 05:31] 外から見てるから分かんないんだけど
[05:31 - 05:36] 一つは一人でワンオペでいろいろやらなきゃいけないことがたくさんあるから
[05:36 - 05:37] 配送とか
[05:37 - 05:41] だから多分時間が取れないっていうのもあるんだろうなっていうのは
[05:41 - 05:46] 今以前だったら向こうの事務員さんとかで協力してもらったりとか
[05:46 - 05:47] あんまり目立ったらそう
[05:47 - 05:52] 実際今言ってる中で一番落ちてる要因はネタがない
[05:52 - 05:54] 車がないですね
[05:54 - 05:56] それを会長とはお話をしてて
[05:56 - 06:00] 今車を常に入れてもらえるような
[06:00 - 06:05] 1週間に1回車を回転させるような方向で話し合いはしてて
[06:05 - 06:08] それを今月からやり始めているので
[06:08 - 06:11] そこは大丈夫かなとは思っています
[06:11 - 06:14] その原因が分かっているんだったらいいかなと思っている
[06:14 - 06:16] 動画は実際落ちてはいる
[06:16 - 06:18] そこは会長と話しました
[06:18 - 06:21] 一番の強みは長井君がやっぱり動画なので
[06:21 - 06:22] そうですね
[06:22 - 06:25] だから動画に集中してもらった方が
[06:25 - 06:28] 多分結果が出やすいだろうというふうに思っています
[06:28 - 06:40] その中でもやっぱり数打たないと当たるもの当たらないものって同じネタって同じようなのにやってても結構違うなっていう風に
[06:40 - 06:41] お客さんそうですね
[06:41 - 06:44] 出す時期にもよるしっていうのがあって
[06:44 - 06:48] そういったところがやっぱりなんかあれで
[06:48 - 06:52] ここ最近2週ぐらいの動画は僕の中で結構好評で
[06:52 - 06:53] そう僕もなんですよ
[06:53 - 06:56] それなんでかって言ったらやっぱり喋ってるのと
[06:56 - 06:58] あと昨日の動画見ました
[06:58 - 06:59] 見た見た
[06:59 - 07:01] ソラ使いました
[07:01 - 07:05] YouTubeの方で一昨日か上げたやつ
[07:05 - 07:07] コメントで分かりやすい
[07:07 - 07:12] お客さんにも本当に利益がある動画の内容になってるっていうのが
[07:12 - 07:16] 実はこの2週間の中で一番受けてる理由になってるのかな
[07:16 - 07:19] 初期の頃の動画ってそうだったんだよね
[07:19 - 07:19] そうですね
[07:19 - 07:22] お客さんに利益がある内容になってるから
[07:22 - 07:24] お客さんこれが欲しいっていう風になってたんだけど
[07:24 - 07:27] ちょっとここまでの半年間って
[07:27 - 07:29] そこよりかはちょっと視点が違うところに
[07:29 - 07:31] 行ってる動画が多かったから
[07:31 - 07:34] 多分この路線で行けば行けるんだろうなと
[07:34 - 07:35] そういう風には思うんだけど
[07:35 - 07:37] ただそれにしてはやっぱりちょっと
[07:37 - 07:39] 動画をやる
[07:39 - 07:40] 例えば動画がバズりました
[07:40 - 07:42] 売れました
[07:42 - 07:44] 梱包作業とか仕入れ作業とか
[07:44 - 07:47] 発送作業で山ほど時間潰れます
[07:47 - 07:49] 動画が作れませんっていうのが
[07:49 - 07:51] なんかちょっと見えてるもんね
[07:51 - 07:58] まずった場合はそうですねー まあそこを今会長にもお手紙をしようとしている
[07:58 - 08:06] でないよとビジョンは釣りしかしちゃダメなんだけどそう言ってらんないからね そうなった場合は
[08:06 - 08:16] ただのまあ前のほら1ヶ月前にうちのあの一緒に住んでる 彼女どうなったらなんか一緒に出てたけど1ヶ月間だからあの1ヶ月間だけ一緒に
[08:16 - 08:24] やったんですよやっぱその時はで動画を撮りやすかったんですよね取りためられたし いや俺に言わせると8月でしょ
[08:24 - 08:28] 8月 8月なんだよ
[08:28 - 08:35] 8月って休みあるじゃん今休みから じゃあ動画いっぱい溜まったらさクローズにどんと出せるでしょ
[08:35 - 08:43] それはクローズが一番売れてねーんだよ そうですねちなみにうちはどうかというと例年通りです
[08:43 - 08:45] 100万円ぐらい落ちてるんだよ
[08:45 - 08:50] そこはやっぱりちょっと後で指摘する部分なんだけど
[08:50 - 08:54] いろいろ実は本社の中で抱えている問題があって
[08:54 - 08:55] っていうところかな
[08:55 - 08:59] であるのでその辺がちょっとありますと
[08:59 - 09:01] でまぁちょっと本題に入りましょうか
[09:01 - 09:06] でうちの方からお出しさせていただく2案あります
[09:06 - 09:10] プログラムAとプログラムBという形でやっています
[09:10 - 09:22] プログラムAは多分欲しかったもんでしょうというところです
[09:22 - 09:27] プログラムBは基本的に人件費が出せないという状況から考えたら
[09:27 - 09:30] こうした方がいいんじゃないのか説で
[09:30 - 09:33] プログラムAなんて1枚減らないのに
[09:33 - 09:39] プログラムBはびっちり30ページ近い内容になっています
[09:39 - 09:43] これプログラムAははっきり言います
[09:43 - 09:46] うちの利益はゼロどころかマイナスです
[09:46 - 09:49] っていうぐらい削りに削って出しています
[09:49 - 09:52] ただこれ実施するにあたっては
[09:52 - 09:54] ノルマを敷かせていただきます
[09:54 - 09:56] これをやっているとうちは
[09:56 - 09:59] 事前事業に仕方がなくなってしまいますので
[09:59 - 10:03] 一緒に成長していくっていうところに関しては
[10:03 - 10:05] プログラムAに関しては
[10:05 - 10:11] 最低の発注額っていうのを設定させていただくっていうことがあくまで
[10:11 - 10:12] 毎月120万
[10:12 - 10:13] ミニマム
[10:13 - 10:14] ミニマム
[10:14 - 10:16] シーデ額がね
[10:16 - 10:18] 割っちゃいかんよ
[10:18 - 10:24] 120万を割らないで毎月必ず発注してくださいねっていうこと
[10:24 - 10:25] つまりそれが
[10:25 - 10:26] どこに書いてあるの?
[10:26 - 10:27] 裏に書いてある
[10:27 - 10:28] 裏ね
[10:28 - 10:33] 本来はごめんなさい私170万が目標でした
[10:33 - 10:34] はいはい
[10:34 - 10:38] ただこれ書いてた時って
[10:38 - 10:40] あの2本が出る前
[10:40 - 10:41] なるほど
[10:41 - 10:43] なるほど
[10:43 - 10:45] 意味が分かりました
[10:45 - 10:47] この調子でいくと絶対無理だろう
[10:47 - 10:50] って思ったのでちょっと緩めましたが
[10:50 - 10:52] 本来は170万ないと
[10:52 - 10:54] 全く
[10:54 - 10:57] ダメっていう感じです
[10:57 - 11:00] 価格表のところで見てもらうと
[11:00 - 11:04] 本当に限界の門まで来てる状態で
[11:04 - 11:05] やってるので
[11:05 - 11:09] マッシブはほぼ無理
[11:09 - 11:09] だと思います
[11:09 - 11:11] マッシブは無理
[11:11 - 11:13] めっちゃ高いんで
[11:13 - 11:15] 無理です
[11:15 - 11:17] MPSに関しても
[11:17 - 11:20] 元々半年以下の状況で
[11:20 - 11:21] 出してる状況なんで
[11:21 - 11:23] それよりってなると
[11:23 - 11:25] もううちの分を引くしかない
[11:25 - 11:26] っていう形なんで
[11:26 - 11:29] 要するにうちの取り分の分を
[11:29 - 11:31] 全部ほぼ取り崩してるような状態
[11:31 - 11:33] というような形の
[11:33 - 11:36] 超出血大サービスですが
[11:36 - 11:41] 私はプログラムAを選ぶと継続性がないという風にちょっと思っています
[11:41 - 11:48] これなぜかというとさっき言った売れると発送っていう部分だったりとか
[11:48 - 11:54] リパック商品うちからの取り崩し商品で売ったりとかするので
[11:54 - 12:00] 在庫管理とか販売管理っていう部分が必ず必要になってくるので
[12:00 - 12:03] この調子でいるとダメというふうに思っていて
[12:03 - 12:08] 今のやり方のまま売上を上げるということに関しては
[12:08 - 12:11] 基本的に短期しか続けられないと思っています
[12:11 - 12:14] 何が必要かというと
[12:14 - 12:18] これをやりつつ今から言う御社の弱点というのを
[12:18 - 12:22] 改善できるのであればプログラムAを選択するということも
[12:22 - 12:26] 一つあり得るだろうというふうには思っています
[12:26 - 12:28] それ何かというと
[12:28 - 12:30] まずベースからの脱却です
[12:30 - 12:32] それは考えてますね
[12:32 - 12:34] どうすればいい?
[12:35 - 12:43] 会長ね自社で販売サイト持てばそういうのはなくなりますよ
[12:43 - 12:50] うちも実は去年の1月から自社の販売サイトを持っています
[12:50 - 12:52] ただ作るとか高いんですよ
[12:52 - 12:55] 作るのは別にそんなに問題じゃない
[12:55 - 12:56] そうなんですか
[12:56 - 12:59] 今僕が他の会社でコンサルでやってるやつでも
[12:59 - 13:01] ショピファイってのも使うんだけど
[13:01 - 13:03] そんなに難しくないんだけど
[13:03 - 13:07] 今一番僕がベースで問題視してるのが何かというと
[13:07 - 13:09] 御社の不誠実さ
[13:09 - 13:12] 何かわかりますか
[13:12 - 13:16] 例えばですよベースのホームページを見ると
[13:16 - 13:19] 一番下に特証法って会長ご存知ですか
[13:19 - 13:23] 通販で商売をする上で
[13:23 - 13:26] 必ず特証法ってものを掲げなきゃいけないんですよ
[13:26 - 13:32] これ法律になってるんですよ。要するにどこの誰がなっていう形態で、どういう返品ルールだったり、発送ルールだったり。
[13:32 - 13:34] そういうのをきちんと決めればねってこと?
[13:34 - 13:40] で、それが今のところ、例えば表向きの名前はアイシャドラックになってるんですけども、
[13:40 - 13:46] アイシャドラック・エムゼックっていう名前になってたり、特証法の表記のところは長い目の時になってたりするんですよ。
[13:46 - 13:54] で、実際の会社の所在地とか発送とかっていうのがなくって、それがもうベースが代わりになるみたいな形になっちゃってるんで、
[13:54 - 13:56] 怪しい感じだったとか
[13:56 - 14:01] あとホームページの中に問い合わせのところのリンクがあるんだけど
[14:01 - 14:02] 押しても飛ばない
[14:02 - 14:03] え?
[14:05 - 14:06] っていうのを多分気づいてないだろう
[14:06 - 14:07] 気づいてないことですよ
[14:07 - 14:08] え?問い合わせに飛ばない?
[14:08 - 14:09] うん
[14:09 - 14:12] 画面の下の方とかにトップページの下の方に
[14:12 - 14:14] お問い合わせはこちらからって押すんだけど
[14:14 - 14:16] リンク切れになってたりとか
[14:16 - 14:17] え?でも問い合わせきますよ実際
[14:17 - 14:20] 多分それは買った人の問い合わせ
[14:20 - 14:21] いや買う前から
[14:21 - 14:23] でも一回やってみたら分かるさ
[14:23 - 14:30] だから要するにユーザーが長居くんの動画いいなって思って
[14:30 - 14:33] 買おうと思う時に色々やっぱり
[14:33 - 14:37] Amazonとかだったら取引の経緯があったりするから
[14:37 - 14:40] これでいいやポチって買えるんですけど
[14:40 - 14:44] 知らないショッピングサイトで見る時って
[14:44 - 14:46] やっぱり詐欺じゃないかなとかって見るので
[14:46 - 14:49] そこにやっぱり誠実さっていうのをちょっと色々出さなきゃいけないので
[14:49 - 14:53] そこをやっぱり充実させなきゃいけないのと
[14:53 - 14:59] うちもそうなんだけど、サポートめちゃくちゃ力入れるんだよ。ファンになってもらうために。
[14:59 - 15:03] 一回心掴まれた人ってずっと気に入って買ってくれるんだけど、
[15:03 - 15:12] で、実はちょっとこれ耳が痛い話かもしれないけど、ここ最近うちにかかってくるサポート依頼のテーマは、
[15:12 - 15:15] 永井くんのうち。
[15:15 - 15:18] それって早く遅れってやつですよね。
[15:18 - 15:25] いや、早く遅れだけじゃなくて、聞いたんだけど、自分の納得いく答えにならなくて、
[15:25 - 15:32] 買ったとこ違うけど、メーカーはあんたのとこだからっていう話が結構あって、
[15:32 - 15:38] あれって思ってたんだけど、ただまあ、それはちょっとそのことを個別に言ってもね、
[15:38 - 15:42] どういう事情かっていうとこの済み合わせに必要になってくるし、あれだと思うんだけど、
[15:42 - 15:51] 俺はこの際きちっとちゃんともう一回その売り場っていうところを整えるっていうのはやった方がいいんじゃないか
[15:51 - 15:54] それは俺も同感です
[15:54 - 15:57] 顔がでもね見えないからね
[15:57 - 16:03] 見えないんだけどでも一言目に言ってくれるのはあの動画に出てたメガネの人ですか
[16:03 - 16:06] だから動画の印象はいいのよ
[16:06 - 16:11] なんだけど買うっていうところに踏み切るまでのところで
[16:11 - 16:12] 多分みんなつまずいてたり
[16:12 - 16:16] 買った後の体験が悪かったっていうのがあるんだと思うので
[16:16 - 16:20] ここをやっぱりちゃんと潰していかないとダメだと思う
[16:20 - 16:23] うちの考えはどうかっていうと
[16:23 - 16:27] 1回入ってきたお客さんが滞留してくれるお客さん
[16:27 - 16:30] ずっと買い続けてくれるお客さん全体の3割なの
[16:30 - 16:32] そちらは
[16:32 - 16:34] 全体の3割
[16:34 - 16:37] リピーターね
[16:37 - 16:41] だから常に新しいのを流し込んでいかなきゃいけないから
[16:41 - 16:46] うちとしてはインスタ、X、Tik
[16:46 - 16:48] 他のやつも全部そうなんだけど
[16:48 - 16:50] 全部のチャンネル流して
[16:50 - 16:53] 各広告を流して
[16:53 - 16:57] 必ず新しい人がずっと入ってき続けて
[16:57 - 16:59] 滞留してくれるお客さんも
[16:59 - 17:02] 何回かすると飽きたり他の商品に目が映ったりするから
[17:02 - 17:03] 出てくるので
[17:03 - 17:06] 必ず新しいお客さんが入るのと
[17:06 - 17:07] 大量のお客さんを作るという仕組みを
[17:07 - 17:10] 作っていかなきゃいけないという形になっているから
[17:10 - 17:13] 割引するときでもそうなんだけど
[17:13 - 17:16] 入り口の割引というのがずっと続いちゃっていると
[17:16 - 17:18] 安売りにしかならないから
[17:18 - 17:20] 換給つけるというのだったり
[17:20 - 17:23] 表に出さないお客さんにリピーターの方で
[17:23 - 17:25] 買い続けてきてくれている回数とか
[17:25 - 17:27] 誕生日とかそういうのに合わせて
[17:27 - 17:30] クーポンとかそういうのを出してあげるというのを
[17:30 - 17:31] よくやっていて
[17:31 - 17:37] そういった努力っていうところがやっぱり現状ないあるんかないかがちょっと俺の中でわかんない
[17:37 - 17:42] ないですねリピーターさんに関してはうちも3割
[17:42 - 17:45] 30%取れてますね毎月
[17:45 - 17:52] その人たちに合わせてどうこうっていうのはまずそもそもそういう機能がないですからね
[17:52 - 17:53] そうそうそうそう
[17:53 - 17:57] クーポンとかを出すんだったら全体にしか出せないんで
[17:57 - 18:00] だからうちがショピファイ作った知見はあるから
[18:00 - 18:03] それで一緒に協力してあげるし
[18:03 - 18:07] ベースをやめてちゃんとやった方がいいんじゃないかなって
[18:07 - 18:10] ショピファイって高かったんですよね
[18:10 - 18:13] だって年間イニシャル14万
[18:13 - 18:15] あとカードフィーだけだよ
[18:15 - 18:16] カードフィー?
[18:17 - 18:19] カード決済使うから
[18:19 - 18:21] 手数料
[18:21 - 18:22] あとコンビニ決済とか使う
[18:22 - 18:25] あれ1個あたりの値段で出てませんでしたっけ昔
[18:25 - 18:29] 僕が見たとき昔1個あたり何パーっていうのが高かったはず
[18:29 - 18:30] ショッピファイ
[18:30 - 18:31] ないよ
[18:31 - 18:31] え?
[18:32 - 18:33] まあまあ分かりました
[18:33 - 18:34] そう
[18:34 - 18:36] 大きいよねあれね
[18:36 - 18:36] うん
[18:36 - 18:39] まあやっぱりその販売額になっちゃうと
[18:39 - 18:40] 販売利益じゃないんで
[18:40 - 18:41] そうそう額
[18:41 - 18:43] ベースってやっぱそういうビジネスモデルで
[18:43 - 18:45] 入りやすいけど
[18:45 - 18:48] 販売するとっていう形になっちゃうので
[18:48 - 18:49] プラスもう1個あって
[18:49 - 18:51] ベースなんかさっきアプリ
[18:51 - 18:54] ベースってオンラインとアプリがあるんですよ
[18:54 - 18:58] アプリで買った場合の手数料が高くなったんですよ、最近。
[18:58 - 19:05] だから、例えばしばらく同時並行しておいて、誘導して新しい方に戻るとか。
[19:05 - 19:08] それできるんだったら、それはやった方がいい。
[19:08 - 19:13] あれは個人ですよね、レビュー。
[19:13 - 19:16] レビューはできないんですよね。
[19:16 - 19:19] レビューを、もったいないんですよ、あれが。
[19:19 - 19:23] うちは基本的にレビューを記事として載っけている
[19:23 - 19:27] とか商品を選んでもらいやすくするために
[19:27 - 19:33] XとかSNSにいるユーザーにサンプル放出して
[19:33 - 19:37] それで感想の内容を書いてもらって
[19:37 - 19:41] それを掲載してあげるという形でやっているから
[19:41 - 19:44] そういう努力が必要だと思う
[19:44 - 19:48] そこを組み合わせていくっていうのを
[19:48 - 19:51] 短期で地平の白ほどやるぞって言ったら
[19:51 - 19:55] プログラムAっていうのは非常にいい選択肢なんだけど
[19:55 - 19:57] 悪いことがあって
[19:57 - 20:00] うちが元気を起こせるのってマイナス
[20:00 - 20:05] そこはうちも助けてもらいたい
[20:05 - 20:08] 僕は会長と話してたから
[20:08 - 20:10] いいですよっていうので
[20:10 - 20:13] うちができる最大限はここまでですよ
[20:13 - 20:16] 見たけど本当にここまでやってもらえれば
[20:16 - 20:19] ただこれ期間
[20:19 - 20:22] 限定ですよ
[20:22 - 20:25] ご注意いただきたいのは
[20:25 - 20:27] とりあえず今の安いうちに
[20:27 - 20:28] 比例をみたいなことしちゃうと
[20:28 - 20:31] 棚卸し原価が発生してしまうので
[20:31 - 20:34] 会計上もよくありませんよ
[20:34 - 20:35] という形になるので
[20:35 - 20:37] 本当にこの冬の
[20:37 - 20:39] 1月になっちゃうと売れなくなっちゃうからね
[20:39 - 20:40] そうなんです
[20:40 - 20:42] ここまでの間に
[20:42 - 20:45] もう知恵度を吐くほど頑張るぜっていう覚悟がある
[20:45 - 20:46] そこだよ
[20:46 - 20:49] 会長にもお話ししましたけど
[20:49 - 20:51] 販売値段を合わせるっていうところは難しいんですか
[20:51 - 20:53] で、プログラムBです
[20:53 - 20:54] なるほど
[20:54 - 21:01] 1ページ目に書いてある通りですね
[21:01 - 21:04] 基本的にはこれの提案は
[21:04 - 21:06] 卸し値を下げるもんじゃありません
[21:06 - 21:08] これ何を使用しているかというと
[21:08 - 21:14] まずうちと御社で扱っているSKUの単位が違うというのを是正しましょう
[21:14 - 21:17] そうですねそれはその通りだと思います
[21:17 - 21:25] その上で俺は永井君に動画に専念する時間をたっぷり取ってほしいと思っている
[21:25 - 21:28] それは会長とも話してるんですよ今
[21:28 - 21:34] 今って例えばアルバイトでも新潟の最賃だったら10月開店になりましたけど
[21:34 - 21:35] 1050円
[21:35 - 21:36] そうなんですよ
[21:36 - 21:41] ここにさらに社会保険料とかいろいろなのが残ってきちゃうから
[21:41 - 21:46] 僕は今の状態で人員を投入するのは経営上無理だと思います
[21:46 - 21:53] そう考えると例えば動画でさっき言った話ですね
[21:53 - 21:55] 動画でドーンってきましたってなったら
[21:55 - 21:58] はい作る時間ありませんってなっちゃうので
[21:58 - 22:02] うちはちょっとこの前から話してたんですけど
[22:02 - 22:06] 日本郵便の富山中央局内2階に
[22:06 - 22:08] うちの配送センターを作って
[22:08 - 22:11] そこから全部配送するようにしたんですよ
[22:11 - 22:13] これは何でそんなことをしたかというと
[22:13 - 22:17] 確かにアルバイトとしてうちの嫁は働かせてたんですけど
[22:17 - 22:22] 人件費とか社会保険料がバカにならんっていうのもあるし
[22:22 - 22:24] 売れる時期と売れない時期があるから
[22:24 - 22:26] じゃあ何にも抱えておいても
[22:26 - 22:29] 仕事することないとかっていうのがやっぱり出てちゃうので
[22:29 - 22:32] うちとしてはそれがあるので
[22:32 - 22:36] 毎月固定費用に納めてしまうことによって
[22:36 - 22:37] 人件費のような
[22:37 - 22:40] 何て言うんですかね
[22:40 - 22:42] 延々かかる固定費をやめてしまって
[22:42 - 22:44] 売れなかったら売れなかったで
[22:44 - 22:47] 6万ぐらいで抑えられるので
[22:47 - 22:49] 倉庫の環境も含めて
[22:49 - 22:51] 抑えられるので
[22:51 - 22:53] そこに留めてしまって
[22:53 - 22:56] 売れたらこちらからデータをピョッと送るだけで
[22:56 - 22:58] そちらから全部発送してもらって
[22:58 - 22:59] そうなんです
[22:59 - 23:07] だからうちとしては生産している拠点が障害者の方たちのカウントで生産しているんですけど
[23:07 - 23:09] それ生産したものを直接日本郵便に入れて
[23:09 - 23:13] そこからうちが売れたものは実は電子的に全部
[23:13 - 23:19] Amazonからうちのシステムを通して日本郵便に直接指示が取りになっているので
[23:19 - 23:24] 基本売れたらお客様に届くところまで一切手を加えない
[23:24 - 23:33] うちの家は動画作って販売して、その売れたのはそちらの方に全部流して、一括して発送してもらうってことですか?
[23:33 - 23:35] そうです、そうです。
[23:35 - 23:43] それであれば基本的に一番強みである動画っていうところだけを活かせるっていうのもあるので、
[23:43 - 23:46] スキームとしてはこれが一番いいんじゃないかと思ってるんですね。
[23:46 - 24:00] その分の費用がかかるよね
[24:00 - 24:05] 要するにこれにはこのシートにも書いてあるんですが
[24:05 - 24:09] まず御社に対するメリットというのが
[24:09 - 24:11] この取引会で
[24:11 - 24:15] 根本発想の手間がいらない
[24:15 - 24:24] 梱包発送の手間がいらない、梱包発送の資材費がいらない、そもそも在庫を抱えなくていい、売れたときだけでいいわけですか。
[24:25 - 24:28] それはベースと一緒ですね。ベースも売れたときだけ金がかかるので。
[24:29 - 24:34] いやいやいや、今の状態だったら、うちから仕入れてやらなきゃいけない。
[24:35 - 24:40] 1個にかかる経費として仕組みは一緒ですね。
[24:41 - 24:42] 経費は仕入れも経費だよ。
[24:42 - 24:44] まあまあわかりました。
[24:45 - 24:50] 要するに在庫を抱えるというところで
[24:50 - 24:53] これ経営側から見るとですね
[24:53 - 24:57] 会計上会計期末までに在庫で仕入れたものが残っている場合
[24:57 - 24:59] 資産扱いになるじゃないですか
[24:59 - 25:02] それをマイナスとして捉えられるところがあるので
[25:02 - 25:07] マイナス改善をするのであれば在庫を持たないというのが健全であろうという風な
[25:07 - 25:10] 経営的な考え方の話です
[25:10 - 25:15] うちと結局その商品を揃えることになるので
[25:15 - 25:16] 今で言えば例えば
[25:16 - 25:21] 御社で買うとスポンジと何とかが付いていません
[25:21 - 25:23] でもうちで買うと付いているとか
[25:23 - 25:25] それで価格差があるとかっていう
[25:25 - 25:28] ユーザーの中での損得みたいなところを
[25:28 - 25:29] 全くなくせるっていう
[25:29 - 25:33] それは一番改善しにくい点だよね
[25:33 - 25:37] しかも梱包の内容についてもうちで言うと
[25:37 - 25:46] でも完全に一番安く納めるために真空圧縮を使ったりとかして、タオルとか全部圧縮した状態で送るようにしたりするので、
[25:47 - 25:51] いちいち例えば配送業者と交渉しなくてもいいというのもあるじゃないですか。
[25:52 - 26:01] で、売れたときのデータは全部御社戻しになるので、基本的に例えばショピファイというやつにやってもらえるんだったら、
[26:01 - 26:06] 発送番号の変装戻しの作業もいらなくなる
[26:06 - 26:10] 発送戻しの変装作業
[26:10 - 26:13] 発送したら発送番号出るじゃんね
[26:13 - 26:15] それを付けて送るじゃんね
[26:15 - 26:16] それも必要なくなる
[26:16 - 26:18] 自動でやられるから
[26:18 - 26:21] っていうところがあるから
[26:21 - 26:24] 完全に現状の状況をちゃんと改善していく
[26:24 - 26:25] これなんですけど
[26:25 - 26:28] ただこれは値引きじゃないので
