[00:00 - 00:29] ご視聴ありがとうございました
[02:35 - 02:37] というところは間違いないので
[02:37 - 02:42] さっき言ったシステムがもう今6割7割ぐらいできてるので
[02:42 - 02:46] 実はもうSAKURAを契約すると動かせる状態にまで半分きました
[02:46 - 02:50] 今バックアップ系のところを全部作ってるんですけども
[02:50 - 02:54] そこが終わったら一旦もう皆さんに開放して
[02:54 - 03:01] 自由にそのN8Nを大量増産することができるので
[03:01 - 03:02] それで動かしてもらってもいいですし
[03:02 - 03:06] 手元用として手元で動かすのも良しっていうところで
[03:06 - 03:10] テナントが大体1台3,4000円で
[03:10 - 03:14] 10社ぐらい10社14社ぐらいは
[03:14 - 03:16] いけるっていう計算になるので
[03:16 - 03:20] 費用としては非常に圧縮された形にはなるでしょうと
[03:20 - 03:22] いう形です
[03:22 - 03:23] バックアップも
[03:23 - 03:25] 取れる状態なので
[03:25 - 03:29] もっと他に安いVPSがあれば
[03:29 - 03:30] そっちにシステムを通して
[03:30 - 03:31] 移行することも可能
[03:31 - 03:33] という形ですから
[03:33 - 03:36] Sakuraが一番いいかなと思ってます
[03:36 - 03:38] そうだよね結局長い目で見たときに
[03:38 - 03:39] 安定してるしね
[03:39 - 03:41] 安定してますからね
[03:41 - 03:41] そうなんです
[03:41 - 03:44] もしよければSakuraで
[03:44 - 03:46] サーバー取っていただいて
[03:46 - 03:48] iPath共有していただいたら
[03:48 - 03:50] さつきやっといて
[03:50 - 03:51] はい
[03:51 - 03:58] どのやつを契約するとかは
[03:58 - 04:00] ご相談いただければOKです
[04:00 - 04:01] というところですね
[04:01 - 04:04] うちのさくらのID知ってる?
[04:04 - 04:04] さつき
[04:04 - 04:07] パスワードやらなかったら分かんないです
[04:07 - 04:10] マジ?後で送っとくわ
[04:10 - 04:10] はい
[04:10 - 04:13] あとは
[04:13 - 04:16] 今のサービス提供しようとする
[04:16 - 04:17] 仕組みに合わせて
[04:17 - 04:20] 契約書が必要になると思ったので
[04:20 - 04:23] 契約書の方を一旦作っておきましたということですね
[04:23 - 04:28] 一旦クロード通して全部やってるんで
[04:28 - 04:31] 日本の法規にはきちっと合ってる状態にはなってるんですけど
[04:31 - 04:34] 顧問弁護士さんがいらっしゃるようであれば
[04:34 - 04:39] 企画がこういう企画でやろうとしてるってことを伝えていただきながら
[04:39 - 04:44] あれの中身を本ちゃん的な感じのものに変えていただくないしで
[04:44 - 04:48] 法的なサービス面はOKでしょうというところには
[04:48 - 04:50] なってきますかねというところで
[04:50 - 04:53] その許可が得られるのであれば
[04:53 - 04:55] 価格面ですね
[04:55 - 04:57] あとさっき言った一社
[04:57 - 05:02] ライト ノーマル プロプランみたいなのが
[05:02 - 05:03] 3つあったと思うんですけど
[05:03 - 05:05] あれのイメージが
[05:05 - 05:07] キモさんから聞いた額から
[05:07 - 05:09] ちょっと算出して出しているので
[05:09 - 05:12] OKだったらシステムのほうにも
[05:12 - 05:14] それが組み入れられるような形にしようかな
[05:14 - 05:18] だから今うちとしては
[05:18 - 05:20] お客さん側には作るっていう
[05:20 - 05:23] 工程における金額設定なのね
[05:23 - 05:26] 1ヶ月に2本相当
[05:26 - 05:27] 約5時間
[05:27 - 05:30] マックス10時間
[05:30 - 05:34] を上限として2本作りますよ
[05:34 - 05:36] メンテが1本入ったら
[05:36 - 05:38] メンテに対して5時間かかるなら
[05:38 - 05:40] それも1本に換算するし
[05:40 - 05:43] メンテとしては1時間程度で終わりましたね
[05:43 - 05:44] メンテ2本とか入れてもいいよ
[05:44 - 05:46] みたいなところで
[05:46 - 05:48] ざっくり見てるよ
[05:48 - 05:51] 11万に消費税
[05:51 - 05:53] 多くやりたいの場合は
[05:53 - 05:54] 25万に消費税5本
[05:54 - 05:55] いきますよとか
[05:55 - 05:57] 11万のパッケージだけれども
[05:57 - 06:00] この月だけはどうしても
[06:00 - 06:02] これとこれとこれも進めてみたいなのだと
[06:02 - 06:04] 1本あたりいくらみたいな
[06:04 - 06:06] 構造でやろうかなと思ってて
[06:06 - 06:08] 最低限常に11万をもらおうと
[06:08 - 06:10] それとあとサーバー代に関しては
[06:10 - 06:13] 自社で持ってくれって話を常にしてるんで
[06:13 - 06:17] それこそXサーバーでやったって2000円ぐらいとかじゃんか
[06:17 - 06:20] そんなもんだからっていう説明で
[06:20 - 06:21] 全然いいよって話になるんで
[06:21 - 06:23] それはサーバーとしては
[06:23 - 06:25] Xサーバーって選択肢もあるけど
[06:25 - 06:26] うちで準備してるから
[06:26 - 06:29] こっちのサーバー契約してっていう風に言えばいいだけだから
[06:29 - 06:33] Xサーバー相当の金額追加でもいいし
[06:33 - 06:35] もうちょっとプラスアルファで追加しておいてもいいかな
[06:35 - 06:36] バックアップも含めて
[06:36 - 06:38] 例えば月
[06:38 - 06:42] 松下さんが組んでくれてたやつだと
[06:42 - 06:43] 1社あたり1000円
[06:43 - 06:46] いくやいかんやみたいな話やんか
[06:46 - 06:47] そうですそうです
[06:47 - 06:48] 割っていくと
[06:48 - 06:51] それに対してじゃあ2500円で
[06:51 - 06:53] バックアップも含めてできますよとか
[06:53 - 06:58] それこそNATNだけ入れるわけではないだろうから
[06:58 - 06:59] 今後
[06:59 - 07:02] 場合によって違うものも
[07:02 - 07:03] 入ってくる可能性もあるし
[07:03 - 07:05] そういった時用に
[07:05 - 07:07] 準備しておくよということで
[07:07 - 07:10] ちょっと多めに3000円とかで取ってても
[07:10 - 07:12] 多分ね5000円未満だと
[07:12 - 07:13] なるほどな
[07:13 - 07:15] まあ多分
[07:15 - 07:18] メインはサーバー契約がいくらかよりも
[07:18 - 07:20] 丸投げができるってことの
[07:20 - 07:22] サービスに対しての価格なんで
[07:22 - 07:25] 別にサーバー代いくらって言わなくても
[07:25 - 07:28] その丸投げの中に丸投げしとけばいいんですよね
[07:28 - 07:29] いやそうするとね
[07:29 - 07:31] ちょっとややこしくて
[07:31 - 07:33] 結局そこがさ
[07:33 - 07:35] 原価になってくるときにさ
[07:35 - 07:37] サーバー代はサーバー代でやっぱり
[07:37 - 07:38] 請求別立てしたいんだよね
[07:38 - 07:41] なんかがあった時にさ
[07:41 - 07:44] 現状では想定できないけど
[07:44 - 07:45] やっぱあっちゃう
[07:45 - 07:47] サーバー絡みのことってさ
[07:47 - 07:49] ちょっと負荷が多くなることとか
[07:49 - 07:50] はいはいそうですね
[07:50 - 07:52] うちの過去で言うとさ
[07:52 - 07:54] そもそも言語が
[07:54 - 07:56] 非対応になってきちゃったから
[07:56 - 07:59] そのソフトの言語から考えると
[07:59 - 08:01] 作り直さないとねみたいなところとか
[08:01 - 08:03] 対応言語にアップデートさせないとね
[08:03 - 08:04] みたいな時って
[08:04 - 08:06] なるほど
[08:06 - 08:10] だからサーバーはサーバーとして契約してますみたいな
[08:10 - 08:11] 立て付けにしといた方が
[08:11 - 08:13] いいかなってところですね
[08:13 - 08:16] 分かりました分かりました
[08:16 - 08:17] 一旦それで
[08:17 - 08:19] これ今録画しているので
[08:19 - 08:24] 今日の話の中身はまた資料を作ってアップデートしておきますので
[08:24 - 08:26] それとページにアップしてあるから
[08:26 - 08:28] うちのサービスそのものを
[08:28 - 08:30] ホームページあるんです?
[08:30 - 08:31] あるある
[08:31 - 08:33] そうなんですか
[08:33 - 08:38] それなんかURL今チャット項目共有していただけます?
[08:38 - 08:39] ここに投げとこうか
[08:39 - 08:42] どっちがいい?メッセンジャーとここと
[08:42 - 08:44] どっちでもいいですよ
[08:44 - 08:46] じゃあここにとりあえず開いてるから投げときます
[08:46 - 08:49] ありがとうございます
[08:49 - 08:52] なるほど
[08:52 - 08:55] はいはいはい
[08:55 - 08:58] こういうことですね
[08:58 - 09:00] はい分かりました
[09:00 - 09:02] これをもとに
[09:02 - 09:05] もう一回資料を作り直しまして
[09:05 - 09:08] 次じゃあさくらをいただいたら
[09:08 - 09:10] ごく環境を一旦作るので
[09:10 - 09:13] 開発環境として使っていただきながら
[09:13 - 09:16] お客さんが取れたらまず一件みたいな感じで
[09:16 - 09:18] やっていただければいいかなと思います
[09:18 - 09:20] お客さん自体は取れてるから
[09:20 - 09:24] うちでいうとうちの中で今やってるんで
[09:24 - 09:29] それをどうするかだけだよね
[09:29 - 09:29] なるほど
[09:29 - 09:31] なんすかこのTNM298
[09:31 - 09:34] さくらの会員
[09:34 - 09:38] パスワードちょっと今探してるから
[09:38 - 09:41] どうせ
[09:41 - 09:44] 松下くんに渡すとこからスタートでしょ
[09:44 - 09:46] そうっすね
[09:46 - 09:49] じゃないと多分初期設定できないんで
[09:49 - 09:49] ね
[09:49 - 09:55] どれだ
[09:55 - 09:56] これじゃねえな
[09:56 - 09:58] さくら
[09:58 - 10:04] 会員ID
[10:04 - 10:10] 会員IDとサービスコード
[10:10 - 10:14] 会員IDにパスワードあるよね
[10:14 - 10:18] 会員ID
[10:18 - 10:22] さくらのVPSの画面から行った方が早いかもしれない
[10:22 - 10:23] VPSの方ね
[10:23 - 10:28] 桜のほうの会員画面から
[10:28 - 10:30] 行かなきゃいけなくなっちゃうんで
[10:30 - 10:32] はい
[10:32 - 10:35] おーすごい
[10:35 - 10:35] はい
[10:35 - 10:40] これ今このセントスで
[10:40 - 10:41] 動いてるやつは多分
[10:41 - 10:44] ホームページサーバーとか別のやつなんですよね
[10:44 - 10:44] 多分ね
[10:44 - 10:47] これ松下くんに作ってもらった
[10:47 - 10:49] 昔のカピカチェーンのさ
[10:49 - 10:51] はぁ本当だ
[10:51 - 10:52] 2011年
[10:52 - 10:56] 業販用のあれ用に
[10:56 - 10:57] VPSが一個いるって
[10:57 - 10:59] にしか使ってないような気がするんだけど
[10:59 - 11:01] あれから触った記憶もねえし
[11:01 - 11:03] じゃあこれ解約
[11:03 - 11:06] これ多分いらないインスタンスだと思うので
[11:06 - 11:06] そうだね
[11:06 - 11:08] 解約して
[11:08 - 11:11] 今回必要なやつですかね
[11:11 - 11:13] 入れておきます
[11:13 - 11:15] 多分一応入ってはみるけど
[11:15 - 11:18] VPS何も入ってなかったと思うんだけど
[11:18 - 11:19] 私もまだいまいま
[11:19 - 11:19] 入ってない
[11:19 - 11:36] コントロールパネルへ行って
[11:36 - 11:40] これが二段階認証になってるのね いつの間にか
[11:40 - 11:47] そうか 会員IDがKMMなんですよね
[11:49 - 11:52] さっきは他にレンタルサーバーライトとか
[11:52 - 11:54] いろいろ借りてたり
[11:54 - 11:55] ドメイン取ってたり
[11:55 - 11:56] なるほど
[11:56 - 11:59] じゃあパスワードは分かんないですね
[11:59 - 12:01] そういうこと
[12:01 - 12:04] じゃあパスワード見るわ
[12:04 - 12:07] そうですね
[12:07 - 12:09] 一番下のはまた違いますもんね
[12:09 - 12:12] これを多分このインスタンスの
[12:12 - 12:15] ルートユーザーの
[12:15 - 12:16] パスワードですからね
[12:16 - 12:20] パスワード
[12:20 - 12:22] 新しいパスワード
[12:22 - 12:23] 現在のパスワード
[12:23 - 12:25] 記録されてるからわからない
[12:25 - 12:28] パスワード管理で見ればいい
[12:28 - 12:32] 出てこいパスワード管理
[12:32 - 12:35] もう全部
[12:35 - 12:38] Googleに保存してるから
[12:38 - 12:39] わかんない
[12:39 - 12:42] ワンパスワード使ってないんですか
[12:42 - 12:43] 何ワンパスワード
[12:43 - 12:44] 出た
[12:44 - 12:47] ワンパスワードを皆さん契約してくださいね
[12:47 - 12:49] 何か知らんから後でそれ教えた
[12:49 - 12:54] ワンパスワードが分かっていると
[12:54 - 12:55] パスワードの更新だったりとか
[12:55 - 12:58] この二要素認証とか
[12:58 - 13:01] ああいうのも全部スマートフォンとパソコン
[13:01 - 13:03] 全部またいで共通で管理できるので
[13:03 - 13:07] あとチームとか
[13:07 - 13:13] Amazonのサーバーとかに入るときに
[13:13 - 13:16] Googleでやるやつみたいな感じ
[13:16 - 13:18] あんなもんもいちいち携帯見る必要ないです
[13:18 - 13:21] パスワード今から貼ります
[13:21 - 13:24] 恐ろしいことが分かりました
[13:24 - 13:38] VPSも契約中にないかも
[13:38 - 13:41] 今レンタルサーバーだけですかね
[13:41 - 13:43] ないかもしれん
[13:43 - 13:45] わあびっくり
[13:45 - 13:46] 貼り付けてもらいました
[13:46 - 13:49] 貼り付けてますよ
[13:49 - 13:49] あれ
[13:49 - 13:53] KM29988
[13:53 - 13:54] じゃないですか
[13:54 - 13:57] これはパスワードなんですか
[13:57 - 13:57] うん
[13:57 - 14:00] とんでもねえことやって
[14:00 - 14:03] アイディアとパスワードが
[14:03 - 14:04] 一緒という
[14:04 - 14:07] なるほど
[14:07 - 14:08] そういうことか
[14:08 - 14:11] 同じもの貼り付いてるからパスワードだと思ってませんでした
[14:11 - 14:14] 俺もそうびっくりした今
[14:14 - 14:15] 今ね
[14:15 - 14:17] 画面共有した方が早いな
[14:17 - 14:20] 契約してるのが
[14:20 - 14:22] 画面共有オンに
[14:22 - 14:23] 画面共有の許可出しますね
[14:23 - 14:25] はい出ました
[14:25 - 14:29] VPS解約してるわ
[14:29 - 14:30] ですよね
[14:30 - 14:32] だってこんな時から使ってないやつが
[14:32 - 14:34] ずっとあったらお金の無駄ですもんね
[14:34 - 14:36] もう今レンタルサーバーが
[14:36 - 14:38] 1個しか残ってないっす
[14:38 - 14:39] なるほど
[14:39 - 14:41] あとドメインぐらいだよ多分
[14:41 - 14:45] ドメインもお名前.comではなくて
[14:45 - 14:47] どっかに移行してるから
[14:47 - 14:48] ドメインも入ってない
[14:48 - 14:50] そうですね
[14:50 - 14:53] じゃあ1個しかないので新たに契約ですね
[14:53 - 14:55] そうですね
[14:55 - 14:58] このやつからそのままいけるんですけど
[14:58 - 15:04] トップページの方に
[15:04 - 15:06] 会員メニュートップの方に行っていただいて
[15:06 - 15:10] で
[15:10 - 15:12] VPSサービス
[15:12 - 15:15] あれ
[15:15 - 15:18] なんでないんだ
[15:18 - 15:20] 契約中しかないな
[15:20 - 15:22] 分かりました
[15:22 - 15:24] 新しいタブでさくらのVPS
[15:24 - 15:25] いってください
[15:25 - 15:27] ニュータブ
[15:27 - 15:29] はいニュータブで
[15:35 - 15:36] そのまま
[15:36 - 15:38] さくらVPS
[15:38 - 15:40] その下
[15:40 - 15:43] 会員ログイン
[15:43 - 15:45] ってしていただいて
[15:45 - 15:52] そっち出ちゃう
[15:52 - 15:54] 新規申し込み
[15:54 - 15:55] すみません
[15:55 - 15:56] 一つ戻っていただいて
[15:56 - 15:57] そっちの画面に
[15:57 - 16:01] お申し込みですかね
[16:01 - 16:04] コントロールパネルありますね
[16:04 - 16:06] そこの右上に
[16:06 - 16:18] そこでVPSサーバー追加で電話認証へ
[16:18 - 16:20] 電話認証ですか
[16:20 - 16:21] はい
[16:21 - 16:25] あってます?番号
[16:25 - 16:29] 携帯に変えよう
[16:29 - 16:31] 変えられないんだ
[16:31 - 16:32] ここで
[16:32 - 16:35] じゃあさつきかかってくるからよろしくね
[16:35 - 16:35] はい
[16:35 - 16:38] せーの
[16:38 - 16:39] ドン
[16:39 - 16:43] 押せました?
[16:44 - 16:44] 押せたんじゃない
[16:44 - 16:45] 今押しました
[16:45 - 16:51] あー本当の
[16:51 - 16:54] 電話なんですね
[16:54 - 16:55] 携帯じゃなくて
[16:55 - 16:59] 本当の電話です
[17:02 - 17:03] 電話オブ電話です
[17:03 - 17:16] そして多分あいつ遠い部屋に今おったはず
[17:16 - 17:19] 遠い部屋
[17:19 - 17:23] もう今電話とか鳴らっちゃう
[17:23 - 17:25] もう固定電話いらないですから
[17:25 - 17:27] 自宅の固定電話もなくしましたからね
[17:27 - 17:32] 会社の固定電話もなくしましたけど
[17:32 - 17:33] 本当に
[17:33 - 17:36] 一応うちの場合は
[17:36 - 17:38] ネットの関係でかかってくるのと
[17:38 - 17:40] 業者さんがいまだに
[17:40 - 17:41] 古いところがあったりするから
[17:41 - 17:44] うちあれなんですよ
[17:44 - 17:47] Zoomフォンに変えちゃったんで
[17:47 - 17:50] 本当に
[17:50 - 17:51] 電話ないし電話も全部
[17:51 - 17:53] 自動応対になっちゃってて
[17:53 - 17:59] いらねえじゃんの世界ですね
[17:59 - 18:00] いらないよね
[18:00 - 18:03] 戻ってきました
[18:03 - 18:06] スタッフの方に送ったんですけど
[18:06 - 18:08] 97197
[18:08 - 18:14] 97197
[18:14 - 18:15] 認証
[18:15 - 18:19] 完了
[18:19 - 18:31] 新規で申し込むことができないと
[18:31 - 18:37] これじゃあやっといていただいてというところですね
[18:37 - 18:40] さつき入り方わかったの?
[18:41 - 18:41] はい
[18:41 - 18:45] これ住所変えておくからさ
[18:45 - 18:46] はいわかりました
[18:46 - 18:47] 変えれねえじゃんこれ住所
[18:47 - 18:55] 住所今変えたらできるんちゃう?もうすぐ
[18:55 - 19:01] ひょっとしたら郵送物が届いてからかもしれないですね
[19:01 - 19:03] マジで?
[19:03 - 19:04] はい
[19:17 - 19:24] 電話番号は別に変わってないけど
[19:24 - 19:25] 一応こっちも
[19:25 - 19:28] 何やったっけ
[19:28 - 19:30] 558の5811から
[19:30 - 19:30] はい
[19:30 - 19:40] 変更適用
[19:40 - 19:43] 変わった
[19:43 - 19:46] メールが届きます
[19:46 - 19:47] ご確認ください
[19:47 - 19:49] じゃあいけるんかなひょっとしたら
[19:49 - 19:50] ちょっと待って
[19:50 - 19:57] 今どれになっとって
[19:57 - 19:59] どこいった
[19:59 - 20:12] 段階文章通過
[20:12 - 20:23] ちょっと分からないけどこのまま申し込みに進んでみようか
[20:23 - 20:24] はい
[20:24 - 20:32] おっともう1回電話認証が行きます
[20:32 - 20:33] はい行ってきます
[20:42 - 20:45] コードレス持ってくればいい
[21:07 - 21:08] コードレス持ってくればいいんですよね
[21:08 - 21:27] 戻りました
[21:27 - 21:28] はい
[21:28 - 21:29] 6
[21:29 - 21:30] 7
[21:30 - 21:31] 4
[21:31 - 21:32] 3
[21:32 - 21:33] 8
[21:38 - 21:45] やったー ありがとうございます
[21:45 - 21:49] そしたらそのままUbuntuを選択していただきまして
[21:49 - 21:52] これか
[21:52 - 21:54] そうです Ubuntuで
[21:54 - 21:56] バージョンはそれで大丈夫でして
[21:56 - 21:58] Linuxでいいの?
[21:58 - 22:00] Linuxじゃないと困ります
[22:00 - 22:01] OK
[22:01 - 22:08] あとは12ヶ月一括にしていただいたほうがいいと思います
[22:08 - 22:15] 内容にも書いてあったんですけど
[22:15 - 22:20] だいたい4ギガとか2ギガとかでやっていただいたほうがいいんですけど
[22:20 - 22:27] 1インスタンス4ギガが一番バリューはありますかねってところですね
[22:27 - 22:38] 石狩第一を選んでいただいていいですか
[22:38 - 22:45] 石狩第一で38,000円になりましたね
[22:45 - 22:46] 本当だ
[22:46 - 22:47] なるほどそれによって値段が違うん
[22:47 - 22:49] そうなんですよ
[22:49 - 22:52] 北の大地の方が冷房代がかからないんですよ
[22:52 - 22:53] 確かに
[22:53 - 22:56] それは間違いねえ
[22:56 - 22:59] なので1月あたりは結構安くなりますね
[22:59 - 23:00] だいぶ
[23:00 - 23:03] 次第で大丈夫です
[23:03 - 23:07] 管理者のパスワードは
[23:07 - 23:11] 適当なもの
[23:11 - 23:13] 自動生成したパスワードでいいですよ
[23:13 - 23:15] あれ?
[23:16 - 23:17] なんで自動生成しないの?
[23:18 - 23:22] じゃなくてサーバー設定の方に行っていただいて
[23:22 - 23:25] その上に自動生成したパスワードを使う
[23:25 - 23:28] これですね
[23:28 - 23:33] 管理ユーザーのパスワードをダウンロードっていうのがあるので
[23:33 - 23:35] それを
[23:35 - 23:39] そうするとPDFかなんかが落ちてくるので
[23:39 - 23:41] それ共有してください
[23:41 - 23:42] いいよ
[23:42 - 23:48] 画面画面
[23:48 - 23:53] どこ行った
[23:53 - 23:55] これか
[23:55 - 23:57] キャット画面
[23:57 - 23:59] はい
[23:59 - 24:02] ファイル
[24:02 - 24:05] 菅さんがもうそろそろ
[24:05 - 24:06] タイムアップですね
[24:06 - 24:07] そうだね
[24:07 - 24:11] 下にある
[24:11 - 24:12] サーバーの名前っていうところを
[24:12 - 24:14] 丸投げ第一とかに
[24:14 - 24:16] しておいてもらえばいいですかね
[24:16 - 24:18] サーバーの名前
[24:23 - 24:34] お支払い方法は選択Aで大丈夫ですね
[24:34 - 24:38] このカードでいいんでしょうか
[24:38 - 24:40] OKです
[24:40 - 24:49] こういう時にワンパスワードが楽なんですね
[24:49 - 24:57] ぜひワンパスワードを契約してください
[24:57 - 25:00] 皆さんそんなのパスワード管理に
[25:00 - 25:03] 金なんて払いたくねえとは言われるんですが
[25:03 - 25:05] 1回契約された方はみんな感動して
[25:05 - 25:08] もう離れらんねえって感じなんです
[25:08 - 25:10] そこにある2週間お試しを
[25:10 - 25:12] 利用する?
[25:13 - 25:13] はい
[25:13 - 25:16] クーポンコードはないので
[25:16 - 25:17] そのまま下にいただいて
[25:17 - 25:18] ってことですね
[25:18 - 25:22] お支払い確定
[25:22 - 25:30] 知らんしこのパス
[25:30 - 25:35] 出るよね
[25:35 - 25:36] ワンタイムパス
[25:36 - 25:40] カード会社のワンパスですね
[25:48 - 26:05] でいいな
[26:05 - 26:06] ありがとうございます
[26:06 - 26:10] そしたら22番は開放されてるので
[26:10 - 26:12] そのまま一番下に行っていただいて
[26:12 - 26:15] サーバー一覧に進むを押していただいて
[26:18 - 26:21] あれ
[26:21 - 26:25] 画面更新ボタンを押してもらっていいですか
[26:25 - 26:30] あれまだ来てないのかな
[26:30 - 26:36] 申し込み受付完了
[26:36 - 26:38] メールは来てる
[26:38 - 26:40] 来てます
[26:40 - 26:44] Fスタンバーもちょっとかかりますし
[26:44 - 26:45] どういうものかもしれない
[26:45 - 26:51] まだ来ないな
[26:51 - 26:54] 来るとサーバーのIPアドレスが出てくるので
[26:54 - 26:57] そのIPアドレスを教えてくださいって感じですね
[26:57 - 26:59] わかりました
[26:59 - 27:07] まだないですね
[27:07 - 27:08] 来ないですね
[27:08 - 27:13] それさえあればもうちょっとこっちで環境を作ってやっていきます
[27:13 - 27:17] OK じゃあサイバーのIPが来たらメッセンターで送ります
[27:17 - 27:19] よろしくお願いいたします
[27:19 - 27:22] 今日は以上でございます
[27:22 - 27:23] ありがとうございます
[27:23 - 27:25] また動画共有しますので
[27:25 - 27:27] ありがとうございます
[27:27 - 27:31] 失礼いたします
