[00:00 - 00:02] はい よろしくお願いします
[00:02 - 00:03] はい お願いします
[00:03 - 00:10] 今はもうちょっとログインはしてみられましたでしょうか
[06:33 - 06:40] もしなかったら菅さんのメアドでもいいですよ
[06:40 - 07:05] こんな感じでお客さんを増やしますというふうになります
[07:05 - 07:11] 次は実際に動くN8Nを追加したいので
[07:11 - 07:13] 今のところテナントがゼロになってますから
[07:13 - 07:15] 今度はテナントに移っていただいて
[07:15 - 07:19] こちらってこれで
[07:19 - 07:25] 詳細見たり動画ができるんですけど
[07:25 - 07:31] なるほどじゃあアドレスが分かったらここで編集ができるんですね
[07:31 - 07:35] じゃあ今度はテナント作成していただいて
[07:35 - 07:39] 顧客を選んでいただいて
[07:39 - 07:42] ほにゃらら丸投げワークフローになるので
[07:42 - 07:47] サブドメインを何にしましょうかね
[07:52 - 07:54] 中村伝説
[07:54 - 07:56] そうですよね
[07:56 - 08:04] 中村だけじゃかぶりそうです
[08:04 - 08:08] そうですね
[08:08 - 08:12] 今キーボード打ちのNが入っちゃいましたね
[08:12 - 08:18] 自由に作ったり作成できたり消したりできますので
[08:18 - 08:20] 例えばそれでやってみましょうか
[08:20 - 08:21] 表示名が
[08:21 - 08:25] 僕らが管理する上で
[08:25 - 08:27] このサーバーが何なのかっていうやつなんで
[08:27 - 08:31] 中村伝説公共様みたいな
[08:31 - 08:45] もうエンター押しちゃった
[08:45 - 08:48] 説明したかったんだけど
[08:48 - 08:49] あれですね
[08:49 - 08:52] カチャカチャカーンするんですかね
[08:52 - 08:58] 下にセキュリティ設定でMTLSを有効にするとか
[08:58 - 08:58] バージョン
[08:58 - 09:00] もう今書いちゃダメなんですけど
[09:00 - 09:01] 作られましたね
[09:01 - 09:06] これで今もう裏でサーバーが動いてます
[09:06 - 09:12] できれば説明に合わせてクリックしていただければありがたいです
[09:12 - 09:17] もうこれで初期設定から全部が終わった状態の
[09:17 - 09:21] N8Nが作られたという状態になっています
[09:21 - 09:26] 説明していいですか
[09:26 - 09:28] これが
[09:28 - 09:31] そうですね
[09:31 - 09:34] 顧客とあとN8N
[09:34 - 09:37] そこの設定だけいいですかね
[09:37 - 09:39] まずN8Nのバージョン
[09:39 - 09:41] ラテストというのが最新ということです
[09:41 - 09:42] なるほど
[09:42 - 09:45] 最新以外の固定したバージョンのものを
[09:45 - 09:48] 使いたいときはそこで選択するって形ですね
[09:48 - 09:52] セキュリティ設定っていうのがこれなんですけども
[09:52 - 09:59] 通常パスワードとIDだけで認証するじゃないですかN8Nって
[09:59 - 10:05] ただですねN8Nってウェブアプリですので
[10:05 - 10:07] 外部から食らいやすいっていうのがあるんですね
[10:07 - 10:13] その場合は要するに証明書っていうものを発行して
[10:13 - 10:16] 証明書が入っているパソコンからじゃないと
[10:16 - 10:17] アクセスできません
[10:17 - 10:20] 銀行さんと同じやり方ですね
[10:20 - 10:24] 銀行さんとかでもビジネス系の
[10:24 - 10:27] 管理画面に入ろうと思ったら
[10:27 - 10:29] 証明書を取得しないと入れないと思うんですけど
[10:29 - 10:31] トークン使ったり
[10:31 - 10:32] そうですそうです
[10:32 - 10:34] まさにそれに近いことをやると
[10:34 - 10:38] その場合いろいろ設定の手間はもっと増えますので
[10:38 - 10:42] 通常はこのやつを使わなくてもいいと
[10:42 - 10:43] 思っているんですけども
[10:43 - 10:45] 契約によって契約上
[10:45 - 10:48] もっとセキュリティを高めるという契約があれば
[10:48 - 10:49] これを使って
[10:49 - 10:52] もっとガチガチのセキュリティにする
[10:52 - 10:54] というのはできますというところですかね
[10:54 - 10:54] はい
[10:54 - 10:57] 一旦キャンセルを押していただいて
[10:57 - 10:59] さっき作った
[10:59 - 11:02] 中村伝説工業様が動いているんですけど
[11:02 - 11:04] 右側の
[11:04 - 11:06] 点々のところを押していただいて
[11:06 - 11:06] はい
[11:06 - 11:09] 詳細を見ると
[11:09 - 11:10] はい
[11:10 - 11:12] そうですね
[11:12 - 11:16] そうするとここに今作ったサーバーの情報があって
[11:16 - 11:18] もうURLアクセスっていうのが
[11:18 - 11:20] 上のほうに
[11:20 - 11:26] N8アクセスURLっていうのもできているので
[11:26 - 11:28] これで実際にそこにアクセスできるんですね
[11:36 - 11:36] こんな感じで
[11:36 - 11:41] でも初期設定が終わっちゃってるんです
[11:41 - 11:46] もう一回ちょっとさっきのところを見ていただいて
[11:46 - 11:47] 下の方に行っていただくと
[11:47 - 11:49] そこですね
[11:49 - 11:52] N8Nルールログイン情報というのがあって
[11:52 - 11:57] さっき顧客情報にセレクトのメールアドレスを登録したので
[11:57 - 12:03] メイン会社のものがもうそこになっているということですね
[12:03 - 12:04] パスワードのところ
[12:04 - 12:07] おめめのマークを押していただくと
[12:07 - 12:10] このパスワードで
[12:10 - 12:11] もう登録してあるので
[12:11 - 12:14] その右側にあるのはコピーのやつなんで
[12:14 - 12:17] コピーを押してください
[12:17 - 12:19] そうすると
[12:19 - 12:21] そこで
[12:21 - 12:22] メールアドレスとパスワードを入れて
[12:22 - 12:25] 入っていただくことができます
[12:25 - 12:43] じゃあちょっと設定画面の方戻っていただいて
[12:43 - 12:45] こんな感じでですね
[12:45 - 12:49] もう作ったら即使える状態まで
[12:49 - 12:50] ほぼ落とし込まれているってことなんですね
[12:50 - 12:52] はいはいはい
[12:52 - 12:55] もうちょっと下行っていただいて
[12:55 - 13:00] ここにN8N API統計情報というのがあるんですけど
[13:00 - 13:04] 今APIキーというところに見てみると
[13:04 - 13:06] 取得できませんでしたってなってますので
[13:06 - 13:08] 再取得って押してもらっていいですか
[13:08 - 13:09] はい
[13:09 - 13:16] こうするとN8Nの中にこのシステムが問い合わせして
[13:16 - 13:19] 今どれくらいのワークフローが動いているとか
[13:19 - 13:20] そういうのが見れると
[13:20 - 13:21] なるほど
[13:21 - 13:26] これによってうまく動かなかったワークフローとかも
[13:26 - 13:28] 取得するという形になりますので
[13:28 - 13:31] これで取得済みになりましたね
[13:31 - 13:33] こんな感じです
[13:33 - 13:36] これがあるからこそ表面のところで
[13:36 - 13:40] うまくいってないやつとかを検知できるという形になるんですね
[13:40 - 13:44] じゃあちょっと下の方に行っていただいて
[13:44 - 13:47] バックアップの項目があります
[13:47 - 13:50] 例えば何か変更
[13:50 - 13:53] N8Nに大きな変更したいとか
[13:53 - 13:56] この時点での記録を取っておきたいというときに
[13:56 - 13:58] バックアップ作成としてください
[13:58 - 14:05] そうすると一瞬でシステム全体のバックアップが取られます
[14:05 - 14:11] バックアップ作成をもっと押すと
[14:11 - 14:13] いっぱいいっぱい取られていく
[14:13 - 14:15] 増えてくるんですね
[14:15 - 14:21] この中には中に入っているユーザーの設定だったりとか
[14:21 - 14:25] 中のワークフローとかログとかも全部入っている状態になります
[14:25 - 14:30] これをそこにディストアというのを押すと
[14:30 - 14:38] このバックアップを取った状態のときにガッと戻すというのができるようになっています
[14:38 - 14:43] ちなみに例えば3つワークフローが動いているとするじゃないですか
[14:43 - 14:48] そのうちの一つの状態だけ戻したいみたいなことは
[14:48 - 14:51] これはN8N側ですね
[14:51 - 14:52] なるほど
[14:52 - 14:57] これはあくまでも動かしているN8N自体を
[14:57 - 14:58] 全部バックアップ取るっていうものになるので
[14:58 - 15:05] なので例えば大きな回収をする前後とか
[15:05 - 15:09] そういったことをするときとかに使っていただく
[15:09 - 15:11] またはこの使い方としては
[15:11 - 15:14] 例えばみんながよく入れるようなワークフローとか
[15:14 - 15:16] ユーザーがもう全部設定されている状態のものを
[15:16 - 15:19] 作りたいっていうときに
[15:19 - 15:22] サンプル的なサーバーを作っておいて
[15:22 - 15:23] バックアップをとって
[15:23 - 15:27] 違うお客さんのサーバーを作ったときに
[15:27 - 15:29] そのデータをリストアすると
[15:29 - 15:32] そうするともう全部のものが
[15:32 - 15:35] 全部揃った状態になるよっていう形ができるわけですね
[15:35 - 15:37] なるほど なるほど
[15:37 - 15:39] もうなんかスターターパックみたいなものが
[15:39 - 15:42] 今後設定されていけばみたいなことですね
[15:42 - 15:43] そういうことですね
[15:43 - 15:49] そういった目的で使うのがこのバックアップというところになります
[15:49 - 15:53] だから違うところの動かしているサーバーのバックアップを取ってきて
[15:53 - 15:56] 新しい違うサーバーにリストアすれば
[15:56 - 15:58] ちゃんとそれのコピーじゃないですけど
[15:58 - 16:01] 全く同じものを増やしていけるという形になるので
[16:01 - 16:04] すごく便利ですよというところですね
[16:04 - 16:08] 下にある同期状態というのがあるんですが
[16:08 - 16:10] このシステムは常に
[16:10 - 16:15] このN8Nを動かしているサーバーの状態がどうなのか
[16:15 - 16:17] というのを監視しに行っているんですけども
[16:17 - 16:20] たまに動いているとか動いていないとかというのは
[16:20 - 16:22] ずれるときがあるんですね
[16:22 - 16:25] そのときはこの同期というボタンを押していただくと
[16:25 - 16:28] 状態を合わせるというか
[16:28 - 16:31] 管理画面上の動きとサーバーの動きを
[16:31 - 16:33] 同調することができるという形になっていますので
[16:33 - 16:36] いいなっています
[16:36 - 16:38] ちょっと上行っていただいていいですか
[16:38 - 16:42] もうちょっと上かな
[16:42 - 16:43] もうちょっと上です
[16:43 - 16:48] そこにあるサービスヘルスチェックというのがあります
[16:48 - 16:51] 例えばサーバーが動かなくなっちゃったとか
[16:51 - 16:53] 今どうなっているんだろうというときに
[16:53 - 16:54] このヘルスチェック実行というのを
[16:54 - 16:56] 例えば押してみてください
[16:56 - 17:02] そうすると現状での問題が何があるかというのが
[17:02 - 17:03] 出てくるので
[17:03 - 17:05] 今のところ警告ありで
[17:05 - 17:08] 別に他は全部正常に動いてますよというのを
[17:08 - 17:09] チェック的なわけですね
[17:09 - 17:11] もし何かあったとしても
[17:11 - 17:13] 全て修復ボタンを押すだけで
[17:13 - 17:17] 解決できる問題は全部解決するっていう形になっていると
[17:17 - 17:18] すごい
[17:18 - 17:21] になっています
[17:21 - 17:24] あとはですね
[17:24 - 17:27] 左側にバージョン管理っていうのがあるので
[17:27 - 17:29] ちょっとバージョン管理のほう行ってもらっていいですか
[17:29 - 17:31] これですね
[17:31 - 17:34] 今各テナント
[17:34 - 17:36] 動いているテナントの
[17:36 - 17:39] N8Nのバージョンが何なのかとか
[17:39 - 17:43] 更新が必要なものが何台あるかとかっていうのを
[17:43 - 17:44] 見ていただくことができます
[17:44 - 17:49] かつそれをいつアップグレードするのかとか
[17:49 - 17:53] このサーバーだけアップグレードするしないとかっていうのを
[17:53 - 17:55] 管理するための仕組みになってます
[17:55 - 17:57] 今のところもう全部最新になっているので
[17:57 - 18:00] 何の傾向も出てないんですけども
[18:00 - 18:03] 一応利用可能なバージョンの選択だったりとか
[18:03 - 18:06] スケジュールとしていつやるかとかっていうのを
[18:06 - 18:10] 選択いただけるような形のシステムになっています
[18:10 - 18:14] リリース日も出てくると
[18:14 - 18:21] あとは操作ログ左側にありますのでそこを見ていただくと
[18:23 - 18:26] 今まで誰が何の操作をしたかっていうのが
[18:26 - 18:28] 全部記録で残るようになっているので
[18:28 - 18:32] 今は丸投げ管理者っていうのでしか入ってないんですけど
[18:32 - 18:37] どのユーザーがどのテナントに対してどんな操作を行ったのかとかっていうのが
[18:37 - 18:40] 全部システム6畳で残っていくって形になるので
[18:40 - 18:44] バカな操作をしたやつは誰だとかっていうのが多くなってます
[18:44 - 18:49] あと左側ですね設定がありますのでそっち見てください
[18:49 - 18:55] これ設定画面は基本的にいじらないっていうことを
[18:55 - 18:59] 基本としていただきたいかなというふうには思っております
[18:59 - 19:01] ここの設定がちょっと崩れると
[19:01 - 19:05] 全体的な動きが取れなくなってくるという形になりますので
[19:05 - 19:09] ただ皆さん触っていただくとすれば
[19:09 - 19:11] このユーザーというところですかね
[19:11 - 19:17] ここでこの丸投げワークフローの管理システムの
[19:17 - 19:21] IDパスワードとかを追加したり
[19:21 - 19:23] というのができるようになってますので
[19:23 - 19:29] これで見ていただければいいんじゃないでしょうかということになります
[19:29 - 19:34] あとはさっきのテナントのところごめんなさい
[19:34 - 19:36] もう一回ちょっと戻っていただいて
[19:36 - 19:43] 今セレクトのテスト用の位置っていうのがあるんですけど
[19:43 - 19:46] これちょっと消してみましょうか
[19:46 - 19:47] なるほど
[19:47 - 19:50] じゃあ点々を押していただいて
[19:50 - 19:53] 詳細を見るのを押してください
[19:53 - 19:59] 今ですね動いているのでステータスは稼働中ってなってますね
[19:59 - 20:04] 右上にボタンがあるんですけども
[20:04 - 20:07] 停止再起動再デプロイっていうのがあるんですが
[20:07 - 20:11] 再デプロイが何なのかというと
[20:11 - 20:16] 一回そのN8Nのサーバーのシステムを入れ直すってやつです
[20:16 - 20:21] 仮に壊れてしまって動き変だなっていう時とかに
[20:21 - 20:22] これを押すと
[20:22 - 20:26] 現状でのちゃんとしたものを取ってきて
[20:26 - 20:28] もう一回配布し直すという形になっています
[20:28 - 20:32] 再起動を押すと文字通り再起動するんですが
[20:32 - 20:37] 今回はこのテナントもいらないやという形になるので
[20:37 - 20:40] 消したいなと
[20:40 - 20:42] 一回サーバーを停止します
[20:42 - 20:43] テナントをですね
[20:43 - 20:44] 停止
[20:44 - 20:48] いいですかって聞いてくるので
[20:48 - 20:53] これで停止されました
[20:53 - 20:57] 停止すると削除っていうのが出てくるようになっているので
[20:57 - 21:00] これで削除を押してください
[21:00 - 21:00] はい
[21:00 - 21:07] いいですかってくるので削除すると
[21:13 - 21:14] はい
[21:14 - 21:14] はい
[21:14 - 21:17] こんな感じでですね
[21:17 - 21:19] 簡単にN8Lの環境を作ったり消したり
[21:19 - 21:26] 移動したりができるという形になっています
[21:26 - 21:27] はい
[21:27 - 21:30] 以上です
[21:30 - 21:32] ありがとうございます
[21:32 - 21:35] 何かご質問ありますか
[21:35 - 21:40] N8Nの画面でAPI連携を
[21:40 - 21:43] 例えばGoogleと知ってたりするじゃないですか
[21:43 - 21:44] はい
[21:44 - 21:57] それってここのN8Nの画面でまた一件一件していくような感じになっていくんですかね
[21:57 - 22:01] 今どういう運用をしているのかがちょっと分かってないんですけども
[22:01 - 22:06] N8N側でやらなきゃいけないことはN8N側で解決しないといけないです
[22:06 - 22:07] なるほど
[22:07 - 22:12] あくまでも動かしている環境をバックアップしたり作ったり消したりっていうのを
[22:12 - 22:14] 簡単にするためのものなんで
[22:14 - 22:16] 例えば
[22:16 - 22:20] GoogleのAPI連携の部分とかを
[22:20 - 22:21] 全部しこたま
[22:21 - 22:24] 設定してあるようなものの
[22:24 - 22:25] サーバー1個作って
[22:25 - 22:28] そこからバックアップ取って
[22:28 - 22:29] そうですね
[22:29 - 22:31] コピーしていくっていうんだったら
[22:31 - 22:34] 中身の結果は全部残ってる状態なので
[22:34 - 22:37] いいとは思うんですけども
[22:37 - 22:39] じゃあ
[22:39 - 22:44] 大元デフォルトみたいなのを作っておいて
[22:44 - 22:49] そこをバックアップで置いておいて
[22:49 - 22:54] アップしていけば同じ環境からスタートできるってことですよね
[22:54 - 22:55] そうですね
[22:55 - 23:02] ちなみにGoogleのAPIとかって契約者はそのお客さんなんですか
[23:02 - 23:05] 後々お客さんになっていくんですけど
[23:05 - 23:09] まず最初にお試しで作ったりっていうのは
[23:09 - 23:11] うちのGoogle上で
[23:11 - 23:14] ちゃんと動くねが分かってから
[23:14 - 23:18] 実際の本番環境になっていくので
[23:18 - 23:20] そうですね
[23:20 - 23:22] ちょっと気をつけていただきたいのは
[23:22 - 23:25] APIキーが露出したりとか
[23:25 - 23:28] ユーザーさんに悪意がないとは思うんですけど
[23:28 - 23:30] あってAPIキーパクられると
[23:30 - 23:32] 無限で使われたりとかがあり得るので
[23:32 - 23:36] そこだけは気をつけた方がいいかなと思いますが
[23:36 - 23:39] ある程度全部そこを設定したものがあるよっていうのは
[23:39 - 23:40] 全然できるので
[23:40 - 23:42] そうですね
[23:42 - 23:47] それこそ管理者としてお客さんに
[23:47 - 23:50] NATLどこまで入ってもらうかはちょっと
[23:50 - 23:51] そうですね
[23:51 - 23:55] 私たちとしても考えないといけないところではあると思うんで
[23:55 - 24:09] ここで設定できるユーザーとか権利っていうのは
[24:09 - 24:14] ここのダッシュボードだったりをいじれる人のユーザー
[24:14 - 24:16] そういうことです
[24:16 - 24:20] 役割については与えられた権限役割については
[24:20 - 24:21] その下に書いてある状態ですね
[24:21 - 24:26] 何ができるかっていうのが書いてあると思うんですけども
[24:26 - 24:38] あとメッセンジャーの方で
[24:38 - 24:41] 30日はこのパスワードとかできるよって
[24:41 - 24:44] 送ってくださっていたじゃないですか
[24:44 - 24:44] はい
[24:44 - 24:52] これは今後ログインしたいときは
[24:52 - 24:57] また別のパスワードを設定してってことになりますか
[24:57 - 25:01] あれは私がパスワードの管理で使っている
[25:01 - 25:04] ワンパスワードっていうサービスなんですけども
[25:04 - 25:11] 今回この丸投げ管理者で設定した内容が入ってたんですね
[25:11 - 25:16] 私記録している内容を皆さんに簡単に開示できるという形で
[25:16 - 25:19] さっきみたいにURLでポンと皆さんにしたんですけども
[25:19 - 25:23] あのURLの有効期限が30日だよというだけの話です
[25:23 - 25:26] なるほどパスワードとかとはまた関係ないということですね
[25:26 - 25:27] そういうことです
[25:27 - 25:29] 理解しました
[25:29 - 25:33] ただこの丸投げ管理者のパスワードとかメアドを変えられると
[25:33 - 25:34] 私がもうわからない
[25:34 - 25:35] そうですよね
[25:35 - 25:40] できればユーザーを追加していただいて
[25:40 - 25:44] そうですね セレクターで新しくつけたほうがいいということですね
[25:44 - 25:46] ほうが良いと思います
[25:46 - 25:56] どうですかね あとは何かあります?
[25:58 - 26:00] そうですね でもあとは
[26:00 - 26:03] それこそ今使っているものを引っ越しするみたいなのは
[26:03 - 26:05] JSONで持っていけばいいから
[26:05 - 26:08] そうですね あとは例えば
[26:08 - 26:12] 菅さんがちょっと自分の手元のテスト用の環境欲しいとかっていうのを
[26:12 - 26:16] 簡単にここで作れるわけですよね
[26:16 - 26:20] そうですねテストとか社内とか動かしてるものを
[26:20 - 26:22] 一つ作ればいいってことですもんね
[26:22 - 26:24] そうですそうです
[26:24 - 26:28] 前だったら多分そうはいかんっていう感じだったと思いますので
[26:28 - 26:34] そうですね同じNHKの中でみんながぐちゃぐちゃ触ってなってたんで
[26:34 - 26:37] 一人一つ作ってもいいでしょうし
[26:37 - 26:43] そうすれば要はもうアドレスポンでいけますからね
[26:43 - 26:45] 楽ですよねっていう話なんで
[26:45 - 26:51] そうですね
[26:51 - 26:55] なんでそれこそ
[26:55 - 27:06] こう見たときに
[27:06 - 27:11] メインの人のアドレスになるんで
[27:11 - 27:13] これを
[27:13 - 27:18] 基本うちの人のアドレスにしておくかどうか
[27:18 - 27:19] って感じですね
[27:19 - 27:20] とかですね
[27:20 - 27:20] うん
[27:20 - 27:26] なんで一回ちょっと
[27:26 - 27:29] いろいろ動かさないと挙動が分かんないでしょうから
[27:29 - 27:30] そうですね
[27:30 - 27:35] そうですね
[27:35 - 27:37] お客さんのメールアドレスに
[27:37 - 27:40] しておいたときに
[27:40 - 27:40] それこそ
[27:40 - 27:42] 副業の方で
[27:42 - 27:46] いじってくれてる人がいらっしゃるんですけど
[27:46 - 27:50] お客さんのメールアドレス
[27:50 - 27:54] メールアドレスなら
[27:54 - 27:56] Googleでも
[27:56 - 27:58] 共有してたりするか
[27:58 - 28:03] というような感じなんで
[28:03 - 28:05] うちのにするか
[28:05 - 28:07] どうするかってところですよね
[28:07 - 28:10] ありがとうございます
[28:10 - 28:14] 大体の使い方はOKそうですかね
[28:14 - 28:15] そうですね
[28:15 - 28:22] あとはN8Nの中のユーザーを追加するとか
[28:22 - 28:24] っていう方向性にされるか
[28:24 - 28:25] そうですね
[28:25 - 28:32] でも無料版って基本一つじゃなかったですっけ
[28:32 - 28:35] 複数いけましたっけ
[28:35 - 28:44] 期間中ある一定の期間中もしくはその一つの期で何台かまでなんで
[28:44 - 28:48] メールアドレスが変われば別に大丈夫だし
[28:48 - 28:55] 変えなくてもユーザーインターフェースから申し込めば
[28:55 - 28:58] エンタープライズ版になるでしょうから無料で
[28:58 - 29:02] N8N5
[29:02 - 29:03] ちょうど
[29:03 - 29:10] プロジェクトロールじゃなくて
[29:10 - 29:14] そうか
[29:14 - 29:15] 一番最初の
[29:15 - 29:17] ユーズ&プランのところですかね
[29:17 - 29:19] 左下
[29:19 - 29:23] 仲良いよって書いてあるところを押していただいて
[29:23 - 29:29] 多分
[29:29 - 29:32] ズームのボタンかな
[29:32 - 29:34] ここにあってすいません
[29:34 - 29:37] セッティング数ですね
[29:37 - 29:42] 今だと一応
[29:42 - 29:43] Unlock Selected
[29:43 - 29:48] Paid Future for Freeってなっているので
[29:48 - 29:52] Enter Activation Keyって入れれば
[29:52 - 29:54] 一応できますし
[29:54 - 29:56] ビュープランスのところで
[29:56 - 29:59] 無料キーの方を申請してもいいでしょうし
[29:59 - 30:00] っていうところですかね
[30:00 - 30:03] 今のところ別に
[30:03 - 30:06] ワークフローの数も限りはないので
[30:06 - 30:09] 標準で使えるワークフローの分には
[30:09 - 30:11] まず問題ないかなっていうところですかね
[30:11 - 30:15] はい
[30:15 - 30:16] はい
[30:16 - 30:19] なのでちょっといろいろと
[30:19 - 30:22] 試してみてくださいってところですかね
[30:22 - 30:25] 何か分からなかったらすぐ聞きます
[30:25 - 30:32] バージョンの話になるんですけど
[30:32 - 30:35] この新しいものって
[30:35 - 30:38] 2.0になったものっていう認識であってますか
[30:38 - 30:42] 今どれを使ってるかは
[30:42 - 30:45] そこに書いてある状態なんですが
[30:45 - 30:49] 今だと1.1に3.5ですね
[30:49 - 30:54] ラテストっていうのは
[30:54 - 30:57] ソフトを動かすときの環境ですかね
[30:57 - 30:59] をベースにしているので
[30:59 - 31:03] しかもそのラテスト最終っていう意味合いは
[31:03 - 31:05] 安定しているもので最終ってことなんで
[31:05 - 31:06] なるほど
[31:06 - 31:11] まだバージョン2.0系っていうのは
[31:11 - 31:13] ナイタリーバージョン
[31:13 - 31:15] つまりまだ開発中のバージョンになるので
[31:15 - 31:18] 一応選択の中に入れてないって形です
[31:18 - 31:29] 2.0が選択できるようになっているときは
[31:29 - 31:33] 2.0がある程度安定しているときになっているはずということですよね
[31:33 - 31:34] そういうことですね
[31:34 - 31:38] 今ベースで使っているのって2.0なんですか
[31:38 - 31:41] まだアップデートしていないです
[31:41 - 31:42] なるほど
[31:42 - 31:49] 一応最新表示は4日前の2.02らしいですね
[31:49 - 31:53] 2.02いけるかやってみましょうか
[31:53 - 31:57] ちょっと手なんとかって作っちゃいます
[31:57 - 31:59] はい全然大丈夫です
[32:12 - 32:20] 選択肢で2.02しかできない
[32:20 - 32:23] ちょっと探っておきます
[32:23 - 32:26] OKだったらこれちょっとやっときます
[32:26 - 32:28] ありがとうございます
[32:28 - 32:34] ただ2点系に上げるときは
[32:34 - 32:38] ちょっと挙動というか
[32:38 - 32:41] 新しく多分なっているものとか
[32:41 - 32:45] 消えたものとか追加されたものがあるだろうから
[32:45 - 32:45] そうなんです
[32:45 - 32:49] ワークフローのモジュールで使えるやつ
[32:49 - 32:51] 使えないやつっていうのが多分出てくるので
[32:51 - 32:56] そこは結構問題になってくるかなっていうところですね
[32:56 - 33:01] アップしていくときに動くかどうかとかも
[33:01 - 33:02] 検証しなきゃいけない
[33:02 - 33:08] そこでバックアップが役に立つわけなんですね
[33:08 - 33:13] 前の環境からバックアップとって
[33:13 - 33:16] 新しい2.02の環境をテナント作って
[33:16 - 33:20] あそこにアップしてみて
[33:20 - 33:24] それが気軽にできないじゃないですか普段
